idno,author-short,title-short,year,country,narrative-perspective,subgenre-theme,subgenre-current,subgenre-novela,tokens
nh0001,VillaverdeC,Guajiro,1842,Cuba,heterodiegetic,novela de costumbres,novela romántica,none,36461
nh0002,PayroR,Moreira,1910,Argentina,autodiegetic,other,novela realista,none,98903
nh0003,AltamiranoIM,Antonia,1872,Mexico,autodiegetic,other,novela romántica,none,18017
nh0005,AltamiranoIM,Navidad,1871,Mexico,autodiegetic,novela de costumbres,novela romántica,none,17404
nh0006,AltamiranoIM,Clemencia,1869,Mexico,homodiegetic,other,novela romántica,none,50806
nh0007,AltamiranoIM,Zarco,1901,Mexico,heterodiegetic,other,novela romántica,none,50965
nh0008,RivarolaEE,AmarVuelo,1884,Argentina,heterodiegetic,novela de costumbres,novela realista,none,41611
nh0009,GutierrezE,Rastreador,1886,Argentina,heterodiegetic,other,novela romántica,none,88720
nh0010,MezaR,TioEmpleado,1887,Cuba,homodiegetic,novela de costumbres,novela realista,novela,93573
nh0012,CambaceresE,Sangre,1887,Argentina,heterodiegetic,other,novela naturalista,none,40924
nh0027,LopezLV,GranAldea,1884,Argentina,autodiegetic,novela de costumbres,novela realista,none,50497
nh0028,MohrLA,AlbertoTrejo,1884,Argentina,heterodiegetic,other,novela naturalista,none,40595
nh0029,SicardiF,Extrano,1894,Argentina,heterodiegetic,other,novela naturalista,none,99767
nh0030,SicardiF,Genaro,1895,Argentina,heterodiegetic,other,novela naturalista,none,48386
nh0032,SicardiF,Mendez,1897,Argentina,heterodiegetic,other,novela naturalista,none,72121
nh0036,LopezPortilloJ,Parcela,1898,Mexico,heterodiegetic,novela de costumbres,novela realista,novela,90800
nh0037,LopezVF,Loca,1896,Argentina,homodiegetic,other,novela romántica,none,100022
nh0039,CantiloJL,Quimera,1899,Argentina,heterodiegetic,novela de costumbres,novela naturalista,none,36161
nh0042,AlvarezJS,Austral,1897,Argentina,autodiegetic,novela de costumbres,unknown,none,62521
nh0047,OcantosCM,Quilito,1891,Argentina,heterodiegetic,other,novela realista,none,83234
nh0048,OcantosCM,Perfecto,1902,Argentina,autodiegetic,novela de costumbres,novela realista,novela,64894
nh0050,CuellarJT,EnsaladaPollos,1871,Mexico,heterodiegetic,novela de costumbres,novela romántica,novela,48747
nh0051,BarraE,Stella,1905,Argentina,heterodiegetic,novela de costumbres,unknown,novela,100447
nh0056,GutierrezE,MuerteHeroe,1886,Argentina,heterodiegetic,other,novela romántica,none,104443
nh0057,CambaceresE,Potpourri,1882,Argentina,autodiegetic,novela de costumbres,novela naturalista,none,50450
nh0059,PodestaMT,Irresponsable,1889,Argentina,autodiegetic,other,novela naturalista,none,45987
nh0060,MiroJM,Bolsa,1891,Argentina,heterodiegetic,other,novela naturalista,none,59537
nh0061,EchagueP,Chapanay,1884,Argentina,heterodiegetic,novela de costumbres,novela romántica,none,26780
nh0062,CantiloJM,Quillango,1880,Argentina,heterodiegetic,novela de costumbres,novela realista,none,17162
nh0063,ZayasGuarnerosP,Herencias,1899,Mexico,heterodiegetic,novela de costumbres,novela romántica,novela,95614
nh0065,DiazCovarrubiasJ,ClaseMedia,1858,Mexico,heterodiegetic,novela de costumbres,novela romántica,novela,30551
nh0066,MartinezVillergasJ,VidaChaleco,1859,Cuba,heterodiegetic,novela de costumbres,unknown,novela,197895
nh0070,MezaR,DonAniceto,1889,Cuba,heterodiegetic,novela de costumbres,unknown,novela,41914
nh0071,MezaR,UltimasPaginas,1891,Cuba,heterodiegetic,novela de costumbres,novela romántica,novela,36132
nh0072,BarredaR,MisteriosCorazon,1875,Argentina,heterodiegetic,other,novela romántica,none,82395
nh0073,DiazCovarrubiasJ,Diablo,1858,Mexico,heterodiegetic,novela de costumbres,novela romántica,novela,17663
nh0077,ZayasGuarnerosP,AmorSublime,1899,Mexico,heterodiegetic,novela de costumbres,unknown,novela,120775
nh0078,AlvarezJS,ViajeMatreros,1897,Argentina,homodiegetic,novela de costumbres,unknown,none,26082
nh0079,AlvarezJS,MemoriasVigilante,1897,Argentina,autodiegetic,novela de costumbres,unknown,none,21866
nh0083,HolmbergEL,PartidosLucha,1875,Argentina,autodiegetic,other,unknown,none,34557
nh0087,CaneMI,Esther,1858,Argentina,heterodiegetic,other,novela romántica,novela,17724
nh0090,PaynoM,Bandidos,1892,Mexico,heterodiegetic,novela de costumbres,novela naturalista,novela,217243
nh0092,RiveraYRioJ,VirgenNiagara,1871,Mexico,heterodiegetic,other,novela romántica,novela,115995
nh0093,EstradaS,Pampa,1866,Argentina,heterodiegetic,novela de costumbres,unknown,none,22668
nh0101,BarraE,MechaIturbe,1906,Argentina,heterodiegetic,novela de costumbres,unknown,none,101792
nh0104,CastilloFM,HermanaAngeles,1854,Mexico,heterodiegetic,other,novela romántica,none,29672
nh0105,PaynoM,HombreSituacion,1861,Mexico,heterodiegetic,novela de costumbres,novela romántica,novela,50534
nh0107,ZamacoisN,Pompeya,1871,Mexico,heterodiegetic,other,unknown,none,303394
nh0109,MoruaDelgadoM,Sofia,1891,Cuba,heterodiegetic,other,novela naturalista,novela,58700
nh0115,GomezAvellanedaG,Guatimozin,1846,Cuba,heterodiegetic,other,novela romántica,novela,130454
nh0116,GomezAvellanedaG,VeladaHelecho,1857,Cuba,heterodiegetic,other,novela romántica,novela,19566
nh0118,VillaverdeC,Cecilia,1839,Cuba,heterodiegetic,novela de costumbres,novela romántica,novela,182647
