,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,a,aquel,aquella,aquí,así,bien,casa,como,con,corazón,cuando,de,decir,dijo,donde,dos,día,el,ella,en,entonces,entre,era,es,esa,ese,eso,esta,estaba,este,está,fue,ha,había,hacer,hasta,he,hombre,joven,la,las,le,les,lo,los,mano,me,mi,mis,mismo,mujer,muy,más,nada,ni,no,noche,nos,o,ojos,os,otra,otro,padre,para,pero,por,porque,pues,que,quien,qué,se,ser,señor,si,siempre,sin,sobre,su,sus,sí,también,tan,te,tenía,tiempo,todo,todos,tu,un,una,uno,usted,ver,vida,y,ya,yo,él
0,subgenre-current,novela romántica,other,100,word,zscore,0,0,novela romántica,other,0.01910112168276952,0.013430172605185912,0.005575188999588348,0.002419875290424776,0.0028709453525916466,0.002218075561798711,0.004223419844912046,0.008065980024057456,0.00579627213528365,0.019438557408892613,0.0034591179038318824,0.0,0.005607613583531621,0.014085216947198538,0.011133596904002015,0.005432769391158208,0.0030069975355328906,0.006806898152304334,0.0037208325574240365,0.0032124422185971463,0.020617319151488504,0.004194045195768525,0.005667813657011637,0.01283431114362019,0.006191938575674313,0.010766853472678216,0.01025754475114253,0.057591228765505466,0.006648224695639501,0.05368765287212563,0.0034275401996437943,0.004750120244173369,0.011406459536306542,0.004760601874263732,0.015713045649153046,0.004977026258808296,0.0036898535943292294,0.0052967714474150595,0.0378719507603614,0.004951110417001745,0.007647343102781475,0.005335482223790961,0.005197817847207654,0.007265951890630615,0.004337570053220103,0.002887042470386718,0.009406049132129349,0.025521452999308032,0.044148567481376494,0.03990499767783152,0.007829024846831269,0.005121484359495501,0.008749425223966436,0.003407965162440568,0.00536798100742507,0.0029716491955449524,0.003018790250693499,0.017956531335736953,0.010192655580816811,0.0023837846954023125,0.0469539954075723,0.004179632029540752,0.006898655190312603,0.025894729546831648,0.0153692922808565,0.0040931721699645155,0.009316360173216394,0.007157412302718874,0.005000045569888272,0.028182467220516337,0.010101277161061977,0.009754602558046152,0.004996254152009166,0.0020120649700862236,0.004319826076904459,0.005397806496703588,0.004230491363890843,0.001970843707852613,0.007500898408975828,0.014446279028501242,0.006923275592317486,0.0037203323242701943,0.006567639674119984,0.009955119393714788,0.0020915052173614453,0.0033447335547879746,0.019668106304961845,0.00820360932433149,0.01023088865434317,0.005077604204111268,0.004050271433222388,0.0022637318664130044,0.01005910972267414,0.017643068871241688,0.002930293257297049,0.004912757187164569,0.0035331745808739245,0.0034513205571882945,0.010202976806479276,0.0038363027594633396
1,subgenre-current,novela romántica,other,100,word,zscore,0,1,novela romántica,other,0.018757402508340695,0.007114709902302677,0.008237239472538743,0.003189859098549408,0.003622781218622144,0.0021628100930290027,0.003977086142905643,0.008364024410416218,0.006129696669641633,0.03146121253994511,0.004378342483364528,0.00024488176753379576,0.0035145172359546777,0.012870661171414657,0.0072003860818071275,0.0015960744962285956,0.004187775472105017,0.007764809116976618,0.0041469808524545685,0.005454157188352215,0.050034687082317626,0.006773906177831444,0.0045107426760870525,0.0145245703227312,0.010924000242852346,0.006512030663192391,0.0036199477504055364,0.07392867481934673,0.004585888176893588,0.041418033034777216,0.004227113539099464,0.006032476120384482,0.013469017572327444,0.006052197229440118,0.008758860825849249,0.00589236186860618,0.01687044676209685,0.0044594199545695875,0.025037697088242536,0.0047689130782500614,0.0050035845498638655,0.013204450006077268,0.0035960316679936512,0.008028446764724528,0.006477257760845361,0.004070336812146268,0.011658156077924893,0.022149494628936423,0.04819149489080487,0.02902318962208739,0.02267529947386252,0.0025029895988347905,0.0032359608345075576,0.010648136047669681,0.008208155990638281,0.004953777857586705,0.005534354867233924,0.009462969571588322,0.00582262702655428,0.003454985822308118,0.022757714868376806,0.0035154453417391264,0.0056427087780088845,0.00984357407480426,0.01940443204516186,0.006115983975092049,0.006198171581045058,0.009190408999705812,0.007579416195085755,0.030997177353933817,0.006783324885494066,0.008676525018999084,0.004197357737757187,0.0037445441562521465,0.0010110630110820146,0.003568491062095625,0.0032687155795981956,0.004402973111229184,0.0068304201389576035,0.019923662324355006,0.016905609819885457,0.005374072312878615,0.004233551468384512,0.005781911432840603,0.001938709351096481,0.0037148430647824613,0.009945379323220024,0.005357035620909897,0.006829629880150937,0.0033145586400687875,0.004446153338621774,0.0020447117641384203,0.007587406163659588,0.014482889336699934,0.0009839476612595944,0.005590321869063077,0.0057974699703893925,0.004263369334107578,0.017174812223620963,0.00590341440547547
2,subgenre-current,novela romántica,other,100,word,zscore,0,2,novela romántica,other,0.016161432606838045,0.001891257931186644,0.004461397621758307,0.0034587871130820225,0.003381283456197122,0.005937955860524382,0.0012827874228495226,0.008406830409720022,0.006260653637163413,0.03590964303208995,0.0031439683284185892,0.00024511978704525294,0.005689332750429271,0.01943153428977557,0.006625783612907709,0.0026831617321697175,0.003821547040740308,0.006600531457759622,0.004675512367429715,0.002445069345857722,0.01814524663502493,0.004290270618883136,0.0064101302356434275,0.02330076700220899,0.0123004402138369,0.011353607429001487,0.010589734630103558,0.07971938857027441,0.004182859392690263,0.053567126542469895,0.005586670697580514,0.0038409578368090564,0.015949176803440362,0.00381890185442333,0.01546723112229244,0.003327365629650686,0.018732980564148505,0.005852750464275731,0.03598934350953178,0.0050518081625741265,0.006635026357000005,0.008807997078127473,0.0029745847739142527,0.005652347397384767,0.005429817756270986,0.0025394644633355747,0.010088168449870014,0.024861078755649607,0.04796040782052481,0.03320908022953965,0.016068810653116456,0.0038384711237134527,0.0028883086979507146,0.0023452163452519913,0.0050941524135086945,0.0018569663455540997,0.00408088715848473,0.014581473002055718,0.005248856135809185,0.003121074591798828,0.02687029899465389,0.00434297487172178,0.005726083748781649,0.024773017444518704,0.006459105165970214,0.008225177047319954,0.009304855487118653,0.014626873925745021,0.005861516424176636,0.034403733517631575,0.007485022940384071,0.003121534969435594,0.007620299521985798,0.004959315118750293,0.0033448113247612123,0.004115309328480954,0.004280897168382073,0.0025817905630550688,0.0023623826234738464,0.0145245754802898,0.006323175284473567,0.002030033872690275,0.009714253770912005,0.005542531441107382,0.006741286597338961,0.00283817403339184,0.009000854223309856,0.00718794408521792,0.009954158695855307,0.007021765865404998,0.006467213428078966,0.002041364997638944,0.006167112369219051,0.0055447524476288776,0.0025344702214953998,0.005006242641564593,0.002993960645757645,0.00426948916840381,0.011952395132356236,0.004406708143850118
3,subgenre-current,novela romántica,other,100,word,zscore,0,3,novela romántica,other,0.020800576256955153,0.005028729378856681,0.010948048110048892,0.001737982346914223,0.0032217694289452124,0.0061073981418234505,0.007516275386988822,0.005908714402721876,0.008746262660257922,0.03282251945672198,0.004518429653728222,0.0002324214210519117,0.005320861672640772,0.011764991555520332,0.004298022543338582,0.004273061214398654,0.005618256733758462,0.004206050423511186,0.006967350715453565,0.0061673684576887215,0.0195017551879206,0.004458672607146249,0.006356079889527153,0.012455017923758131,0.007930219405434848,0.004004046352973326,0.010564447067727462,0.07394629625577666,0.004338436743248486,0.04854762868660939,0.00893991710137124,0.003740685535076527,0.010814228255351672,0.009058028442413235,0.015572096051170882,0.0020909358642443292,0.00726486516874739,0.003261992568782388,0.03950868422079021,0.008770471821380714,0.00444008839317243,0.004605174343897508,0.004084915851330005,0.003597856585365796,0.005606686270775191,0.004539212975878924,0.00994783974867471,0.022990654983225188,0.04827571574791346,0.03167118559025045,0.013947643518069337,0.0021088878151666844,0.003503474837546178,0.0036862962728295627,0.009232163418384664,0.006921733898788343,0.0009245255391557814,0.010804310191681689,0.007630455306367681,0.006837229034066143,0.01986482788999956,0.0012677411850425106,0.00472869905243856,0.029889113387945327,0.0106821447422704,0.008689591113372098,0.006737613109601876,0.004981965155286562,0.0054252710892995085,0.0270655000381713,0.0087494125424617,0.013755085108281197,0.009337686993613982,0.0021506408721923844,0.0027971656597073308,0.003848600901797488,0.0030554181594871937,0.0029639890208288167,0.0027795453975536016,0.01958942813006899,0.014324934830823439,0.006033073885286175,0.01184186141424486,0.004639075788907253,0.005939797166976525,0.006479578805247942,0.015672816556554465,0.006986599062379748,0.010978942661204005,0.0035251948223347625,0.006048723692052311,0.0035416631755412265,0.006494349309906828,0.012334415774579595,0.001108385961546686,0.0022642603651286393,0.0015344903043104186,0.0051574679668604006,0.019687807503620525,0.004361475969758518
4,subgenre-current,novela romántica,other,100,word,zscore,0,4,novela romántica,other,0.018174959822168203,0.005846343866672202,0.007792552479393905,0.004107930267725394,0.0024590516228197483,0.00394657638750073,0.005142371580345472,0.004321209789709508,0.005367033862940636,0.03334534376734644,0.008009003912345283,0.0,0.0033116621004781925,0.013502057516941517,0.006799828639214765,0.0023352721430334646,0.00101142310155969,0.004712524049781991,0.004029759662339276,0.004479718673981863,0.03221715044857592,0.004393247715186437,0.005171139609760722,0.009964830360945727,0.008394897926991393,0.014659098859167769,0.009139492216888654,0.08118269543911817,0.007597481682187836,0.03685336977312541,0.008496286347105808,0.004088791195675088,0.01157885457940977,0.007093199758878654,0.011602880414531709,0.0038401764682753597,0.009362763382765963,0.0068212796094243855,0.03506207815891242,0.0036392920654311728,0.003521361123835779,0.00421673465696642,0.005208662173142578,0.006804259872088003,0.0027556428978403012,0.0040379971367338246,0.006251857319447388,0.015064085085487065,0.04106765037167508,0.03746651284850826,0.022123856935384576,0.00400585893567774,0.005212129582987982,0.0030013282670207884,0.006158891080027726,0.005382619280926708,0.004460445062334309,0.013139637639369291,0.0043830060229172255,0.0026589605691583512,0.02660100587524349,0.0043903116654961695,0.006571479048905705,0.014337703232369709,0.012429116326904294,0.017641465677757664,0.0031640569609074735,0.014056822209433472,0.002277775036832124,0.032692887618776256,0.014441889939269622,0.009868810589171356,0.004903577293619274,0.006609490341449833,0.003927939200710518,0.004486661702683403,0.005669551983544724,0.0025911051495334527,0.0036021695886540245,0.024373967393729646,0.014844532690534817,0.005942659577642883,0.005684581373317114,0.009460947393419293,0.005685486520710166,0.0037484258491050602,0.011875837460654006,0.007381135491976115,0.006691571972069493,0.003812712547559351,0.004253264508909633,0.005586477155276971,0.006531081993053749,0.010459548424411826,0.0009885791724275799,0.007332937658687312,0.009401375345707312,0.004184884595890979,0.009128891722576821,0.005592155590891301
5,subgenre-current,novela romántica,other,100,word,zscore,0,5,novela romántica,other,0.01984298779135511,0.00996786331046977,0.007144246476624401,0.0038075884581030943,0.0011092473265155954,0.005912557941003022,0.0035075118178279265,0.005590995658654787,0.0068410625085339,0.0369245983564881,0.00402901152781136,0.0,0.0008491291462926177,0.01438884910023595,0.004603584400495331,0.0035928816482035234,0.0037578661205317754,0.005342689074138687,0.0030434097241637276,0.003333813522932816,0.01628431628632383,0.005813187753278,0.005656125092164719,0.013322187748399016,0.007944245102344927,0.007323503052101081,0.01174037578052505,0.06823505218473574,0.0035013675767122015,0.04013755987219619,0.0050597859051875905,0.005632367957717143,0.0198932101295299,0.005244711767941155,0.005965785499407757,0.002729189462725738,0.00734183079157256,0.008400082440086522,0.045507700025872594,0.006733311227411726,0.004959985992356262,0.004809599873011161,0.0024947221100496014,0.006362233507839145,0.003452727274529235,0.006163276669716061,0.004624491864690125,0.021402412279098313,0.040280601797941185,0.02085952599862571,0.01661309177389959,0.003997153155007346,0.002800701623214831,0.005401576954520511,0.009079319433184133,0.0034988855152818183,0.0023657218055083973,0.015237925316853019,0.00575804503240305,0.006100046444828567,0.024327715104084057,0.003917476161011318,0.004110014756774,0.028501009721426412,0.011554234181321683,0.010152129452474453,0.008673921179030056,0.016452544410474296,0.005083930754289165,0.029275767421610817,0.01729305191280522,0.011786986585753103,0.008760607068379677,0.003910127435625871,0.004214676109270505,0.0039166525654131664,0.005191812776001967,0.0028665287184046692,0.0024627954191596088,0.02929660331529932,0.01730883821170154,0.00639136038439268,0.009407208877083248,0.013479524189805822,0.005429858991071477,0.0028870448005055374,0.009278354486340781,0.005266774942313281,0.016527048639331014,0.004441038825938128,0.005642377038566896,0.00441558607289727,0.00553758666633652,0.009404049813850478,0.004342517922952744,0.002273873514437538,0.005052803783829745,0.0014725578243037346,0.015823347914958603,0.0015518280616004022
6,subgenre-current,novela romántica,other,100,word,zscore,0,6,novela romántica,other,0.011620150961067735,0.009500527860484382,0.004383055897147826,0.0026599983547161824,0.004922625885953167,0.009647390682252975,0.0030466118306702217,0.006082310111817535,0.00405969959373298,0.033372654137431984,0.0026018879349243382,0.0,0.003473114781393052,0.016952194802258153,0.00674675307593639,0.0008081838570897485,0.0019754360365661734,0.004759382157165761,0.003653992900975477,0.0034924036117221814,0.01758859634208458,0.004270982387047156,0.003011802538820708,0.0060777280052921835,0.013006184589342582,0.009979263819079001,0.008189822312817827,0.08591703245875904,0.006057522802113628,0.042021320920675995,0.004439955734301671,0.005193980161739291,0.00809170799607875,0.0039711937606106435,0.006540612693084893,0.004735916291267566,0.008935690792397238,0.0053398195448854545,0.04591612806382358,0.006427617364071959,0.006127198862007201,0.0055181636298990274,0.003632390963263007,0.007322466609583565,0.0029780116908773957,0.0027480468239570012,0.009016133458664989,0.03136906309399481,0.06402414988136716,0.032123806670156865,0.010102283240827603,0.005457468640977153,0.0008328222045425729,0.004084606115173498,0.008706929434426927,0.004517858669342586,0.0026435632848625205,0.020905187937176044,0.006564085307057679,0.0033694999701699324,0.013246753089211881,0.0029250130976498125,0.006307188908384778,0.024633998287991298,0.00779252788822209,0.014506185987777224,0.00841677606869886,0.015143548506567543,0.006493506651551368,0.03309266653614478,0.012547422404241894,0.006652480191980237,0.004164153708327366,0.0032489391828263957,0.002523632771606981,0.004082235854951984,0.00403616959341217,0.003430435950678088,0.004721501982036359,0.022625039751326095,0.009582682870385701,0.009792866781604723,0.01290238868543553,0.009470618805749165,0.004636362900012727,0.0025167022684396707,0.015381984317209732,0.00534774620561894,0.004710684246159379,0.007613978000249549,0.0013035871576254346,0.002347712277967656,0.005195104916069903,0.01356545169528669,0.001755336768289367,0.0020628191988807014,0.006547927955213091,0.001975127714504679,0.018326149482416922,0.0028596017993656082
7,subgenre-current,novela romántica,other,100,word,zscore,0,7,novela romántica,other,0.0218826317555605,0.007112765338117357,0.006861460451380359,0.002812465808100904,0.0014374871912085049,0.005610490788794491,0.0035202296143526813,0.006488395989542975,0.0069024793238519275,0.03443819780208171,0.00705761518065808,0.0,0.0062297075521605925,0.019077018587349445,0.003733744260509878,0.0021423573677983193,0.0020749055028280515,0.006089876532312917,0.004923050675370027,0.003981219935310948,0.023972348122309365,0.004374172252546972,0.003011816931929252,0.010019938612555119,0.01451232927424121,0.008744777222508101,0.011174924864767996,0.0671778517068469,0.007344184140886827,0.05867631851387113,0.0054856916349263355,0.008195750042927646,0.013217530065809417,0.005257927752007227,0.006866988982597217,0.005132652028091291,0.009516597590074446,0.007844686054553934,0.030257684404030726,0.00484094976985177,0.0030952828677547305,0.009518526938559079,0.004480073479409947,0.005620619198471444,0.0035295559161180458,0.0024561632166950685,0.004949054374000322,0.012030989418573817,0.04160090296605746,0.03763853511300495,0.010440583278150437,0.003861413448626766,0.0036293466442300125,0.0068460116792899315,0.008153907036065645,0.004953856736316019,0.001192319414521238,0.023406625062614518,0.006040122227583762,0.003183669682776894,0.024415683248877596,0.004716442033147057,0.004560646488053042,0.033704717739236216,0.007664093249371498,0.01702494189745533,0.007854890294127535,0.008446969472177008,0.006864109049644297,0.03943603696249535,0.012907573254416223,0.003242319220266546,0.002696783773774371,0.0033745648801940913,0.003967714943266449,0.0037724604819025288,0.004958178126906549,0.0031192392073348418,0.004736969025884351,0.018227524031827955,0.020085200473587295,0.005031235337661294,0.008495549950147986,0.011468271776610797,0.0055532633478210655,0.0009915070194040406,0.008949372047158245,0.0032761360872858502,0.010411384677704472,0.002475312497377872,0.005285949038048945,0.006825402115121544,0.009893243640760122,0.0076107354708051566,0.0018142221133530066,0.006691419219015858,0.0040934967042376095,0.0010365251811478196,0.006927459050858485,0.0027636785480910876
8,subgenre-current,novela romántica,other,100,word,zscore,0,8,novela romántica,other,0.01954739592040358,0.010257497539318608,0.006539295398542444,0.003906787213808687,0.004787425559463955,0.007020623060867274,0.004133779342506648,0.0036083073074646963,0.006044121784427343,0.03542356782690909,0.002492241241363386,0.0,0.010071930880925612,0.02199104101234354,0.005442171429768392,0.0009546334415742167,0.0024728541379081385,0.005874737051294721,0.002339929300962133,0.0031216500430029837,0.03200873794631168,0.0029600667585537787,0.003001723904823889,0.009195550612206473,0.011938637143113337,0.014798000431946892,0.010035852360068834,0.06491224931255805,0.001521081380656263,0.04279167978970504,0.006439965901781361,0.008146394784948309,0.011849879933172077,0.006205851620702196,0.008095201632781103,0.002067060984611123,0.008328066017674435,0.0046705452974223,0.028015900596124507,0.007555396852011032,0.002785991000342725,0.0027743188121275453,0.005507572770596262,0.007241310913341179,0.003942496889053645,0.005447062625609697,0.002796160904076545,0.020419590202918215,0.03198199309404302,0.037571731086226114,0.02323082704482574,0.0042333588994860165,0.0034099302482565493,0.007951398099184308,0.00405933604293516,0.005838452678613608,0.0038410658796700814,0.01779000431945247,0.008726415647027017,0.003208232675437921,0.04873461645288448,0.0031037827161778334,0.005138366869682182,0.022907015953369855,0.003687302520107691,0.008662059744227913,0.008451186489553482,0.010324426273248264,0.005092205642387255,0.027660194587107164,0.010937230645974523,0.006180157776438394,0.004110977008581989,0.0031467137650917193,0.005729551473925168,0.007677693449292235,0.007728646652504144,0.004920256179311018,0.00528194569682985,0.014105222494541958,0.008880372929719162,0.0032632668150321047,0.014648093719236867,0.009824374925118182,0.0065545492215469525,0.0035303259962595644,0.018455587162155,0.007232670566960132,0.007887538294221817,0.008953575846575336,0.005102369483801333,0.005884955608640996,0.003850210518694705,0.011385964875779107,0.0020225666245442158,0.006115481327386587,0.004672573988469683,0.0033766948484845443,0.00878281658020306,0.002671375688681618
9,subgenre-current,novela romántica,other,100,word,zscore,0,9,novela romántica,other,0.017717649449710042,0.005915464168319347,0.013792424232506302,0.002473473334530993,0.005210560629576592,0.0043251135272059866,0.0039035718656026124,0.007847159749765936,0.008920422800636391,0.028750654344894405,0.004142923590970917,0.0004523401094077118,0.004881230715838182,0.01615639497661981,0.003172884230492441,0.0038699562864935944,0.0040157799852461405,0.006544529659339623,0.004423333408946012,0.004250630109956903,0.02702298359573058,0.0031904975691571546,0.007142537968390361,0.008749910323035591,0.010997045680804944,0.014584752637741285,0.008204556227400642,0.07520475060792864,0.0027260789594867503,0.05392643527999162,0.00490326685107554,0.005553169985402522,0.014214790205920133,0.006767395897079484,0.008057058435352647,0.0014073547076556433,0.012310149595467777,0.00602763747350115,0.03373027474482965,0.004809571554510415,0.004630924029193962,0.0036162213065966974,0.0037635235876209185,0.0074299377298801365,0.006276968784523229,0.0038794130380072063,0.0041137372654642835,0.01396792182067035,0.02753699332185167,0.04137753569220941,0.014819373103731983,0.006162424573632057,0.004965831611126834,0.004961152981108747,0.004487296056830687,0.008254651452794798,0.0015897236070545712,0.009334389361562579,0.010777780855962609,0.0015392950095206059,0.02479561895740706,0.0070883143165587125,0.00671942448834052,0.027731344570800273,0.007708794937753603,0.011934243385404449,0.008029878484440612,0.01570413919799007,0.0132378464506339,0.025432286097846587,0.004937683072939325,0.004575968028118954,0.006593366933203293,0.0010520365596054983,0.004899400248249368,0.0028147235322083953,0.004296951913448806,0.006471391313481935,0.004929706012502777,0.01950866741940671,0.010375154674972931,0.004130664026261639,0.01237003283799245,0.011633809377712755,0.004919451225146591,0.0041190223750493605,0.02001069191975041,0.007327292781199919,0.006825341464654905,0.0065487202392782076,0.005736118091425419,0.0033163873530972004,0.0016136602998746213,0.00840640991436043,0.002920763897851413,0.004163186850236701,0.006236593006993786,0.005038437367364872,0.016855353345438185,0.005209312365131529
