,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,que,ent,e e,e l,con,a e,nte,a d,s d,est,o d,los,ado,aba,a c,e s,a l,ndo,ien,e a,o e,era,e d,por,a s,las,a p,par,sta,a a,n e,res,and,des,a m,o s,tra,o a,ero,n l,nto,per,ant,com,men,una,ara,e p,s p,e c,s c,r l,o l,ada,s a,e h,o q,end,ido,pre,s e,dos,ida,o p,lla,hab,rec,ier,ión,esp,aci,e m,o c,cia,n s,dad,nci,nta,n d,enc,ten,a q,ció,n a,s q,bre,e t,ran,tan,r s,s s,ntr,l c,uer,s m,ell,ste,a v,qui,s l
0,subgenre-current,novela romántica,other,100,3gram_chars_word,zscore,0,0,novela romántica,other,-0.028832450564099506,-0.182064098096319,-0.304206827145533,0.034861571503119984,-0.4226507321805961,0.6513593689282438,0.3761044969540458,0.25830176886390543,0.003943679903872843,-0.7862046368401023,0.15275695693283953,0.14902225673603264,0.31788820995230893,0.48613695728299666,-0.007856084743647372,-0.33567883494785866,0.5860818286353275,-0.37538003190847025,-0.048608183375133285,-0.3293069704604658,-0.007253992638442369,0.10203098217525011,-0.5068751814755639,-0.004172427205527102,-0.43987918933167763,-0.06260459642392639,-0.16449750540688365,-0.15402815590888486,0.2627659390092643,-0.25043826048064144,0.2407792970010007,-0.5702517984242834,0.06025674233739137,0.1298573436804271,-0.209830713173673,0.32924051382939823,0.045006267639671305,0.03141375556951004,-0.3210737608988963,0.3795511243665461,0.15823292983380147,-0.033061456934249334,0.2759154463350052,0.4584438051816845,0.24266565476063431,-0.07359066724912323,0.15011471902862952,0.03810444825859305,-0.2587285760144842,0.5044406644017747,0.15875971419896004,-0.12575429181557632,0.020880437507350136,0.12757456958531416,-0.028048684662293988,-0.189298342965678,0.04454737115696579,0.07963631698629636,0.26618473693209477,0.2840540352040528,0.20820237441196182,-0.23353250551201057,-0.10749874133564165,-0.19460116149153645,-0.1955843947501447,-0.2155555215182013,-0.11271565000715783,-0.16130036323112512,0.273625898889279,-0.024374197493334707,-0.2739799254491694,0.15521529483291946,-0.39048860206389985,0.04088288538300122,0.09971849356161727,0.4899850006125794,-0.30804020762700024,0.3929668390774484,-0.20733512846312765,0.5848640390695936,0.249388167886999,0.21865954513854913,0.0051184931886658624,-0.3313055391384451,-0.4826348087899362,0.20234427973608274,0.31729199072209197,0.5593915673475134,0.05114012978672566,-0.41055683807318943,-0.419652679753547,-0.06904936070970602,-0.3173967222196864,-0.07634965287534322,-0.15518964764384086,-0.12311910979943619,-0.01626745146808807,-0.14752115675867003,0.33098780018624774,0.09578678877886852
1,subgenre-current,novela romántica,other,100,3gram_chars_word,zscore,0,1,novela romántica,other,-1.3877787807814457e-17,0.0237236090558616,0.03348124544041772,0.14969805377503037,-0.1842053323203668,0.41886507917390015,0.3123881838117706,0.3662668444947044,0.018351439353197413,-0.5267585616550369,0.27705606378709985,-0.09984890632429012,0.11805648433923155,0.9699757006136032,-0.24068129920037395,-0.27122327918924893,0.3278432472614894,-0.34721294445921985,-0.02667523187043197,0.13530609015764014,0.11831139455952006,-0.02328376738726425,-0.4826661527279909,-0.0999608753031713,-0.5188135772174937,0.22378049333156885,-0.1645693832170902,-0.22624588324599285,0.050404565586440186,-0.40915030323572293,0.2120648299826781,-0.620677131441391,0.06897436566702843,0.14440705015914126,-0.37493789749083595,0.21331708888608455,-0.0305756274975241,0.059856081686868706,-0.22151494822555903,0.13871390725611407,0.2846203060088656,-0.23361740664047345,0.3654214001322146,0.6234461241299868,0.2862322550255796,-0.09471268509043956,-0.10349814173400923,0.2787701237428709,-0.506217398079288,0.4099136502036269,0.02479569750131222,0.02615292940853453,-0.13962419594910785,0.029434008448379678,-0.08261774119468063,-0.3308963087155754,-0.006309445082519738,0.1257287864659266,0.17917227975802855,0.04918168506423083,0.379834692375109,-0.06623090044704504,-0.2067416287712357,-0.10648243131984944,-0.10799031056260952,-0.010299905822769684,0.0031154764082301223,-0.011840037684894646,0.15853752012921024,0.20875779955471735,-0.07300892491500344,-0.0019267434956063978,-0.2814845637664331,0.06717289637754646,0.06648937163667284,0.1433962266905489,-0.24331824695013066,0.3130852388599192,-0.2127020364016008,0.15577373922451052,0.43050782753039274,0.1706566227992198,0.05321136421147858,-0.5499782875932168,-0.2161446332659706,-0.05444514864384278,0.3727206957217631,0.4344491889561575,0.09352066959963368,-0.351898392172147,-0.3136846810655103,0.11461872547032034,-0.3545339175347628,-0.2333761664158229,0.02462053058170338,-0.17069297106231054,0.17248006648528072,-0.1793282047008085,0.2853182370627117,0.15567775235854472
2,subgenre-current,novela romántica,other,100,3gram_chars_word,zscore,0,2,novela romántica,other,-0.15851094123177767,0.010241176135920738,0.010165609695391348,0.2291455056258977,-0.1131751049338978,0.30355228925752287,0.28518296838692925,0.1813153450287426,0.16568198158173308,-0.45355018481823356,0.21249284930820206,0.05480958734418069,0.2197824081290367,0.9103336480623019,0.0033583678439688402,-0.17587358689027688,0.3133437340309545,-0.2722433851266334,0.14652046689698567,-0.3542105193149093,-0.087338047089562,0.06453497612147514,-0.47043137263350504,-0.22353306481327026,-0.5330386993877402,0.24400769743652617,-0.07633910734240507,-0.09988068663421867,0.010092176194587743,-0.07844957118691234,-0.007146404506158801,-0.6205321042690101,0.2372901350931926,0.21076904862121473,-0.42253341988348714,0.35420519573953446,0.19162938772316845,-0.27476965980605267,-0.3742265456685629,0.04354747487240333,0.33092150356601535,-0.16760700514910074,0.0629288303950983,0.4071397604623779,0.22927840010946526,-0.07475654527686433,0.08925050161049086,0.3567399707461091,-0.43953053523272584,0.37901487661196354,-0.11163988404442188,0.019797961296363034,-0.1143345776377229,0.12696252689142734,0.20618608007976374,-0.17876888062595442,0.02077086300699181,0.04684271178542432,0.20021328810827516,0.15206338840309594,0.06124057522247027,0.19111957776976216,-0.05492631213434282,-0.3088518996885692,-0.0762990569417681,0.1087765422431294,-0.06142239266534,0.05346606885756555,0.3287193817340347,0.11128883917117813,-0.03327676756082254,0.16411161072193742,-0.3268359236937306,-0.01915399638121862,-0.14785908569665257,0.17633078458830764,-0.3388609881759087,0.40348965899281497,-0.04400334939180228,0.21521261329287583,0.3557715665600176,0.29643690410561047,0.07622877270981854,-0.6948280457384199,-0.3072915614642523,0.12733218137492386,0.08739053764875593,0.4021782755913602,0.21422047859573964,-0.4871802957486405,-0.24268233418709118,0.1726698537033935,-0.4161258050372834,-0.08235402998381378,-0.05210959046830245,-0.19068480152212106,-0.14743005219904706,0.057237520983984685,0.23802284435244947,0.09923408091928014
3,subgenre-current,novela romántica,other,100,3gram_chars_word,zscore,0,3,novela romántica,other,-0.00833960670636924,-0.011284904573081574,-0.025734586051872184,0.16900916976274022,-0.150992279379547,0.5250068955213695,0.41089733960442243,0.08778442008992811,0.17217776167860743,-0.48355169746419147,0.3259917328628695,0.19223957888491774,0.30309419220859624,0.6527596911118599,0.12325808794754023,-0.2991515670151142,0.5853924577443528,-0.28823909446005874,0.23037580871263322,-0.18299824589379343,-0.08399715879019404,0.1297524739551571,-0.49531496804281705,0.05523667677654606,-0.40719367493138603,-0.10994946369392583,-0.24420488543794328,-0.11312418741258438,0.18206544025358495,-0.2612490530544934,0.032266419966404766,-0.4837732967438146,0.04362197225748367,0.25947508567556243,-0.31550325545658164,0.22497531350156874,-0.05353846531611886,0.06271453615906121,-0.3073077095744854,0.07241813315114569,0.20094494341520683,-0.3463494869137121,0.14828862435718107,0.3510678520701022,0.25074446628116076,-0.14238868976594515,-0.01713457355535547,0.16586116092168224,-0.3283555706301981,0.35888859178349103,-0.18365021050102973,0.040925098131963336,0.09908629102351926,-0.07909780050901843,-0.022086454763720592,-0.32702882716596393,0.1059228812313168,-0.1406415325720929,0.19905954958547042,0.2056848486490941,0.21623345165505747,0.028907747131122187,-0.08863689604856491,-0.18828488953124456,-0.2898568879717408,0.06897276790637034,-0.24073429211172281,-0.1039563191290982,0.1925123532175061,0.02925184071445627,-0.266510998959842,0.06722067360403339,-0.4418472237016783,-0.2989781110325449,-0.0703407019352979,0.5099130719284746,-0.21651627094247128,0.2675103080735712,-0.13975099109401556,0.6096727708394007,0.37052821134721714,0.20797592482868088,-0.15331274483466442,-0.512963629061218,-0.29167322732631995,0.4162937669446546,0.16060666350208586,0.5942116635578193,0.24319386366153425,-0.42026993776806437,-0.3283552068419046,0.005930846000266096,-0.2628891115249904,-0.16241745952194944,-0.13953683159274488,-0.09137499099435234,-0.00043415385190943845,-0.12243319899412736,0.3865787159908833,0.2804986260685017
4,subgenre-current,novela romántica,other,100,3gram_chars_word,zscore,0,4,novela romántica,other,-0.1527057108316322,-0.1659619895020279,-0.16805033060961563,0.3424676230669942,-0.18281885832663236,0.40191536110270776,0.28101280423846087,0.19851702279300096,0.09752210723804855,-0.7037772204377915,0.22680134803741867,-0.07412916632002932,0.19495037841718113,0.7246695062935447,0.016779440461094364,-0.3127310414720468,0.5567568020150685,-0.40619917125794314,0.03643518837692067,-0.15584636003380556,0.06935843915211137,-0.07592565759950334,-0.3361990570022323,0.10513969291396205,-0.3351483046583736,-0.09694546492705813,-0.18999446419910465,0.05168781139952236,0.2089033413768451,-0.41666629021860624,0.17743647131549978,-0.6022571719737998,0.10442237755460615,0.22522833549763113,-0.14044353360963116,0.3298689686661862,0.08769340883350242,-0.038212965343872196,-0.2968682329085981,0.15719343081616666,0.1435468168872178,-0.4779675733861357,0.29691868777170977,0.22691155783514638,0.39739510448217424,-0.04942932621718005,0.181094495477489,0.23399318797188987,-0.31261539636400554,0.371316817349216,0.08012153900894811,-0.15473737408274738,0.10186242020687031,-0.08967531689980641,0.21789600612240365,-0.18019576891030548,0.08272620819692406,-0.04295070638316603,0.1653235729473298,0.23667941311737475,0.34683497224310117,-0.04304886457169132,-0.217643202481954,-0.22443039986924632,-0.1675292203006849,-0.1882843222073687,-0.08807936294922314,-0.1271144034996517,0.28253161212248756,0.06562868896824836,-0.27945025316950955,0.06271051211582468,-0.22128451971277763,0.03895703409670652,-0.12041914252422434,0.4053542088971507,-0.3798306989889412,0.10138505271834819,-0.21042199779837378,0.3744201203152216,0.47037454239897847,0.2757079583606721,-0.08071618782641404,-0.6630938569426452,-0.44531518655957225,0.08710091389183944,0.29052003816586286,0.6287032106144782,0.22743432776123762,-0.39455057304694824,-0.3566783978210273,-0.06384026342216229,-0.27056226042420195,-0.2033813420465539,-0.04835042838676365,-0.0906821247162318,-0.0724230051277504,0.1387004764706002,0.2977698015394553,0.24776235533936142
5,subgenre-current,novela romántica,other,100,3gram_chars_word,zscore,0,5,novela romántica,other,-0.06621357382107651,0.009086357165345782,-0.16143340781119725,0.16729457620391136,-0.04609785234589375,0.308346499692294,0.34344120275031975,0.3471637514794587,0.1612235617928695,-0.516348802145674,0.31513257463311634,0.05814246777330704,0.1219491620702265,0.7548987338536697,-0.1010247267039437,-0.3970162513598354,0.6590168232105365,-0.20159950700102613,0.09331868509090421,-0.3118940729617438,-0.09230781248183305,0.15049442580576855,-0.42503167191642766,-0.10141648715783308,-0.5485098274954129,0.14482921474453075,-0.10706924039036017,-0.32943675614898105,-0.09788369793151575,-0.11823530071246074,0.048263142408150175,-0.6877892148416213,-0.09016159911461617,0.17137114210064136,-0.267679219324826,0.40951132113945854,0.11281395161677538,-0.019657467177711344,-0.38614250527389193,0.15741745452294992,0.20737605203198364,-0.2000538961131022,0.1507810959436252,0.3699884086347552,0.4122789988608858,-0.15990500998985724,0.23492002159258038,0.2556205875338464,-0.010830368352216138,0.41990438195882485,-0.07226468869308206,-0.1531205972079233,0.020697342919055242,0.11690800897577786,0.17783174291709625,-0.08707273416000827,-0.009021416518556619,0.0967886196845962,0.29644170288317057,0.36017369774307334,0.26528991708350164,-0.10770216244126554,-0.1532170828165425,-0.0016008024692670542,-0.24884581438395545,-0.0738659338659999,-0.15253040356998357,-0.3394540784788215,0.13770367266522518,0.1654195985518464,-0.09948624388155099,0.2092905062012761,-0.49367215090831257,-0.13329878452295435,-0.10318765970426508,0.36940056957424294,-0.3704523342539872,0.27999057548184814,-0.3168219655335319,0.6552820472618534,0.1954079166298049,0.06055880184834862,-0.19457504742770587,-0.33386270168168186,-0.27733630104055557,0.19175019478580593,0.3076090700272767,0.4871954697343982,0.15271944766538187,-0.4612923854953832,-0.31797767825915996,0.017118802595701255,-0.24033943314086922,-0.3646052458794185,-0.33817249624986,-0.2799914314767786,0.052986156601865814,-0.03923750655237873,0.3778179682297329,0.08827579637343143
6,subgenre-current,novela romántica,other,100,3gram_chars_word,zscore,0,6,novela romántica,other,-0.025553450677741583,0.00045399585998409653,-0.06553619772190836,-0.06075970390508957,-0.19158182102132046,0.47293158165899196,0.3741497787549982,0.20812810260382214,0.16024952931606873,-0.6299096317307177,-0.0686330674481144,-0.016939779954723174,0.23796632941756576,0.6333679010176494,-0.13672628131602535,-0.3747859664742203,0.501316760219597,-0.14337501349586165,-0.022723601017400605,-0.19298742870903368,-0.002834227224800853,-0.12926628608621238,-0.7681902088110854,0.0633469202275433,-0.35695039339499707,0.02159853347515743,0.161683958583808,-0.24279831973751653,0.17911092957833258,-0.03191657346384781,0.10336935662853793,-0.4685436914972355,0.19524417951355105,0.2242972646212541,-0.14521565074111747,0.5532584740124236,0.21976747390425336,-0.10056529608973061,-0.3798500703454085,0.39687171737080545,-0.02043289321232769,-0.17746614511738118,0.22304040398316158,0.4764749189904448,0.45828893882551586,-0.20135579475109708,-0.045192766359542884,0.09796624464016121,-0.19362474845234015,0.5499164869009385,0.05211655602814469,-0.2233740063550539,-0.010516439752291135,-0.023422503605888864,0.02959742763370085,-0.15179045336852498,0.0934488818770835,0.007766922388993125,0.22458206099700342,0.0906768258540574,0.3022372089499724,0.06481811441770075,-0.06354092675088108,0.025520974037489694,-0.39338385172870716,-0.2528795947039222,-0.18615938628240825,-0.051315608406906334,0.1347420019304907,0.21509640424978743,-0.020645519571245982,-0.032008584264893176,-0.4288645607875293,-0.18290625971593197,-0.11287459188797658,0.4043625404571275,-0.2696112428281899,0.3119244625705717,-0.0671022315477152,0.538107079764291,0.21514277762774917,0.08893050433426622,0.009319220884739764,-0.4208772807750374,-0.43003745709806307,-0.10581292326591174,0.39628418260534476,0.39326850496566196,0.07103508642697129,-0.3712136411010153,-0.5954721701188193,0.12063412469459844,-0.17321035827011286,-0.06393936912423029,-0.2928383973603617,0.043154383243393525,0.004833487238950898,-0.24874811889664228,0.26149951130485094,0.21839759763090194
7,subgenre-current,novela romántica,other,100,3gram_chars_word,zscore,0,7,novela romántica,other,-0.2480800286920747,-0.06444883913435172,-0.10822870755179431,0.15444910539690843,-0.3037511946976137,0.46159258384300494,0.38337680053756085,0.3793387051569289,0.16166241076024918,-0.5836237441699317,0.19292448414040742,-0.07454286757185774,0.16491276965953053,0.9380453787679468,0.036340242576282766,-0.30006543721919743,0.4597725243012374,-0.24643135431909102,0.10743841082817479,-0.11631208992164778,-0.08091077538625091,0.06803090911500936,-0.5419704363059095,-0.07127493906236401,-0.5031916976389452,0.05644326681758815,-0.2172565220358761,-0.1506826971014615,-0.010308668376366681,-0.3175364331534757,0.09476559997332128,-0.6880568379245658,0.22954115731357333,0.17472673552906584,-0.23766613519530888,0.4437712052201687,0.17132711437505918,-0.06678779528171006,-0.3051390560557655,0.2750407016431708,0.04556641033505368,-0.22224401433340002,0.23246258088678845,0.5300085268834935,0.31988104953112484,-0.19654032561574397,-0.08892524682009287,0.33056864369602107,-0.2725148130275806,0.5260816854092598,0.036802816373892724,-0.11562479857165148,0.06039018995975606,-0.06621034227041378,-0.03441802422539818,-0.1435605932522751,0.016218905921299688,-0.05416398083313065,0.2368681493366319,0.2683882842162402,0.3771341155621951,-0.06819034867058785,-0.16099170724260636,-0.21861612529579716,-0.33823106891983595,-0.1049345870038999,-0.15451809349274195,-0.16391451396523452,0.2525378238751065,0.23591263909228627,-0.041036475193895,0.18142260917129205,-0.5389375499266866,-0.048360667879256414,0.04586911132695265,0.41776073312815354,-0.4037897235782961,0.3262617917260296,-0.09593480052498785,0.5709726581993856,0.34580636394061903,0.13299066834971582,-0.0935050031196939,-0.6830287334373542,-0.4567874682457888,0.08019224272866331,0.3166436922346181,0.6114688255067714,0.12136835579558233,-0.4665020228512707,-0.34447042282977836,0.021655712181153752,-0.2350244275498857,-0.27150076319084354,-0.3572019304024405,-0.08518095507587212,-0.02712057845699748,-0.06460827600251548,0.314566613984122,0.20977419850734957
8,subgenre-current,novela romántica,other,100,3gram_chars_word,zscore,0,8,novela romántica,other,-0.21601714493589372,0.21165365833272642,-0.21074651087260748,0.0012236587265966048,-0.06193813368303882,0.27140264713479123,0.2617563896713013,0.32827378784987615,0.22346816318697238,-0.5231532359994526,0.15713198012167512,0.042953434773615795,0.01770275568273756,0.5392156377781793,0.014277362743683034,-0.4666220557705447,0.41847136306126403,-0.06984965979502894,-0.06108613470738393,-0.22218280550591335,-0.07434868152440216,0.24290651588869977,-0.5779702805407094,0.07799129080841724,-0.08589611138762679,0.034177683653670354,-0.12221713158319078,-0.08415539084311971,-0.017925416313339937,-0.21160624978596937,-0.10348658325188845,-0.5497620258951192,0.22638887061265023,0.2019354419852149,-0.12413671045037611,0.2509877503907711,0.28665691636336504,-0.16236382867647794,-0.28616131113023885,0.3285003332178017,0.10288613148307171,-0.11794137575677963,0.3320194511261184,0.493109565605021,0.19337082368956676,-0.1550819329624531,-0.09197513031267272,0.18601181103950842,-0.2487560489106341,0.2755785564691421,0.044784712733229315,-0.09273336929124268,0.011679688077828015,-0.08694820757028357,0.11834517580032772,0.010387981300063999,0.19224814331462545,-0.3121635632148094,-0.11262049224592663,0.11761376197011797,0.1601361822535861,0.1927394241816757,-0.03132428690897252,-0.041506789362374036,-0.4259367319129994,-0.044098900561122284,-0.14345120151081772,-0.15153882270881391,0.13393358154103935,0.20312803001760432,0.014038129652480628,0.060597074812037244,-0.32562192681414914,-0.16690766469659193,0.09423290585742625,0.4949292955563423,-0.49692564967100916,0.6778809536155307,0.09947572268324131,0.4570846658764912,0.11624564652009867,0.12986957931885598,-0.09810707282856396,-0.3956322082752409,-0.36582061783927755,-0.02820997745568242,0.5606830630853088,0.5767563907647666,0.22330815194587292,-0.44139621544155166,-0.4889579481845192,-0.06612132625710265,-0.28828654711198953,-0.2508425129014465,-0.39107395344723,-0.1299228306804977,0.03756452263335124,-0.15320505796872486,0.34514599737354495,0.06055521515427657
9,subgenre-current,novela romántica,other,100,3gram_chars_word,zscore,0,9,novela romántica,other,-0.11113675296373866,-0.022851281371087762,-0.15848354534708173,0.3624362881342613,0.034273038548345625,0.4919809097141109,0.30897940991802736,0.2974535355108768,0.06551631645083128,-0.6154251384904044,0.3340496581786378,0.015470239935159407,0.36017219630427655,0.6569301911682972,-0.25579755550214966,-0.48767626652593277,0.6509096637802206,-0.34125204829157846,0.08451438005122047,-0.12615872027743202,-0.01627071868697837,0.09648558219816332,-0.4408783976618646,0.06409594665420933,-0.446055540834595,0.06425940082349874,-0.09054729749462777,-0.2581695630906132,0.08219210039057896,-0.1401891642124293,-0.0561893697561242,-0.6109530383347839,0.0885485346040978,0.22119253534943564,-0.15290304969906776,0.31478376440202194,0.20031661293195244,0.0064768416847608215,-0.38197257923248684,0.1182690637697667,-0.12142434150113214,-0.21593576856160607,0.32528595237918984,0.4780226549467714,0.44220352031618426,-0.14815650520829635,-0.046738170564693246,0.2108522974473463,-0.16912485012570275,0.2985570384160552,-0.1746722116391927,0.07779696740804719,0.04065768552044408,0.044975949834856796,0.20980429763372588,-0.16308756427858523,0.047846653335190704,-0.0540381629150733,0.08928071179820096,0.20554504260790643,0.29723294557538477,-0.06323698071124977,-0.21669301957410023,-0.33252511582756766,-0.40648443270482876,-0.08332261426385769,-0.13532755090079135,-0.05046176753954833,0.12672261357503103,0.20047607719747057,0.1794423227321764,-0.07451842350030367,-0.3653699162901911,-0.08378177799021733,-0.2710724867828275,0.42834682180007433,-0.48725753666875593,0.32859462112095816,-0.1761840397631163,0.5326693069926358,0.3833062874876876,0.35208953882917093,-0.058178254164785684,-0.45936647497099237,-0.47676700400998967,0.09501781650488775,0.2708898167923968,0.6161060183767836,0.16534088465589877,-0.4462837109786396,-0.3147613892029672,-0.20482831606461088,-0.3015670159403179,-0.06580923835404455,-0.17013559077762277,-0.15388025349317117,0.005966375408033123,-0.13389093246296896,0.3250135877041323,0.2999205478869783
