,subgenre_level,class1,class2,num_topics,optimize_interval,data_repetition,topic_repetition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,cv_call
0,subgenre-current,novela romántica,other,50,500,0,4,0.3596835382709362,-0.4869472499930071,-0.6550976741400708,-0.5995657904716196,-0.5845358621319252,-0.6320755950901534,1.3234156331795837,1.1813276950468603,-0.4714896041494517,-1.5564213671184604,1.2249648368271038,0.41008062965790026,0.6554387168095402,0.34764089917402524,1.2159891829851035,-0.19781738623164086,-0.20800486800734092,-0.4718407132445014,1.0219236286306144,-0.6322887322773518,-0.29324715425898595,-0.6026174819393102,0.8251035857857085,2.1688635744456684,0.24325060770864906,-0.4568648151884158,-0.5348159576836526,-0.33499043640142584,-0.8326580715617986,-0.040559495465680113,-0.5928857414158539,-0.9396990200221385,0.02558998808620502,0.5138282369266814,0.6225532455880451,1.3477640454822917,-0.3823474143849993,-0.8565721459070155,0.966808679607976,-0.5373790883780826,1.7496032100592374,0.004316432689673875,0.02167981542697436,-0.34038247741436106,0.6507573778777254,0.9965765494311624,0.32342887746610754,-0.58199721410522,-0.13540766506172627,-1.4692022583643365,0.0
1,subgenre-current,novela romántica,other,50,500,0,4,0.4412411618589379,-0.4727175351678386,-0.758381563008523,-0.5207055082328359,-0.36076455352321307,-0.6157065744007751,1.0115568086890705,1.127302668980472,-0.06688127530789142,-1.7897583258895156,1.416481909843241,0.4599567624524762,0.6541332349679524,0.4619488668254793,1.4212856011116235,-0.15752823274671374,-0.2855027182377861,-0.1812040688771108,1.0205269528148342,-0.5961426474098609,-0.2714688149630159,-0.4160233947196374,0.7412265949178047,2.0529016610226387,0.24686022786281334,-0.5343566103867359,-0.35111516711099194,-0.15218469759411965,-1.3760202395967822,-0.004978796854152978,-0.5037382412996206,-0.2756199558318205,0.045296112129922135,0.5199865768517472,0.7954497368248719,0.006833690493180885,0.06191545802634471,-0.6684010021445577,0.8728405834409549,-0.07797232983298029,2.470854325632994,0.018861749822227592,-0.1762635942826697,-0.7185137199130014,0.5152506088157836,1.1760740427976264,0.4443720771651526,-0.4865377333894057,-0.10824776504075598,-1.5803667334924762,1.0
2,subgenre-current,novela romántica,other,50,500,0,4,0.09536526374744714,-0.4926054755683485,-0.6782802814596963,-0.3778818175554897,-0.6998977924822003,-0.7299918024511437,0.9962685179143512,1.0234691931812716,0.1209414658037595,-1.6903188864652643,1.3101322408507892,0.4154409460740627,0.6552616465753606,0.32064292525180105,1.3456580285021815,-0.11792317100148487,-0.3617358012996925,-0.40812936524901133,0.7879000870218461,-0.6176929047561963,-0.3271675801786156,-0.5180319161589243,0.8225026178141764,2.26584232065208,0.24429381694425106,-0.5639218388148631,-0.4275408884606777,-0.4864030772935869,-1.390477651456256,-0.0035470097332697477,-0.4770017937738637,-0.8011027900466436,0.07237695471284881,0.5105831931514039,0.7319430472356816,1.2918262579147142,-0.029898923643067742,-0.6902276344858785,0.9170534345170348,-0.21159890444529889,2.3971445293864777,0.01970594001607932,-0.19072008119217124,-0.6828273911179941,0.6671399356858053,1.0475074646627456,0.5408310088199557,-0.5959379387093159,-0.2652557720807143,-1.3813112279646198,2.0
3,subgenre-current,novela romántica,other,50,500,0,4,-0.014433897423457534,-0.4791540682721279,-0.7104751618398495,-0.3129208429372193,-0.6453318726350844,-0.6829720526790343,0.9837085526822472,1.0883569640204542,-0.31008575212959616,-1.3681664624799,1.3944719915565835,0.4883326751136081,0.6547449641596903,0.3943665886321572,1.483055457571515,-0.2035176587381123,-0.354130475887503,-0.3447371269069699,0.532753796009138,-0.7358805962775565,-0.362949211764455,-0.5760522131650049,0.6627532142035674,2.1476774014613005,-0.06311877679296056,-0.5399770385689621,-0.5643596254729576,-0.3318923931141644,-1.2439206187877119,0.009328835717153304,-0.5920027311001758,-0.5246737590726716,0.08847829407347295,0.6484366903348324,0.7050712864840349,1.325224004303896,-0.026927705375508024,-0.5787671392046521,1.0758379545421748,-0.37144996651673023,2.0739601534220107,-0.002909430679974057,-0.0006002389113083737,-0.534424323766676,0.26653045280540144,1.1112688134163555,0.3434245223100069,-0.6147666286962763,-0.3459825525109577,-1.2683922760879571,3.0
4,subgenre-current,novela romántica,other,50,500,0,4,0.3069475314956669,-0.4831403856227434,-0.5381209025299557,-0.2537132054513588,-0.7671615688119641,-0.6582572473777727,0.8458400250547058,1.2860452923699484,-0.238584799729953,-1.3691654267942566,0.6866714666245001,0.3082857102796036,0.5170442484981715,0.421921763483712,1.4638178853222201,-0.11373631660628356,-0.3964611827894368,-0.6036393404899766,0.9870132802534496,-0.7464541874678672,-0.27281919754716416,-0.5773267239414995,0.8805605595761121,2.0801409340601027,0.25274575205443384,-0.7348706599891479,-0.32188311898671385,-0.4087119651024985,-1.3198951136235382,-0.016120087075180943,-0.6390068859962258,-0.6355119660138528,-0.06541455791443382,0.2579204774124022,0.7271199268574936,1.3172702937393843,0.13081194643879634,-0.7001476722092538,0.8878816523450956,-0.08885159260194632,2.5244028147509714,0.016309800961517282,0.21249655980256435,-0.6519757407447114,0.5614441527435914,1.0384120206747494,0.30169959198420804,-0.5204700556727823,-0.29102556839334537,-1.3828456919205292,4.0
5,subgenre-current,novela romántica,other,50,500,0,4,0.18743484818421105,-0.49997970797585295,-0.8280319857965566,-0.07267785018969747,-0.7924300162959564,-0.7333548021842438,0.8836100520521861,1.0224901617930542,-0.15755307454227216,-1.4352788807642205,1.4320940144602838,0.5068666594512665,0.6547071068682777,0.3488955212425326,1.3628871497175008,-0.1944311078070108,-0.4250028495907382,-0.24583441224750235,1.0179609247781296,-0.7739942921947048,-0.3557891447322605,-0.6691103422251832,0.43407503610054143,1.9028750000994763,0.24274980098156984,-0.3737512890696297,-0.4282265380260747,-0.3352971567810156,-1.3533287467397592,0.0186323884093461,-0.31318341067077643,-0.8054694235298206,-0.10501302931403028,0.5943432979187622,0.6143965809427602,1.3436186666741827,-0.021049255690379846,-0.7953229453199612,0.9026418301280048,-0.3811761807993389,2.4612717108296875,0.019798112966696514,-0.16468362563043684,-0.5177716815107144,0.5366878495940556,1.0973013172208623,0.37338735649671206,-0.5210709294663868,-0.3971530817784284,-1.2532837695055363,5.0
6,subgenre-current,novela romántica,other,50,500,0,4,0.3610531834066344,0.2166857812254492,-0.818931836549543,-0.6278349143121044,-0.7088722044324179,-0.6876232423485283,1.107229069266647,0.4498681524110247,-0.035230203819161136,-1.2285416043064266,1.459616725341602,0.4553752994988708,0.6674783302925847,0.002066466562022608,1.420301437201705,-0.2028658464364872,-0.5438070574632825,-0.4776651980380253,1.0539038132779466,-0.7275449053415699,-0.30793766162207864,-0.6931892411332643,0.5477744118676509,1.727721614075041,0.2918118182949835,-0.6167055799073924,-0.5589721180539721,-0.5727544156333567,-1.3795269797095933,-0.008503959778192956,-0.5282227246795491,-0.7384275392336632,-0.08150006585518121,0.5611749548502719,0.6164875524983692,1.2983537272955836,0.16942512827351552,-0.8257863233490611,0.9573160698761785,0.11728355132133005,2.1892438927667173,0.006470480949090463,-0.16493850977263147,-0.40998994173458697,0.4995844033798881,1.0867158369936754,0.3691536414177379,-0.5415780189097442,-0.20303315542785808,-1.5391995806330865,6.0
7,subgenre-current,novela romántica,other,50,500,0,4,0.12976899548821907,-0.4672968778826931,-0.6242960365041477,-0.43738876165391,-0.8906187149009911,-0.6927245671438135,0.7657980106740381,1.0684533219527612,0.10523397642808248,-1.324226895020812,1.480802897950811,0.4450055285358768,0.6552182811343755,0.5294143336805835,0.9336628371086494,-0.15314524520147946,-0.3850292775194056,-0.1640019622010947,0.8727764820047926,-0.7286326775303525,-0.3349805669425858,-0.8048521766075211,0.6500358145243704,2.237709838274817,0.24148344941148206,-0.6288692906640818,-0.30060374410637986,-0.2758868212104837,-1.3998841848225418,-0.012540160873888168,-0.4820784582523901,-0.8648790744968381,0.00877158872554667,0.5944490340480371,0.9137340931375856,1.340763997591867,-0.05997455190335795,-0.7312231037603931,0.6582770152888412,-0.034346922480688456,2.27869714844653,0.016404385502004737,-0.0778478886579679,-0.7251008075191592,0.5813928432556206,1.2115114991550922,0.43255227839647103,-0.5902218011071952,-0.3590412010386257,-1.2251115982442011,7.0
8,subgenre-current,novela romántica,other,50,500,0,4,0.4140167590587915,-0.5295855455078047,-0.8397795388430641,-0.2303059510076413,-0.8133957395713985,-0.2674094451010489,0.7295578942176792,1.2083109705532675,-0.18637835619905985,-1.477628396205816,1.4293118672930545,-0.3063341446150242,0.12271540989823952,0.5376788789014578,1.4310587450614622,-0.2307588188922722,-0.6624595634525831,-0.3930957892424412,0.5104361832795791,-0.7651737124149417,-0.22106318039591888,-0.6200974886055972,0.6490636436234721,1.7317615961484336,0.2424660076451952,-0.6285217294264648,-0.5082861999612532,-0.4296665713125746,-1.287335464941615,0.023303576800347017,0.3750088938150519,-0.8623115786743709,0.022495624774722053,0.5314658895703398,0.6854638883899139,1.3204551384353955,0.036783665656924855,-0.8645819581282941,0.914975304238006,-0.26037173186635204,2.3774587790453405,0.016145182096756534,0.098919188519331,-0.5797539656683857,0.4128634643332635,1.0015781792250074,0.21941921468290465,-0.4787332753736046,-0.3734818983674484,-0.9691608380991226,8.0
9,subgenre-current,novela romántica,other,50,500,0,4,-0.07921169836307201,-0.5405098617689768,-0.6908552591554951,-0.4408541264136553,-0.7682918661847937,-0.6772687244848998,1.189357745755693,1.0402210543107313,-0.15177501834392124,-1.225060324570295,1.350220393166759,0.5116510080081866,0.6552265838871345,0.2562281864470641,1.2093341759512095,-0.14884060493201004,-0.3634185286346031,-0.10879514875675372,0.9445566300635508,-0.7091706196953471,-0.34276212530155153,-0.5074882120976774,0.816261217859095,2.008137733964928,0.14982752016656795,-0.6245361611186944,-0.43757144193046943,-0.3908104732040006,-1.4269441374153242,-0.004817043154494179,-0.4218435669878131,-0.8156700335322989,0.106272609802491,0.531439358860503,-0.17259876080372566,1.353082985466754,-0.02334913563775332,-0.827802911665636,0.897163391332884,-0.3441027319891932,2.3257919493292327,0.0289533500692065,-0.1850296397098692,-0.5905023893824751,0.7018411757607963,1.1658411984135049,0.6903895654281099,-0.5741765425113152,-0.38261283800311785,-1.455956828909854,9.0
