,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.0012352466583251953,0.004641056060791016,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,0
1,1,0.001222848892211914,0.004555463790893555,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,0
2,2,0.0013387203216552734,0.00500798225402832,0.8235294117647058,0.7692307692307693,1.0,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,0
3,3,0.0014581680297851562,0.005306243896484375,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,0
4,4,0.0013914108276367188,0.004892110824584961,0.7647058823529411,0.7142857142857143,0.8333333333333334,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,0
5,5,0.0012526512145996094,0.0045795440673828125,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,0
6,6,0.0012235641479492188,0.004614591598510742,0.7647058823529411,0.75,0.8571428571428571,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,0
7,7,0.0012269020080566406,0.004833221435546875,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,0
8,8,0.0012319087982177734,0.004644155502319336,0.8235294117647058,0.823529411764706,0.875,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,0
9,9,0.0012302398681640625,0.0046842098236083984,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,0
10,0,0.0012018680572509766,0.004610300064086914,0.8235294117647058,0.7999999999999999,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,1
11,1,0.0012013912200927734,0.00458836555480957,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,1
12,2,0.0012009143829345703,0.004612922668457031,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,1
13,3,0.0012018680572509766,0.00452733039855957,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,1
14,4,0.0012023448944091797,0.00447535514831543,0.7647058823529411,0.7142857142857143,0.8333333333333334,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,1
15,5,0.001199483871459961,0.004503488540649414,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,1
16,6,0.0011970996856689453,0.004521369934082031,0.6470588235294118,0.5714285714285714,0.8,0.4444444444444444,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,1
17,7,0.0012066364288330078,0.004509449005126953,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,1
18,8,0.001268625259399414,0.004627227783203125,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,1
19,9,0.0012328624725341797,0.004533052444458008,0.7058823529411765,0.6153846153846153,1.0,0.4444444444444444,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,1
20,0,0.00116729736328125,0.004575014114379883,0.6470588235294118,0.5714285714285714,0.8,0.4444444444444444,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,2
21,1,0.0012021064758300781,0.004558086395263672,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,2
22,2,0.001230478286743164,0.0045185089111328125,0.8823529411764706,0.8750000000000001,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,2
23,3,0.0013058185577392578,0.005311489105224609,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,2
24,4,0.0012340545654296875,0.004558563232421875,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,2
25,5,0.0012140274047851562,0.004559040069580078,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,2
26,6,0.0012288093566894531,0.004618644714355469,0.8235294117647058,0.7692307692307693,1.0,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,2
27,7,0.0012428760528564453,0.0045545101165771484,0.7058823529411765,0.6153846153846154,0.8,0.5,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,2
28,8,0.0011975765228271484,0.0048830509185791016,0.8823529411764706,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,2
29,9,0.0012323856353759766,0.004676103591918945,0.7647058823529411,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,2
30,0,0.001247406005859375,0.004632472991943359,0.7647058823529411,0.7142857142857143,1.0,0.5555555555555556,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,3
31,1,0.0012285709381103516,0.004615306854248047,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,3
32,2,0.0012006759643554688,0.00492548942565918,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,3
33,3,0.0012044906616210938,0.00461888313293457,0.8823529411764706,0.8750000000000001,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,3
34,4,0.0012085437774658203,0.00471806526184082,0.7647058823529411,0.75,0.8571428571428571,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,3
35,5,0.0012357234954833984,0.0046579837799072266,0.7058823529411765,0.5454545454545454,1.0,0.375,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,3
36,6,0.0012135505676269531,0.004609584808349609,0.9411764705882353,0.9333333333333333,1.0,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,3
37,7,0.0012078285217285156,0.004595518112182617,0.8235294117647058,0.7999999999999999,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,3
38,8,0.001209259033203125,0.004564523696899414,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,3
39,9,0.0011959075927734375,0.004553794860839844,0.8235294117647058,0.7692307692307693,1.0,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,3
40,0,0.0012259483337402344,0.004616498947143555,0.7058823529411765,0.6666666666666667,0.8333333333333334,0.5555555555555556,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,4
41,1,0.001253366470336914,0.004582881927490234,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,4
42,2,0.0012483596801757812,0.004606962203979492,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,4
43,3,0.0012860298156738281,0.0046961307525634766,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,4
44,4,0.001241445541381836,0.004584550857543945,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,4
45,5,0.0012660026550292969,0.004714012145996094,0.8235294117647058,0.7999999999999999,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,4
46,6,0.001260519027709961,0.004717350006103516,0.8235294117647058,0.7692307692307693,1.0,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,4
47,7,0.0012347698211669922,0.004639625549316406,0.8235294117647058,0.7999999999999999,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,4
48,8,0.001199483871459961,0.004598855972290039,0.7647058823529411,0.75,0.75,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,4
49,9,0.0012543201446533203,0.004708766937255859,0.7647058823529411,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,4
50,0,0.0011801719665527344,0.004645347595214844,0.7647058823529411,0.75,0.8571428571428571,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,5
51,1,0.001207113265991211,0.004584789276123047,0.8235294117647058,0.823529411764706,0.875,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,5
52,2,0.0012054443359375,0.004862070083618164,0.7647058823529411,0.7142857142857143,1.0,0.5555555555555556,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,5
53,3,0.0012121200561523438,0.004562854766845703,0.7058823529411765,0.6153846153846153,1.0,0.4444444444444444,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,5
54,4,0.0012204647064208984,0.0045969486236572266,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,5
55,5,0.0012404918670654297,0.0045528411865234375,0.9411764705882353,0.9333333333333333,1.0,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,5
56,6,0.0012125968933105469,0.004766702651977539,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,5
57,7,0.0012516975402832031,0.005177736282348633,0.8235294117647058,0.7999999999999999,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,5
58,8,0.0015268325805664062,0.0046520233154296875,0.7647058823529411,0.75,0.75,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,5
59,9,0.0012714862823486328,0.004649639129638672,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,5
60,0,0.0011818408966064453,0.004629611968994141,0.7058823529411765,0.6666666666666667,0.8333333333333334,0.5555555555555556,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,6
61,1,0.0012497901916503906,0.004569053649902344,0.7647058823529411,0.75,0.8571428571428571,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,6
62,2,0.0012102127075195312,0.004576206207275391,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,6
63,3,0.0012080669403076172,0.004564046859741211,0.7647058823529411,0.7142857142857143,1.0,0.5555555555555556,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,6
64,4,0.0012068748474121094,0.00458073616027832,0.7058823529411765,0.6666666666666667,0.8333333333333334,0.5555555555555556,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,6
65,5,0.0012068748474121094,0.0045621395111083984,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,6
66,6,0.0012035369873046875,0.004561424255371094,0.8235294117647058,0.7692307692307693,1.0,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,6
67,7,0.0012080669403076172,0.0045473575592041016,0.7647058823529411,0.7142857142857143,0.8333333333333334,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,6
68,8,0.0012128353118896484,0.004561662673950195,0.8823529411764706,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,6
69,9,0.0012173652648925781,0.0045604705810546875,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,6
70,0,0.001226186752319336,0.004647493362426758,0.6470588235294118,0.5714285714285714,0.8,0.4444444444444444,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,7
71,1,0.001249074935913086,0.004734039306640625,0.8235294117647058,0.823529411764706,0.875,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,7
72,2,0.0013058185577392578,0.005282878875732422,0.8823529411764706,0.8750000000000001,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,7
73,3,0.0012331008911132812,0.0045697689056396484,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,7
74,4,0.0012159347534179688,0.004576444625854492,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,7
75,5,0.001238107681274414,0.004650115966796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,7
76,6,0.0012040138244628906,0.004567623138427734,0.7647058823529411,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,7
77,7,0.0012052059173583984,0.004530191421508789,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,7
78,8,0.001207590103149414,0.004548549652099609,0.8235294117647058,0.823529411764706,0.7777777777777778,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,7
79,9,0.0012118816375732422,0.0048177242279052734,0.7647058823529411,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,7
80,0,0.0011715888977050781,0.004659414291381836,0.7058823529411765,0.6666666666666667,0.8333333333333334,0.5555555555555556,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,8
81,1,0.0011990070343017578,0.004609346389770508,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,8
82,2,0.001232147216796875,0.004598855972290039,0.7647058823529411,0.7142857142857143,1.0,0.5555555555555556,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,8
83,3,0.0012030601501464844,0.004602909088134766,0.8823529411764706,0.8750000000000001,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,8
84,4,0.0012004375457763672,0.00454258918762207,0.8235294117647058,0.823529411764706,0.875,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,8
85,5,0.0012197494506835938,0.004532575607299805,0.7058823529411765,0.6153846153846154,0.8,0.5,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,8
86,6,0.0012106895446777344,0.004524946212768555,0.8235294117647058,0.7692307692307693,1.0,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,8
87,7,0.0012238025665283203,0.004559755325317383,0.7647058823529411,0.7142857142857143,0.8333333333333334,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,8
88,8,0.0012013912200927734,0.004605293273925781,0.7647058823529411,0.75,0.75,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,8
89,9,0.001203775405883789,0.004816770553588867,0.7647058823529411,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,8
90,0,0.0011775493621826172,0.004789829254150391,0.6470588235294118,0.5714285714285714,0.8,0.4444444444444444,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,9
91,1,0.0012149810791015625,0.004743337631225586,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,9
92,2,0.0012025833129882812,0.004994630813598633,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,9
93,3,0.0012187957763671875,0.0046765804290771484,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,9
94,4,0.0012137889862060547,0.0046844482421875,0.7647058823529411,0.75,0.8571428571428571,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,9
95,5,0.0012111663818359375,0.0047092437744140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,9
96,6,0.0012173652648925781,0.0047190189361572266,0.6470588235294118,0.4,1.0,0.25,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,9
97,7,0.0012302398681640625,0.004668235778808594,0.8235294117647058,0.7999999999999999,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,9
98,8,0.0012285709381103516,0.0046901702880859375,0.8235294117647058,0.823529411764706,0.7777777777777778,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,9
99,9,0.001230478286743164,0.004666328430175781,0.7647058823529411,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,100,4gram_chars_affix-punct,tfidf,9
100,0,0.0008752346038818359,0.0041408538818359375,0.7142857142857143,0.75,0.75,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,0
101,1,0.0008418560028076172,0.004060029983520508,0.7142857142857143,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,0
102,2,0.0008203983306884766,0.00406193733215332,0.8571428571428571,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,0
103,3,0.0008325576782226562,0.0040531158447265625,0.8571428571428571,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,0
104,4,0.0008420944213867188,0.004111051559448242,0.8571428571428571,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,0
105,5,0.0008358955383300781,0.004068851470947266,0.7142857142857143,0.7499999999999999,0.6,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,0
106,6,0.0008606910705566406,0.004071235656738281,0.5714285714285714,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,0
107,7,0.0009028911590576172,0.004224538803100586,0.5714285714285714,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,0
108,8,0.0010097026824951172,0.004421710968017578,0.5714285714285714,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,0
109,9,0.0008745193481445312,0.0043642520904541016,0.42857142857142855,0.6,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,0
110,0,0.000823974609375,0.004153013229370117,0.5714285714285714,0.6666666666666665,0.6,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,1
111,1,0.0008487701416015625,0.004108428955078125,0.5714285714285714,0.7272727272727273,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,1
112,2,0.0008437633514404297,0.0044476985931396484,0.5714285714285714,0.7272727272727273,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,1
113,3,0.0008480548858642578,0.004124879837036133,0.7142857142857143,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,1
114,4,0.0008480548858642578,0.004106283187866211,0.8571428571428571,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,1
115,5,0.0008327960968017578,0.004197835922241211,0.5714285714285714,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,1
116,6,0.0008406639099121094,0.004120826721191406,0.5714285714285714,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,1
117,7,0.000843048095703125,0.00417327880859375,0.42857142857142855,0.6,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,1
118,8,0.0008378028869628906,0.004144430160522461,0.2857142857142857,0.4444444444444444,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,1
119,9,0.0008738040924072266,0.004086017608642578,0.42857142857142855,0.6,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,1
120,0,0.0008268356323242188,0.004173994064331055,0.7142857142857143,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,2
121,1,0.0008962154388427734,0.004166603088378906,0.5714285714285714,0.6666666666666665,0.6,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,2
122,2,0.0008280277252197266,0.004102468490600586,0.8571428571428571,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,2
123,3,0.000858306884765625,0.004412651062011719,0.5714285714285714,0.7272727272727273,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,2
124,4,0.0008518695831298828,0.004190206527709961,0.7142857142857143,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,2
125,5,0.0008637905120849609,0.004154682159423828,0.42857142857142855,0.6,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,2
126,6,0.0008606910705566406,0.004098176956176758,0.5714285714285714,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,2
127,7,0.00086212158203125,0.004132986068725586,0.5714285714285714,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,2
128,8,0.0008218288421630859,0.004148960113525391,0.5714285714285714,0.5714285714285715,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,2
129,9,0.0008380413055419922,0.004348039627075195,0.7142857142857143,0.7499999999999999,0.6,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,2
130,0,0.0009274482727050781,0.004542112350463867,0.7142857142857143,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,3
131,1,0.0008525848388671875,0.004153251647949219,0.5714285714285714,0.6666666666666665,0.6,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,3
132,2,0.0008831024169921875,0.0044481754302978516,0.7142857142857143,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,100,4gram_chars_affix-punct,tfidf,3
