,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,num_topics,optimize_interval,data_repetition,topic_repetition
0,0,0.0007774829864501953,0.0036165714263916016,0.8235294117647058,0.823529411764706,0.7777777777777778,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,0,0
1,1,0.0007789134979248047,0.0032541751861572266,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,0,0
2,2,0.0007700920104980469,0.003222227096557617,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,0,0
3,3,0.0007767677307128906,0.0032188892364501953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,0,0
4,4,0.0007638931274414062,0.0032052993774414062,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,0,0
5,5,0.0007841587066650391,0.003260374069213867,0.8235294117647058,0.823529411764706,0.875,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,0,0
6,6,0.0007684230804443359,0.0032150745391845703,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,0,0
7,7,0.0007724761962890625,0.0032186508178710938,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,0,0
8,8,0.0007572174072265625,0.003221750259399414,0.7647058823529411,0.7999999999999999,0.7272727272727273,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,0,0
9,9,0.0008106231689453125,0.003581523895263672,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,0,0
10,0,0.001195669174194336,0.005799770355224609,0.8823529411764706,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,1,0
11,1,0.0013055801391601562,0.004159688949584961,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,1,0
12,2,0.0007812976837158203,0.0032415390014648438,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,1,0
13,3,0.0007698535919189453,0.0032663345336914062,0.9411764705882353,0.9333333333333333,1.0,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,1,0
14,4,0.0007691383361816406,0.0035805702209472656,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,1,0
15,5,0.0007810592651367188,0.0032434463500976562,0.7647058823529411,0.75,0.8571428571428571,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,1,0
16,6,0.0007693767547607422,0.003226041793823242,0.8235294117647058,0.823529411764706,0.875,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,1,0
17,7,0.0007808208465576172,0.0032324790954589844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,1,0
18,8,0.0007779598236083984,0.0032367706298828125,0.8235294117647058,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,1,0
19,9,0.0007791519165039062,0.0032470226287841797,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,1,0
20,0,0.0008158683776855469,0.0032885074615478516,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,2,0
21,1,0.00077056884765625,0.0032389163970947266,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,2,0
22,2,0.0007641315460205078,0.0032362937927246094,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,2,0
23,3,0.0007679462432861328,0.0038089752197265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,2,0
24,4,0.0007870197296142578,0.003298044204711914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,2,0
25,5,0.0007672309875488281,0.003214120864868164,0.6470588235294118,0.625,0.625,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,2,0
26,6,0.0007700920104980469,0.003216981887817383,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,2,0
27,7,0.0007712841033935547,0.0032508373260498047,0.9411764705882353,0.9333333333333333,1.0,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,2,0
28,8,0.0008113384246826172,0.0032300949096679688,0.8235294117647058,0.8421052631578948,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,2,0
29,9,0.0007660388946533203,0.0032422542572021484,0.9411764705882353,0.9333333333333333,1.0,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,2,0
30,0,0.0007779598236083984,0.0033125877380371094,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,3,0
31,1,0.0007612705230712891,0.0032799243927001953,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,70,500,3,0
