,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.22569632530212402,0.012762308120727539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,0
1,1,0.21927213668823242,0.013001203536987305,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,0
2,2,0.21515369415283203,0.013735771179199219,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,0
3,3,0.23093914985656738,0.014374494552612305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,0
4,4,0.2282545566558838,0.013128995895385742,0.8235294117647058,0.823529411764706,0.875,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,0
5,5,0.21568512916564941,0.01298379898071289,0.8235294117647058,0.8421052631578948,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,0
6,6,0.21721434593200684,0.012488842010498047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,0
7,7,0.2155015468597412,0.012840509414672852,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,0
8,8,0.21816539764404297,0.012616872787475586,0.8823529411764706,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,0
9,9,0.22233104705810547,0.014135122299194336,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,0
10,0,0.2208871841430664,0.013064384460449219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,1
11,1,0.21839094161987305,0.015468835830688477,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,1
12,2,0.2232358455657959,0.012688636779785156,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,1
13,3,0.2575643062591553,0.014639139175415039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,1
14,4,0.23703336715698242,0.014671564102172852,0.8235294117647058,0.823529411764706,0.875,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,1
15,5,0.2288053035736084,0.014281988143920898,0.8235294117647058,0.8421052631578948,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_affix-punct,tfidf,1
