,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.3353877067565918,0.02376270294189453,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_word,tfidf,0
1,1,0.31769251823425293,0.020322084426879883,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_word,tfidf,0
2,2,0.32801318168640137,0.01719188690185547,0.8235294117647058,0.7692307692307693,1.0,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_word,tfidf,0
3,3,0.33162903785705566,0.016538143157958984,0.9411764705882353,0.9333333333333333,1.0,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_word,tfidf,0
4,4,0.31667089462280273,0.01730799674987793,0.9411764705882353,0.9333333333333333,1.0,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_word,tfidf,0
5,5,0.3272569179534912,0.017592191696166992,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_word,tfidf,0
6,6,0.32724571228027344,0.018849849700927734,0.6470588235294118,0.7000000000000001,0.6363636363636364,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_word,tfidf,0
7,7,0.30072450637817383,0.016497373580932617,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_word,tfidf,0
8,8,0.29100871086120605,0.014930248260498047,0.8235294117647058,0.8421052631578948,0.8,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_word,tfidf,0
9,9,0.27236318588256836,0.017170429229736328,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,1000,4gram_chars_word,tfidf,0
