,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.0022270679473876953,0.004010677337646484,0.9411764705882353,0.9473684210526316,0.9,1.0,0.954248366013072,0.9536423841059603,0.96,0.9473684210526315,subgenre-current,novela romántica,other,100,5gram_chars_affix-punct,zscore,0
1,1,0.0024597644805908203,0.003912925720214844,0.8235294117647058,0.8421052631578948,0.8,0.8888888888888888,0.9738562091503268,0.9736842105263158,0.9736842105263158,0.9736842105263158,subgenre-current,novela romántica,other,100,5gram_chars_affix-punct,zscore,0
2,2,0.002313852310180664,0.003916263580322266,0.8235294117647058,0.823529411764706,0.875,0.7777777777777778,0.9738562091503268,0.9733333333333333,0.9864864864864865,0.9605263157894737,subgenre-current,novela romántica,other,100,5gram_chars_affix-punct,zscore,0
3,3,0.002269744873046875,0.003902435302734375,0.9411764705882353,0.9473684210526316,0.9,1.0,0.9607843137254902,0.9599999999999999,0.972972972972973,0.9473684210526315,subgenre-current,novela romántica,other,100,5gram_chars_affix-punct,zscore,0
4,4,0.0023696422576904297,0.003998994827270508,0.7647058823529411,0.75,0.8571428571428571,0.6666666666666666,0.9607843137254902,0.9605263157894737,0.9605263157894737,0.9605263157894737,subgenre-current,novela romántica,other,100,5gram_chars_affix-punct,zscore,0
5,5,0.0022780895233154297,0.004066944122314453,0.8823529411764706,0.888888888888889,0.8,1.0,0.954248366013072,0.9548387096774195,0.9487179487179487,0.961038961038961,subgenre-current,novela romántica,other,100,5gram_chars_affix-punct,zscore,0
6,6,0.002252340316772461,0.0038917064666748047,0.7647058823529411,0.7142857142857143,0.8333333333333334,0.625,0.9673202614379085,0.967741935483871,0.9615384615384616,0.974025974025974,subgenre-current,novela romántica,other,100,5gram_chars_affix-punct,zscore,0
7,7,0.0023543834686279297,0.0038645267486572266,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,0.954248366013072,0.9536423841059603,0.972972972972973,0.935064935064935,subgenre-current,novela romántica,other,100,5gram_chars_affix-punct,zscore,0
8,8,0.002370119094848633,0.0038805007934570312,0.7058823529411765,0.761904761904762,0.6153846153846154,1.0,0.9477124183006536,0.948051948051948,0.948051948051948,0.948051948051948,subgenre-current,novela romántica,other,100,5gram_chars_affix-punct,zscore,0
9,9,0.0026590824127197266,0.003887653350830078,0.8235294117647058,0.7999999999999999,0.8571428571428571,0.75,0.954248366013072,0.9536423841059603,0.972972972972973,0.935064935064935,subgenre-current,novela romántica,other,100,5gram_chars_affix-punct,zscore,0
