,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.004039287567138672,0.003926753997802734,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,0
1,1,0.0038225650787353516,0.0039103031158447266,0.6470588235294118,0.7000000000000001,0.5833333333333334,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,0
2,2,0.003922224044799805,0.003887176513671875,0.6470588235294118,0.625,0.625,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,0
3,3,0.0038912296295166016,0.003879070281982422,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,0
4,4,0.0036284923553466797,0.003918647766113281,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,0
5,5,0.004927635192871094,0.004629373550415039,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,0
6,6,0.003831148147583008,0.004634857177734375,0.7647058823529411,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,0
7,7,0.005995035171508789,0.005471944808959961,0.8823529411764706,0.9,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,0
8,8,0.003282785415649414,0.004129648208618164,0.6470588235294118,0.7000000000000001,0.6363636363636364,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,0
9,9,0.0039789676666259766,0.003896951675415039,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,0
10,0,0.004073619842529297,0.003960847854614258,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,1
11,1,0.004242420196533203,0.003956794738769531,0.7058823529411765,0.761904761904762,0.6153846153846154,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,1
12,2,0.004235744476318359,0.003920316696166992,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,1
13,3,0.004053831100463867,0.0038928985595703125,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,1
14,4,0.004027366638183594,0.00391387939453125,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,1
15,5,0.004030704498291016,0.003966331481933594,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,1
16,6,0.003895282745361328,0.003936290740966797,0.7647058823529411,0.75,0.8571428571428571,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,1
17,7,0.004290342330932617,0.003947019577026367,0.8823529411764706,0.9,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,1
18,8,0.003529787063598633,0.003968000411987305,0.7647058823529411,0.8181818181818181,0.6923076923076923,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,1
19,9,0.0040934085845947266,0.004014015197753906,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,200,5gram_chars,tf,1
