,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.0053975582122802734,0.004312753677368164,0.8823529411764706,0.8750000000000001,1.0,0.7777777777777778,0.9934640522875817,0.9933774834437086,1.0,0.9868421052631579,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0
1,1,0.005146503448486328,0.004233360290527344,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0
2,2,0.005167245864868164,0.0042493343353271484,0.8823529411764706,0.8750000000000001,1.0,0.7777777777777778,0.9934640522875817,0.9933774834437086,1.0,0.9868421052631579,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0
3,3,0.005516767501831055,0.0042002201080322266,1.0,1.0,1.0,1.0,0.9934640522875817,0.9933774834437086,1.0,0.9868421052631579,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0
4,4,0.0052089691162109375,0.004188060760498047,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0
5,5,0.005308389663696289,0.004217863082885742,0.8823529411764706,0.888888888888889,0.8,1.0,0.9934640522875817,0.9934640522875817,1.0,0.987012987012987,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0
6,6,0.0050182342529296875,0.004110574722290039,0.8823529411764706,0.875,0.875,0.875,0.9934640522875817,0.9934640522875817,1.0,0.987012987012987,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0
7,7,0.005122184753417969,0.004234790802001953,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,0.9934640522875817,0.9934640522875817,1.0,0.987012987012987,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0
8,8,0.0051953792572021484,0.004193305969238281,0.7647058823529411,0.8,0.6666666666666666,1.0,0.9934640522875817,0.9934640522875817,1.0,0.987012987012987,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0
9,9,0.004758358001708984,0.004191398620605469,0.8823529411764706,0.875,0.875,0.875,0.9934640522875817,0.9934640522875817,1.0,0.987012987012987,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0
