,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.011365175247192383,0.0045931339263916016,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,0
1,1,0.01115107536315918,0.004605770111083984,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,0
2,2,0.01059103012084961,0.004556894302368164,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,0
3,3,0.011391639709472656,0.0045511722564697266,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,0
4,4,0.011089563369750977,0.004504203796386719,0.9411764705882353,0.9333333333333333,1.0,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,0
5,5,0.011724472045898438,0.007294654846191406,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,0
6,6,0.011205196380615234,0.004627704620361328,0.7647058823529411,0.75,0.8571428571428571,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,0
7,7,0.011166810989379883,0.0045397281646728516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,0
8,8,0.010799884796142578,0.004536628723144531,0.7058823529411765,0.7368421052631577,0.7,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,0
9,9,0.0109405517578125,0.004538536071777344,0.8823529411764706,0.9,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,0
10,0,0.011259317398071289,0.004581451416015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,1
11,1,0.011340618133544922,0.004610538482666016,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,1
12,2,0.011761188507080078,0.005250215530395508,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,1
13,3,0.011338472366333008,0.004737138748168945,0.9411764705882353,0.9333333333333333,1.0,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,1
14,4,0.0111083984375,0.005017518997192383,0.8235294117647058,0.7999999999999999,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,1
15,5,0.011607885360717773,0.004544973373413086,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,1
16,6,0.011140584945678711,0.004621982574462891,0.7647058823529411,0.7142857142857143,1.0,0.5555555555555556,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,1
17,7,0.011408090591430664,0.005024909973144531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,1
18,8,0.01137995719909668,0.004700899124145508,0.7058823529411765,0.7368421052631577,0.7,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,1
19,9,0.011049032211303711,0.004674673080444336,0.8823529411764706,0.9,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,1
20,0,0.010811805725097656,0.00446009635925293,0.8823529411764706,0.8750000000000001,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,2
21,1,0.011781930923461914,0.004499673843383789,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,2
22,2,0.011006832122802734,0.00558161735534668,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,2
23,3,0.011457681655883789,0.004550457000732422,0.8823529411764706,0.9,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,2
24,4,0.011292695999145508,0.004973649978637695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,2
25,5,0.011100530624389648,0.004553794860839844,0.7647058823529411,0.7142857142857143,0.8333333333333334,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,2
26,6,0.010343790054321289,0.004429340362548828,0.9411764705882353,0.9333333333333333,1.0,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,2
27,7,0.010917186737060547,0.0045049190521240234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,2
28,8,0.010497331619262695,0.00483250617980957,0.7647058823529411,0.7777777777777777,0.7,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,500,2gram_words,zscore,2
