,mean_fit_time,mean_score_time,mean_test_score,param_max_features,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,std_fit_time,std_score_time,std_test_score,subgenre_level,class1,class2,mfw,token_unit,normalization,repetition,num_topics,optimize_interval,topic_repetition
0,0.1493232011795044,0.008730936050415038,0.8882352941176471,sqrt,{'max_features': 'sqrt'},1,0.8235294117647058,0.8235294117647058,0.9411764705882353,0.8823529411764706,1.0,0.8235294117647058,0.9411764705882353,0.9411764705882353,0.7647058823529411,0.9411764705882353,0.0014213726965336237,8.090205338259844e-05,0.07180326832784532,subgenre-current,novela romántica,other,100.0,word,tfidf,0,,,
1,0.1387617826461792,0.008808088302612305,0.8823529411764705,log2,{'max_features': 'log2'},2,0.8235294117647058,0.8823529411764706,0.9411764705882353,0.8823529411764706,0.9411764705882353,0.8823529411764706,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.8823529411764706,0.0006934473164600664,0.0002447253959518477,0.05261336417646565,subgenre-current,novela romántica,other,100.0,word,tfidf,0,,,
0,0.14899487495422364,0.008753299713134766,0.8705882352941176,sqrt,{'max_features': 'sqrt'},1,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.9411764705882353,0.8823529411764706,1.0,0.6470588235294118,0.9411764705882353,0.8235294117647058,0.8823529411764706,0.0013423709433788087,5.846954990258167e-05,0.09036642056316009,subgenre-current,novela romántica,other,100.0,word,tfidf,1,,,
1,0.13878726959228516,0.0087310791015625,0.8529411764705882,log2,{'max_features': 'log2'},2,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.6470588235294118,0.9411764705882353,0.8235294117647058,0.8235294117647058,0.0009495877866543424,3.1371717842975635e-05,0.08000865005138495,subgenre-current,novela romántica,other,100.0,word,tfidf,1,,,
0,0.14902205467224122,0.008716082572937012,0.8823529411764707,sqrt,{'max_features': 'sqrt'},1,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9411764705882353,0.9411764705882353,0.8823529411764706,1.0,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.0008222446642984902,2.2749792877113894e-05,0.05882352941176471,subgenre-current,novela romántica,other,100.0,word,tfidf,2,,,
1,0.1392920732498169,0.008751940727233887,0.8470588235294116,log2,{'max_features': 'log2'},2,0.8235294117647058,0.8823529411764706,0.7647058823529411,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.0007041736389213405,0.00010377246644407902,0.06550311015094146,subgenre-current,novela romántica,other,100.0,word,tfidf,2,,,
0,0.1492850065231323,0.00874342918395996,0.8588235294117649,sqrt,{'max_features': 'sqrt'},1,0.8235294117647058,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.0006322205306911184,8.065931334929873e-05,0.04705882352941178,subgenre-current,novela romántica,other,100.0,word,tfidf,3,,,
1,0.13909659385681153,0.008759403228759765,0.8529411764705882,log2,{'max_features': 'log2'},2,0.8235294117647058,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.8823529411764706,0.8235294117647058,0.00033569820560403434,6.54887014276668e-05,0.054232614454664055,subgenre-current,novela romántica,other,100.0,word,tfidf,3,,,
0,0.1498173952102661,0.008703851699829101,0.8470588235294116,sqrt,{'max_features': 'sqrt'},2,0.7647058823529411,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.9411764705882353,0.0009151255951134664,7.415256303289847e-05,0.059988464865797474,subgenre-current,novela romántica,other,100.0,word,tfidf,4,,,
1,0.13993370532989502,0.008749437332153321,0.8588235294117647,log2,{'max_features': 'log2'},1,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.8823529411764706,0.0006985947880671483,9.063530498091917e-05,0.04705882352941177,subgenre-current,novela romántica,other,100.0,word,tfidf,4,,,
0,0.14857521057128906,0.008720326423645019,0.8411764705882352,sqrt,{'max_features': 'sqrt'},2,0.7647058823529411,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.7647058823529411,0.9411764705882353,0.8235294117647058,0.8235294117647058,0.0007198817004915819,4.248777620973102e-05,0.05294117647058825,subgenre-current,novela romántica,other,100.0,word,tfidf,5,,,
1,0.13941173553466796,0.008758878707885743,0.8529411764705882,log2,{'max_features': 'log2'},1,0.7647058823529411,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.0010105838826141055,6.462227283527972e-05,0.04742504557822677,subgenre-current,novela romántica,other,100.0,word,tfidf,5,,,
0,0.14869887828826905,0.008731698989868164,0.8588235294117649,sqrt,{'max_features': 'sqrt'},1,0.8823529411764706,0.7058823529411765,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.0009188422219119898,3.244003476864144e-05,0.06550311015094143,subgenre-current,novela romántica,other,100.0,word,tfidf,6,,,
1,0.139281702041626,0.008791804313659668,0.8529411764705881,log2,{'max_features': 'log2'},2,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.9411764705882353,0.7647058823529411,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.0006354548235766506,4.5078926248411694e-05,0.06027618097623294,subgenre-current,novela romántica,other,100.0,word,tfidf,6,,,
0,0.14925236701965333,0.008719158172607423,0.8705882352941176,sqrt,{'max_features': 'sqrt'},1,0.7647058823529411,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.0007641621031580216,4.647227642809709e-05,0.06859943405700356,subgenre-current,novela romántica,other,100.0,word,tfidf,7,,,
1,0.13956356048583984,0.008735179901123047,0.8411764705882352,log2,{'max_features': 'log2'},2,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.7647058823529411,0.0007610699054465225,3.069550087014723e-05,0.03766543669078147,subgenre-current,novela romántica,other,100.0,word,tfidf,7,,,
0,0.14914295673370362,0.008810997009277344,0.8823529411764705,sqrt,{'max_features': 'sqrt'},1,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.8823529411764706,0.0010920549459735578,0.00020913397716628386,0.05261336417646565,subgenre-current,novela romántica,other,100.0,word,tfidf,8,,,
