,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,mente,había,ament,aquel,mient,ombre,señor,usted,cuand,quell,estab,staba,sobre,porqu,orque,entre,hombr,contr,cione,parec,mento,antes,quier,esper,entra,todos,conte,algun,despu,tenía,conoc,hacer,"ente,",mismo,spera,inter,prend,nuest,acion,noche,tiene,resen,mujer,prese,empre,compa,prime,estro,ciend,joven,tiemp,rimer,tante,quien,padre,llega,donde,estra,mucho,enton,momen,tanto,tonce,puest,coraz,pensa,ancia,labra,siemp,iempr,desde,esent,habla,alabr,"ción,",preci,palab,lleva,traba,compr,decir,otros,senta,conve,graci,pregu,uerta,cabal,parte,tambi,amigo,cuent,rente,encon,taban,lante,puert,neces,hubie,aball
0,subgenre-theme,novela histórica,other,100,5gram_chars_affix-punct,zscore,0,0,novela histórica,other,0.09490403955985593,0.010527201331461233,-0.1850486787155734,0.1026799959545166,0.2926987468957889,0.16076611209074065,0.2347613615396651,-0.27792947369257304,0.3274243709065734,0.36119090437217904,-0.2817254476496911,-0.022425243303836107,-0.05984958739742796,-0.1571342981550049,0.03794262650803604,0.4614043844411951,-0.17208312095800937,-0.13459375728622258,0.30896966286100547,0.1060769068658236,-0.282270299554032,-0.06335955731609322,0.282090188317758,-0.20318666492878057,-0.4206368593110976,-0.10587808347937122,0.2851017345007434,-0.4521303069199375,0.5610537382946856,-0.21708783447275753,0.4418471500813752,0.07489421725816436,-0.20889155508381818,-0.021548458529002446,-0.4308392707874724,-0.2399777937680967,0.29128782616487914,0.07811363583411568,-0.36798971050609586,0.48367781716331537,0.5214333038704377,-0.06557503188092051,-0.7434591030309945,-0.12665422825470518,-0.2126385103582631,0.1877222980754759,0.2727973134484719,-0.25580108517486977,-0.7171995682824026,-0.27584496004964687,-0.06855424915709407,0.1966164755662101,-0.46349571000702894,-0.2759264926163859,-0.17779300243581564,-0.4855842854705299,-0.03810466851440843,-0.5000498142584076,-0.251446415832997,-0.07288501593302062,-0.08315742516699809,0.09350914178789749,-0.06341924717786315,-0.0028458873802224838,-0.21576426837036056,0.03702815842777052,-0.017045752039630324,-0.024373344031967448,-0.02534054138111963,-0.025340673484016918,-0.3721834610474515,-0.3592546646181548,0.07343783705250262,-0.0011569185110106295,0.19466922203624892,0.11961189712163883,0.07535236515304877,-0.5097209167144848,1.055652591363699,-0.20059243194502807,0.07621282626703074,-0.14874123162556063,0.43792638285673346,-0.45583109492823415,0.42297502641920337,-0.07506518761494752,0.3127365794888586,-0.21132703747381826,-0.030201762052859404,-0.4423356831855987,0.6265940818406905,0.45683590059272383,0.07828959970456628,0.06582400477456551,0.24383769006967498,0.597548444304242,-0.3678158928971029,-0.37541388395229014,0.9943906594277852,-0.29639923382489824
1,subgenre-theme,novela histórica,other,100,5gram_chars_affix-punct,zscore,0,1,novela histórica,other,0.029083552240634747,-0.022524829578156824,-0.1064369131685885,0.09199296239264632,0.03234279209922719,0.2139155597282416,0.07983674759783232,-0.20528474114086281,0.10517085579951302,0.46959688233918717,-0.2511402477867798,0.11383200436840268,-0.21413420840546954,-0.18759398635996494,0.07495947671399339,0.49573766461484003,-0.21056824468934515,-0.5435939142654671,0.21111772717031463,0.27349165512521534,-0.4119545789266801,-0.23495564021934756,0.10061835260084484,-0.17318860002769765,-0.41662616339841985,-0.3446750754430362,0.34849106518627515,-0.40883166057930675,0.43349008956003865,0.026557599240157992,0.37985544368044777,0.12134028613490377,-0.06091033923516642,-0.04052120774210144,-0.48224458245433854,-0.15269871156364245,0.6381200199457833,0.03336684166959514,-0.22715980817460468,0.3551158493526263,0.6462328784251778,-0.08165430989742473,-0.6679065772227513,-0.04908417235940621,-0.1241435300801399,0.05904917746298799,0.5006941748250082,-0.37100518031540397,-0.6895390551105993,-0.3949308802661211,-0.06078342335944242,0.40861736977842783,-0.37032506692570344,-0.22469012349226136,0.030983078262844854,-0.4838317328243775,-0.005888102166115905,-0.5747752323983798,-0.4600487286161772,-0.1280627237284741,-0.09083471216567673,0.19095076994155225,-0.09956626512559158,-0.1593951240207631,-0.008193407586410517,0.09805040978113855,0.2443723812114278,-0.03926378132266306,0.015907388289132518,0.01590747121601499,-0.36322227381177874,-0.35094812836165046,0.10724721291205608,-0.07991398619695056,0.21164152041701212,0.0978548353039797,0.0598428853148153,-0.31794053997819516,0.8733167127107593,-0.19373369285469566,-0.014100946616103283,-0.12268805654796322,0.5872020815827477,-0.3480945001747311,0.3551385963172562,0.009597194990035751,0.27012768384077823,-0.35976834127500473,0.031032117122232472,-0.6056807194867897,0.6345726677270564,0.41286457387468745,0.10355777932140553,0.16429514418274782,0.04998359916825762,0.7926390284024931,-0.49934664915883875,-0.5148766739206168,1.0851621586911437,-0.46546817483544756
2,subgenre-theme,novela histórica,other,100,5gram_chars_affix-punct,zscore,0,2,novela histórica,other,0.18524549800677248,0.16296747826722213,-0.22485484150328294,0.0010106912620191366,-0.1528661446915105,0.19501513258295622,0.0032283811966531406,-0.12633355210499103,0.26330667050794476,0.28436253746184137,-0.17617319007124038,0.06135499784468751,0.039620962661193304,-0.13731120455808754,-0.01118967336980592,0.24887530099604407,-0.05888451312393611,-0.30329168053779276,0.1612675253393544,0.2014237116317945,-0.35546306997946875,-0.4640711796374859,0.03733607296756952,0.0683787731751645,-0.16828600058007198,-0.275733758661251,0.3941942750249543,-0.44722606428327705,0.3416377783984105,-0.09061803705267968,0.23759515636947248,0.2959774631051082,-0.1387111428208755,-0.1538786860341067,-0.3136595902065582,-0.14703137610491035,0.393859593025615,0.1582543144885069,-0.028046317473317206,0.4423116365344645,0.2676962997708199,-0.11856590287094504,-0.5716024072008812,-0.07497687921453977,-0.2908140598388854,0.32591261271003324,0.3486947605417079,-0.3694577943882067,-0.7474612584511507,-0.4603498884077325,-0.004726502079548167,0.3237289414804625,-0.22691207509488331,-0.2652461797400004,0.02519784444223583,-0.3160084997899205,-0.12740656651955168,-0.4300270839880437,-0.042228141727958746,-0.033391259657339606,0.028253551491193574,0.21793417999880638,-0.02335574438683985,0.12352403413570646,0.14256314866451292,0.2929754877522678,0.173898547348462,0.022711256115791223,0.10378460270923062,0.10378514374924208,-0.3027711752241999,-0.24623636068996047,-0.01805604582903797,0.03689435558177939,-0.17484080779924205,0.24195776501784663,0.10163865789751697,-0.28437313423118205,0.8413594286488009,-0.33693344780560136,0.004661403753961513,0.08695314673659568,0.29205295456150826,-0.4847510557541246,0.04886105016182407,0.1483734664346852,0.1454873244018653,-0.3459742500573069,0.17081713153566494,-0.5041854459409273,0.6368977671958744,0.11835789991322943,-0.04043729021667686,-0.1024331325200506,-0.18109061959927947,0.5195375179301205,-0.523428212079593,-0.5226713472279578,0.9981512911298182,-0.35647611543414987
3,subgenre-theme,novela histórica,other,100,5gram_chars_affix-punct,zscore,0,3,novela histórica,other,-0.050025893285150946,-0.08939405403699244,-0.11985479621843267,0.11432580032604739,0.0893870234166606,0.11768202140611496,-0.018512346194310872,-0.23737345419991926,0.2745397732707114,0.21716559965646,-0.2011571681974229,0.15194447090671143,-0.1883932591975836,-0.13951932766064262,0.1222010159571171,0.22845569618343176,-0.11569999917965587,-0.2756879187383464,0.09596076973493677,0.3265997657271456,-0.39888139348937435,-0.20580872129527494,-0.031246135321650714,-0.43400427936010805,-0.40779975597264345,-0.23528012730277878,0.24304116693347683,-0.2489747081487325,0.48722613611957066,0.015303548998646166,0.40415854743835394,0.03106986440071178,-0.0354401773817948,0.0407462117614702,-0.5790510354919476,-0.1277095202129614,0.7008809372166829,-0.09187068416346211,-0.30910500641872685,0.6033832900494067,0.5867736737716218,-0.02460667563366204,-0.48080428447627754,0.059263008534380233,-0.175181607731397,0.3189251575678568,0.21136373023894134,-0.3758854738439776,-0.4885154439371918,-0.5167343787901448,-0.024296157428058122,0.15870644261682676,-0.4235101032642225,-0.05055125543258471,-0.22660458034571124,-0.46081163200780023,-0.08506768508654673,-0.5658108156181141,-0.1582672241420775,-0.08199372967173447,-0.1486234986548729,0.3050185500316404,0.020990616130243167,-0.26185698531490986,0.07946698729420955,-0.015610542326737345,0.08444768772135072,-0.08348016949359835,0.020579872855987856,0.020579980141022247,-0.332120331814904,-0.26003897882450716,0.04398728300745577,-0.10059542773903954,0.2288148649228113,0.4287188454991499,0.02990183263902719,-0.29911110804368335,0.7169718581286803,-0.40888459889810314,0.05038880664730555,-0.1420223987522616,0.5604457845819558,-0.1073572834983532,0.059367723372886386,-0.18626027367629103,0.2988830593495338,-0.4406042218292633,0.1721239813254507,-0.689316917249056,0.44901345710614193,0.4269010543319725,0.12226393743170602,0.10057422672734229,-0.1459418918805387,0.7438610833063342,-0.2934439260762046,-0.5437944825184855,0.8983269715466848,-0.5453260468956191
4,subgenre-theme,novela histórica,other,100,5gram_chars_affix-punct,zscore,0,4,novela histórica,other,0.11827863531543423,-0.031208412279444375,-0.07920790198888836,0.10672902851679779,0.2583065017567603,0.12659831706969488,0.21823428216426846,-0.2827955050293975,0.10195517685752872,0.34915801419533066,-0.2299641400170398,0.16371941735124282,-0.132987402746053,-0.2411490083766915,-0.051546293756322054,0.3891051300904329,-0.22761205524119063,-0.3527650057119737,0.24993883500526382,0.07551003779536267,-0.45643558758582736,-0.2445221533616725,0.009886078742471438,-0.1886021330897527,-0.20161331052309317,-0.42580103459504937,0.23962135448171942,-0.739600159414872,0.6600009456080403,-0.06175827680188756,0.33594313551895416,0.19959112549793662,-0.20759770316170167,0.03648649179157788,-0.41853657199485134,-0.05895024196591045,0.4242447624460257,-0.1016743109247022,-0.28882197368488516,0.5618282180421772,0.4897130131214999,-0.19019019758415381,-0.5711004948881473,-0.2363722721146132,-0.17941699810590273,0.08200896802008076,0.28167955507113274,-0.3113768327458908,-0.6285372555555145,-0.133940328574355,-0.05372572699957792,0.18458236818895374,-0.2567094890886998,-0.16534519647904233,-0.06043373995055652,-0.5118986226194268,-0.0821663630061684,-0.5530300171727204,-0.09032140489121332,-0.08902026005932422,-0.2222878448184407,-0.001021024880894894,-0.14087164308398326,-0.23909880214990686,-0.10651636845049728,0.23824989496505627,0.33279164106185366,-0.007334915291062172,0.0050707178026344136,0.005070744236817882,-0.31504366649506743,-0.2090598655270801,-0.023489251605769708,-0.02181229468498011,0.2715886175593636,0.3532408144993321,0.04246739717578877,-0.21840884358486748,0.87367954668696,-0.15028606858421173,0.06800065427391652,0.27173324754009004,0.4863164426726157,-0.6221295356666798,0.16134408031999295,0.13813837298755893,0.15598468719877062,-0.24128740586202235,0.046470657014541894,-0.29486232963357994,0.6262064720336551,0.2811122767996829,-0.024225123652942382,0.033000660811427246,0.14289917406487732,0.6537238789494754,-0.4834061188214937,-0.33474349192303443,1.0958235283585225,-0.3375327018976044
5,subgenre-theme,novela histórica,other,100,5gram_chars_affix-punct,zscore,0,5,novela histórica,other,0.09740740137292958,0.06452806809882428,-0.16146318542418525,0.02043457667340176,0.14741560307851165,0.15565739427089076,0.09338059846321589,-0.18439822727060418,0.19609213155076177,0.5691724107650105,-0.1712434930784258,-0.025164683117247955,-0.08285973224421672,-0.24980034755557212,-0.04804322863688926,0.4421586051295391,-0.03252999269474954,-0.47215096287553937,0.08869368806698508,0.25394827185550994,-0.34715275193470185,-0.10997440884243037,0.13519162556389208,0.043089283432995895,-0.29454666832283394,-0.42280799346129716,0.25053671904230956,-0.3697613232455427,0.5198600525268859,-0.05001906794406097,0.49457718926105865,0.149137748691617,-0.18572358839832948,-0.05150325946203671,-0.5243251159826321,-0.13204794110454987,0.49145922478005843,0.11289683743566803,-0.28317877642329314,0.3630644196321513,0.6835947314188267,-0.10194685852429863,-0.6384764290909968,-0.10941470268565845,-0.13889413563133646,-0.20066527511142218,0.3990372467061215,-0.3530414896027205,-0.4267999502695621,-0.2822069953070515,-0.14079154949053518,0.37502929304237953,-0.3619363187888389,-0.38365702422559,0.016123009526946674,-0.40775557974607746,-0.011929803824011986,-0.6680702732224957,-0.3674691556252947,-0.05716354677384125,-0.20982357769648374,0.22960044088565645,-0.0386350012334922,-0.26406924605186466,-0.23590634712937097,-0.047194728456427804,0.08307807640148135,-0.1300211695859732,0.08605020804058561,0.08605065662933997,-0.24466576161639653,-0.30577541157660715,0.15209448677288684,-0.10066635719737427,0.225005988409684,0.08935704843757741,0.016263464959413332,-0.3818237213192087,0.9181856430573574,-0.18489184313688067,-0.04861730803330566,-0.18324215656531828,0.6311997331992436,-0.47410564025995505,0.4487098884421832,0.035814203847591486,0.25106073347100544,-0.3456509089456776,0.07460358971140571,-0.6747646757650343,0.5543435429326797,0.40921536853255414,0.14881325915803822,0.16717480779437777,0.0759040108478109,0.6606644178979884,-0.614774063203413,-0.4495897651033609,1.0859615456794192,-0.4071113119344988
6,subgenre-theme,novela histórica,other,100,5gram_chars_affix-punct,zscore,0,6,novela histórica,other,-0.04815024719713468,-0.029086836956570217,-0.33285814994168705,0.007284661174839835,0.16217291041763238,-0.06193476446029855,-0.0035771947496694434,-0.22664368344530983,0.2799701048822605,0.5472222962548623,0.042734200282078805,0.05722991441188097,-0.09823547936787547,-0.06459964530461715,0.0354692711052107,0.3199894273140331,0.12599050688872204,-0.5612729423137137,0.009866887046421802,0.32541241506214114,-0.22283629813763084,-0.23573646455512742,0.3151926731064054,-0.04005347394421244,0.04088361547424024,-0.4729008618969798,0.08299218723287005,-0.16604472072259802,0.5061994796740164,-0.03981400330582141,0.0877285747227633,0.18128095901123253,0.014781612548338652,0.0053484589081648215,-0.5226729472250087,0.1596891320432383,0.6454041372064656,0.1713586807505525,-0.2732038063032649,0.35586652728395185,0.3203947825691287,-0.02322053949124192,-0.4480924069162352,0.10650146902683422,-0.3540399216302256,0.04732488565706605,0.3735458047741616,-0.42655472743824696,-0.23753947853677215,0.015289697051549922,-0.23805924406277357,0.41708683354966847,-0.2668154784675849,-0.4977089417123025,-0.026644058068606036,-0.3012114607901325,-0.09545043950419718,-0.6287418568179604,-0.2630201885339687,-0.3383190125783728,-0.3043592362047999,0.1445647230889775,-0.14168581547133008,-0.3099589149104509,0.010581702767799683,0.08157673670829024,-0.020484550442161353,0.0004650177685950885,0.08548103637876658,0.0854814820003682,-0.3722170889428533,-0.09528331173427196,-0.10542774985358205,-0.06016995272071757,0.3060537567988644,-0.14733678712698745,0.04837772352975267,-0.1475614559977867,0.9133383555861299,-0.015747880925701785,-0.13365634285489358,0.06914768267035853,0.4731020924739522,-0.33074619646162073,0.28924275296009605,-0.06876153643701843,0.19172662822390651,-0.38929187606028176,0.13015495219637935,-0.5184052531535654,0.48491994600255484,0.21887619109669143,-0.006079380403349655,-0.08456945411493466,-0.348176854591669,0.6474063103957743,-0.3152259485225042,-0.16121589631478947,1.0372592864548293,-0.2543982698820815
7,subgenre-theme,novela histórica,other,100,5gram_chars_affix-punct,zscore,0,7,novela histórica,other,-0.0183365264577402,0.08096749654566371,-0.25793755621477454,0.06639084924679572,0.16766743073842771,-0.03760273681345727,0.14917082721604014,-0.17145432160086993,0.062214084979481,0.3951924333805348,-0.07902585400520001,0.014014028368112164,-0.05755132600779078,-0.19778834028718695,0.0065262958934481086,0.24641090315409514,-0.12933917740576018,-0.4247489475696329,0.10280414916298153,0.2608350981385752,-0.41024492009503344,-0.20356967984370433,0.31634207516213264,-0.10281784718392706,-0.22793165374937663,-0.18119352575752848,0.305257022813173,-0.2249473412693389,0.4637577126482306,0.03269852293727726,0.4539384179542981,0.06536558603207765,-0.14759560205291966,-0.044987224199292464,-0.5999926209672342,0.018162268571708662,-0.01009992339868282,0.11162669978690465,-0.3421785917749379,0.4615758952392597,0.5496313627237945,0.04656126824571072,-0.5649951323953928,0.06202853380544271,-0.12084664831452718,-0.19860214009798421,0.41356732167621757,-0.4981671448480465,-0.3667252884824556,-0.3365041840561902,-0.06803902092595648,0.3283147941231864,-0.12386710958386915,-0.16722497386695753,0.004787772125341538,-0.418659948366298,0.18516983700560788,-0.7215541203356098,-0.4196238784774371,0.09394963889873803,-0.2911759932314233,0.3630502970401348,0.16685774051060737,-0.2263330081595154,-0.2610014442852956,0.15807507968427892,0.2050305205219105,-0.1494471858666132,-0.011453130929502953,-0.011453190635874577,-0.1738378961345719,-0.23057881229387223,0.1466703568908594,-0.07307983003227925,0.28423718439971013,0.05968505501040372,0.035095941191112257,-0.3625805619373663,1.0042660870387836,-0.28516392880440267,-0.17796646207970657,-0.013902200414888821,0.5949272051901855,-0.39225712810362984,0.31776303930189864,-0.2642960516674675,0.05233545475276691,-0.26509638530400537,-0.07591896944292137,-0.6110536806587284,0.5499072032018573,0.42100805963368093,-0.05183825073483761,0.06827495589485277,-0.15848950143568397,0.8277046676047581,-0.4309683040334664,-0.34263127362041323,1.1793377024484601,-0.25388548260161387
8,subgenre-theme,novela histórica,other,100,5gram_chars_affix-punct,zscore,0,8,novela histórica,other,0.18546335250678458,0.013278326267031293,-0.19060246748888576,0.023439625379058526,0.13213477409269248,-0.0267002215941492,0.09637320271983119,-0.2077940626505141,0.14336847022062305,0.37226366900458085,-0.17066366111856568,0.03502707734427413,0.2392756308148679,-0.15921011550869846,-0.018424738704898025,0.3790426262925437,-0.105082114444294,-0.1563037049960062,-0.03862806718451839,0.38158128076640496,-0.3996723753059906,0.09431513885750653,0.282823007464416,-0.08552597491823088,-0.2726001608144131,-0.30727328427005657,0.15977319946509172,-0.18653071036920021,0.3697558470875707,0.016258933290189903,0.46282053573750104,0.014254769849606275,0.22362430123040067,-0.08028648004233818,-0.582806615972837,0.43956940087613394,0.5456798273399068,0.0002927549333248125,-0.49632021048177266,0.27986148799491384,0.495955156353747,-0.02073680483877216,-0.5834079971624393,0.009298741782348019,-0.16401584475001785,-0.09871208476985122,0.2714241886898804,-0.24215447249161426,-0.1596702952717306,-0.30604779815020355,-0.24552042446777933,0.34673314380866055,-0.6832507668608201,-0.036632052993951586,0.2162141172618557,-0.5046054273574867,-0.03437510627943116,-0.4446949493013608,-0.030395471407466235,-0.06179888293101146,-0.473402231501992,-0.3945744195920622,-0.0016120079539385102,-0.10778249716723934,0.0011488564196029394,0.09044882062602855,0.028318430248695847,0.04457724381283312,0.100381788903666,0.10038231220445193,-0.06603265811934844,-0.19384048385470987,-0.031494621540275825,0.042866982928731034,0.09546821739207145,0.1457752936875416,0.09827133287499978,-0.31273996434395623,0.46271192893933655,-0.04817302957046288,-0.12819759248705886,0.10119211225262786,0.40295454603892567,-0.40993247978718805,0.032454619529250106,0.006545171530570659,0.06602056355732944,-0.38133522453674756,0.02036766095831627,-0.3654346267323345,0.4489695335076158,0.16039676220658194,0.10074634012055839,0.2934553833500637,-0.2192554242950827,0.2707262610237092,-0.4068065541446423,-0.15470875364776127,0.8173400623548058,-0.40849000485470494
9,subgenre-theme,novela histórica,other,100,5gram_chars_affix-punct,zscore,0,9,novela histórica,other,0.1209046740096662,0.14549798593155105,0.10683382378373676,-0.05047109133630584,-0.27742126007653445,-0.033062848553239335,-0.07764870584320743,-0.30698562562465737,0.10602962796451683,0.023008309077924283,-0.06600919027421279,0.33481341626839284,0.10759445886290145,-0.14250824703780351,0.05351618294072531,0.23090961308957259,-0.11957248762604286,-0.18533755916153202,0.30810217125077816,0.17035969402653878,-0.28094363702915137,-0.11718258149477978,-0.007129712609830696,-0.09163668935077085,-0.06703453123585074,-0.3533993376657941,0.2889720893823321,-0.28800441578974667,0.20154573577604526,0.07106690666868254,0.25921464010184503,0.08865404032858694,-0.1626367487012571,-0.19627302880112538,-0.2204411942666341,-0.15550748468936615,0.29701287608646465,0.10887151188603295,0.004772716313728109,0.30407848944267474,0.1354365801469391,-0.033925095393168736,-0.5791588538792044,-0.05567224329723519,-0.05690749289187652,0.038300425690547146,0.21048566864411292,-0.44467554410674914,-0.5605035385532828,-0.2851031484380174,-0.14584164963004592,0.10578450701198652,-0.1662820528429277,-0.22333488062851514,0.13616618229208133,-0.4920549869925789,-0.09046092126406013,-0.37612481688245814,0.02302992270146939,-0.1820541987900272,0.09120070926797924,0.5075396646296759,-0.19270143792611075,-0.17175069084431796,0.02591274948084263,0.24583314506908893,-0.08654061383587217,-0.04881384001888878,0.017235375728548774,0.01723546557836872,-0.40043183648432523,-0.29528480190616374,0.053818094375399805,0.04436503066032105,0.0809726662832514,0.14902358900365797,0.10332208530416304,-0.5195009969742277,0.5538847275234284,-0.4662755796700512,0.0476213332078641,0.30778608084475456,0.5023144955263397,-0.5424291567018287,0.21624472528988822,0.20794688488770785,0.06579173684172498,-0.14263139887966692,0.11678065699811599,-0.27691858263472335,0.5733188757180097,0.3661160497668845,-0.0223010553355118,0.23219054871041078,-0.3523683629262861,0.6911638583208352,-0.28624304861206706,-0.3556999940921974,0.7648176217946832,-0.10206649075945184
