,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,idno,y_true,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9
0,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0002,other,other,other,other,other,other,other,other,other,other,other
1,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0003,other,other,other,other,other,other,other,other,other,other,other
2,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0004,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
3,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0006,other,other,other,other,other,other,other,other,other,other,other
4,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0007,novela histórica,other,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
5,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0009,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
6,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0010,other,novela histórica,other,other,other,other,other,other,other,other,other
7,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0012,other,other,other,other,other,other,other,other,other,other,other
8,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0015,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
9,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0017,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
10,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0018,other,other,other,other,other,other,other,other,other,other,other
11,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0019,other,other,other,other,other,other,other,other,other,other,other
12,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0020,novela histórica,other,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
13,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0021,other,other,other,other,other,other,other,other,other,other,other
14,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0022,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
15,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0025,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
16,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0026,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
17,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0027,other,other,other,other,other,other,other,other,other,other,other
18,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0031,other,other,other,other,other,other,other,other,other,other,other
19,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0034,other,other,other,other,other,other,other,other,other,other,other
20,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0035,novela histórica,novela histórica,other,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
21,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0036,other,other,other,other,other,other,other,other,other,other,other
22,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0037,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
23,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0040,novela histórica,novela histórica,other,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
24,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0041,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
25,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0042,other,other,other,other,other,other,other,other,other,other,other
26,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0044,other,other,other,other,other,other,other,other,other,other,other
27,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0047,other,other,other,other,other,other,other,other,other,other,other
28,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0048,other,other,other,other,other,other,other,other,other,other,other
29,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0049,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
30,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0053,other,other,other,other,other,other,other,other,other,other,other
31,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0054,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
32,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0055,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
33,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0056,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
34,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0058,other,other,other,other,other,other,other,other,other,other,other
35,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0060,other,other,other,other,other,other,other,other,other,other,other
36,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0061,other,other,other,novela histórica,other,other,other,other,other,other,other
37,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0063,other,other,other,novela histórica,other,other,other,other,other,other,other
38,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0064,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
39,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0068,other,other,other,other,other,other,other,other,other,other,other
40,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0069,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
41,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0070,other,other,other,other,other,other,other,other,other,other,other
42,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0071,other,other,other,other,other,other,other,other,other,other,other
43,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0072,other,other,other,other,novela histórica,other,other,other,other,other,other
44,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0073,other,other,other,other,other,other,other,other,other,other,other
45,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0076,other,other,other,other,novela histórica,other,other,other,other,other,other
46,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0081,novela histórica,novela histórica,novela histórica,other,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
47,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0082,other,other,other,other,other,other,other,other,other,other,other
48,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0083,other,other,other,other,other,other,other,other,other,other,other
49,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0084,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
50,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0085,other,other,other,other,other,other,other,other,other,other,other
51,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0086,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
52,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0091,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
53,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0092,other,other,other,other,other,other,other,other,other,other,other
54,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0094,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
55,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0096,other,other,other,other,other,other,other,other,other,other,other
56,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0097,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
57,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0099,other,other,other,other,other,other,other,other,other,other,other
58,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0100,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica,novela histórica
59,subgenre-theme,novela histórica,other,400,3gram_words,tf,0,nh0102,other,other,other,other,other,other,other,other,other,other,other
