,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.0010581016540527344,0.0060160160064697266,0.7857142857142857,0.8235294117647058,0.7,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,0
1,1,0.0012364387512207031,0.0057528018951416016,0.7857142857142857,0.7999999999999999,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,0
2,2,0.0009927749633789062,0.004415988922119141,0.5714285714285714,0.6250000000000001,0.5555555555555556,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,0
3,3,0.001003265380859375,0.004427194595336914,0.8571428571428571,0.8750000000000001,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,0
4,4,0.001100778579711914,0.004500627517700195,0.5384615384615384,0.625,0.5,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,0
5,5,0.0011229515075683594,0.0045163631439208984,0.6153846153846154,0.7058823529411764,0.5454545454545454,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,0
6,6,0.0011172294616699219,0.004702568054199219,0.6923076923076923,0.7142857142857143,0.625,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,0
7,7,0.0011167526245117188,0.004354000091552734,0.6153846153846154,0.6666666666666666,0.625,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,0
8,8,0.0010912418365478516,0.0043582916259765625,0.5384615384615384,0.6666666666666665,0.5454545454545454,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,0
9,9,0.0011014938354492188,0.004350900650024414,0.7692307692307693,0.8235294117647058,0.7,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,0
10,0,0.0009837150573730469,0.004459381103515625,0.6428571428571429,0.7368421052631579,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,1
11,1,0.0010082721710205078,0.004317283630371094,0.6428571428571429,0.7368421052631579,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,1
12,2,0.00096893310546875,0.004339694976806641,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,1
13,3,0.0009815692901611328,0.004357099533081055,0.5714285714285714,0.7000000000000001,0.5384615384615384,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,1
14,4,0.0010838508605957031,0.004355907440185547,0.46153846153846156,0.588235294117647,0.5,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,2gram_words,tfidf,1
