,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.005697965621948242,0.008505582809448242,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,0
1,1,0.005182743072509766,0.008484840393066406,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,0
2,2,0.005133867263793945,0.008350849151611328,0.6428571428571429,0.6666666666666666,0.625,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,0
3,3,0.005125999450683594,0.00836038589477539,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,0
4,4,0.0076291561126708984,0.00927281379699707,0.6923076923076923,0.7499999999999999,0.6,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,0
5,5,0.008070707321166992,0.009313821792602539,0.6923076923076923,0.7499999999999999,0.6,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,0
6,6,0.00818014144897461,0.009348154067993164,0.7692307692307693,0.7692307692307692,0.7142857142857143,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,0
7,7,0.008537530899047852,0.009310007095336914,0.6153846153846154,0.6666666666666666,0.625,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,0
8,8,0.008550643920898438,0.009487390518188477,0.5384615384615384,0.6250000000000001,0.5555555555555556,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,0
9,9,0.008483648300170898,0.00941777229309082,0.7692307692307693,0.7999999999999999,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,0
10,0,0.005167961120605469,0.00861811637878418,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,1
11,1,0.006168842315673828,0.008550167083740234,0.6428571428571429,0.7368421052631579,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,1
12,2,0.005786418914794922,0.00835728645324707,0.7857142857142857,0.7999999999999999,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,1
13,3,0.005854606628417969,0.008446931838989258,0.6428571428571429,0.6153846153846153,0.6666666666666666,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,1
14,4,0.008179664611816406,0.009226083755493164,0.8461538461538461,0.8750000000000001,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,1
15,5,0.00821828842163086,0.009200334548950195,0.8461538461538461,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,1
16,6,0.008128881454467773,0.00912928581237793,0.7692307692307693,0.8235294117647058,0.7,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,1
17,7,0.00821542739868164,0.009058237075805664,0.6153846153846154,0.6153846153846153,0.5714285714285714,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,1
18,8,0.008149862289428711,0.009095191955566406,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,1
19,9,0.008233308792114258,0.009507417678833008,0.6153846153846154,0.6153846153846153,0.5714285714285714,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,1
20,0,0.005144834518432617,0.008423566818237305,0.7857142857142857,0.7999999999999999,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,2
21,1,0.005128145217895508,0.008383989334106445,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,2
22,2,0.007617950439453125,0.009137630462646484,0.6428571428571429,0.7058823529411764,0.6,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,2
23,3,0.006178617477416992,0.013974428176879883,0.6428571428571429,0.6666666666666666,0.625,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,2
24,4,0.011013031005859375,0.013638496398925781,0.9230769230769231,0.923076923076923,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,2
25,5,0.008464574813842773,0.009388446807861328,0.7692307692307693,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,2
26,6,0.011593341827392578,0.013348102569580078,0.7692307692307693,0.7692307692307692,0.7142857142857143,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,2
27,7,0.011409282684326172,0.014206171035766602,0.6923076923076923,0.7777777777777778,0.6363636363636364,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,2
28,8,0.01217961311340332,0.01695990562438965,0.6923076923076923,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,2
29,9,0.012402772903442383,0.01771378517150879,0.6923076923076923,0.75,0.6666666666666666,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,2
30,0,0.0051457881927490234,0.008476018905639648,0.6428571428571429,0.7058823529411764,0.6,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,3
31,1,0.005191802978515625,0.008464574813842773,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,3
32,2,0.0057086944580078125,0.008354902267456055,0.7857142857142857,0.7692307692307692,0.8333333333333334,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,3
33,3,0.00756382942199707,0.009628534317016602,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,3
34,4,0.008107662200927734,0.009190082550048828,0.9230769230769231,0.923076923076923,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,3
35,5,0.00822758674621582,0.009231805801391602,0.9230769230769231,0.923076923076923,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,3
36,6,0.008222103118896484,0.009448528289794922,0.8461538461538461,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,3
37,7,0.008187294006347656,0.009205818176269531,0.7692307692307693,0.7999999999999999,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,3
38,8,0.008148908615112305,0.009122133255004883,0.7692307692307693,0.7999999999999999,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,2000,3gram_chars_affix-punct,tf,3
