,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.010415792465209961,0.013081789016723633,0.6428571428571429,0.7368421052631579,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,4000,5gram_chars_affix-punct,zscore,0
1,1,0.012869119644165039,0.013107061386108398,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,4000,5gram_chars_affix-punct,zscore,0
2,2,0.010393857955932617,0.012854814529418945,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,4000,5gram_chars_affix-punct,zscore,0
3,3,0.010152339935302734,0.012705087661743164,0.8571428571428571,0.8750000000000001,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,4000,5gram_chars_affix-punct,zscore,0
4,4,0.01500558853149414,0.014301538467407227,0.6923076923076923,0.7499999999999999,0.6,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,4000,5gram_chars_affix-punct,zscore,0
5,5,0.015210628509521484,0.014345169067382812,0.6923076923076923,0.7499999999999999,0.6,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,4000,5gram_chars_affix-punct,zscore,0
6,6,0.014940500259399414,0.016391754150390625,0.7692307692307693,0.7692307692307692,0.7142857142857143,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,4000,5gram_chars_affix-punct,zscore,0
7,7,0.015201330184936523,0.014687061309814453,0.6923076923076923,0.75,0.6666666666666666,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,4000,5gram_chars_affix-punct,zscore,0
8,8,0.015195846557617188,0.014374494552612305,0.6923076923076923,0.7777777777777778,0.6363636363636364,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,4000,5gram_chars_affix-punct,zscore,0
9,9,0.015430450439453125,0.014241218566894531,0.9230769230769231,0.9333333333333333,0.875,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,4000,5gram_chars_affix-punct,zscore,0
10,0,0.010738134384155273,0.013114452362060547,0.7142857142857143,0.7777777777777778,0.6363636363636364,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,4000,5gram_chars_affix-punct,zscore,1
