,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.0031218528747558594,0.003938198089599609,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,0
1,1,0.0030825138092041016,0.0037109851837158203,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,0
2,2,0.002764463424682617,0.0036716461181640625,0.7857142857142857,0.7999999999999999,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,0
3,3,0.003252267837524414,0.003791332244873047,0.7857142857142857,0.7692307692307692,0.8333333333333334,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,0
4,4,0.0029027462005615234,0.003865480422973633,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,0
5,5,0.0028243064880371094,0.0036640167236328125,0.6923076923076923,0.7142857142857143,0.625,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,0
6,6,0.003003358840942383,0.003696441650390625,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,0
7,7,0.003020763397216797,0.0037114620208740234,0.7692307692307693,0.7272727272727273,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,0
8,8,0.0026786327362060547,0.003794431686401367,0.5384615384615384,0.6250000000000001,0.5555555555555556,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,0
9,9,0.0028040409088134766,0.003662586212158203,0.6923076923076923,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,0
10,0,0.0027158260345458984,0.0037353038787841797,0.7857142857142857,0.7692307692307692,0.8333333333333334,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,1
11,1,0.002620220184326172,0.003677845001220703,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,1
12,2,0.0031805038452148438,0.003760099411010742,0.7857142857142857,0.7272727272727273,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,1
13,3,0.0027923583984375,0.003901243209838867,0.21428571428571427,0.26666666666666666,0.25,0.2857142857142857,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,1
14,4,0.002642393112182617,0.0037195682525634766,0.7692307692307693,0.7999999999999999,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,1
15,5,0.0029039382934570312,0.003695249557495117,0.6923076923076923,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,1
16,6,0.0027954578399658203,0.0036759376525878906,0.7692307692307693,0.7999999999999999,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,1
17,7,0.002770662307739258,0.003938436508178711,0.7692307692307693,0.7692307692307692,0.7142857142857143,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,1
18,8,0.0026934146881103516,0.00371551513671875,0.7692307692307693,0.7692307692307692,0.7142857142857143,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,1
19,9,0.002948284149169922,0.003672361373901367,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,1
20,0,0.0028409957885742188,0.0037479400634765625,0.5,0.5333333333333333,0.5,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,2
21,1,0.002794027328491211,0.003725767135620117,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,2
22,2,0.002704620361328125,0.0036835670471191406,0.6428571428571429,0.6666666666666666,0.625,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,2
23,3,0.0027158260345458984,0.003823995590209961,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,2
24,4,0.0028505325317382812,0.0036754608154296875,0.9230769230769231,0.9090909090909091,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,2
25,5,0.002962350845336914,0.0036919116973876953,0.6153846153846154,0.5454545454545454,0.6,0.5,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,2
26,6,0.0032477378845214844,0.003674030303955078,0.8461538461538461,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,2
27,7,0.002499103546142578,0.00366973876953125,0.5384615384615384,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,2
28,8,0.0021753311157226562,0.0036225318908691406,0.6153846153846154,0.6153846153846153,0.6666666666666666,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,2
29,9,0.003298521041870117,0.003678560256958008,0.46153846153846156,0.5333333333333333,0.5,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,2
30,0,0.003521442413330078,0.0037713050842285156,0.6428571428571429,0.6666666666666666,0.625,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,3
31,1,0.0027129650115966797,0.003744840621948242,0.5714285714285714,0.5,0.6,0.42857142857142855,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,3
32,2,0.0028374195098876953,0.0036764144897460938,0.7857142857142857,0.8235294117647058,0.7,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,3
33,3,0.0022821426391601562,0.0037343502044677734,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,3
34,4,0.0029451847076416016,0.003663778305053711,0.6923076923076923,0.7142857142857143,0.625,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,3
35,5,0.0025839805603027344,0.003704547882080078,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,3
36,6,0.002888917922973633,0.0036704540252685547,0.7692307692307693,0.7692307692307692,0.7142857142857143,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,3
37,7,0.0026090145111083984,0.003918170928955078,0.6153846153846154,0.5454545454545454,0.75,0.42857142857142855,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,3
38,8,0.002302885055541992,0.0036830902099609375,0.6153846153846154,0.6666666666666666,0.625,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,3
39,9,0.002859354019165039,0.003728151321411133,0.6153846153846154,0.6153846153846153,0.6666666666666666,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,3
40,0,0.0027322769165039062,0.003710031509399414,0.5,0.588235294117647,0.5,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,4
41,1,0.0034151077270507812,0.003720521926879883,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,4
42,2,0.002964496612548828,0.003668546676635742,0.6428571428571429,0.6666666666666666,0.625,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,4
43,3,0.0024209022521972656,0.0036804676055908203,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,4
44,4,0.0027008056640625,0.0037021636962890625,0.6923076923076923,0.7142857142857143,0.625,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,4
45,5,0.002969980239868164,0.003676891326904297,0.7692307692307693,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,4
46,6,0.002829313278198242,0.003696918487548828,0.7692307692307693,0.7272727272727272,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,4
47,7,0.0026171207427978516,0.0036551952362060547,0.6153846153846154,0.6153846153846153,0.6666666666666666,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,4
48,8,0.0023424625396728516,0.0036954879760742188,0.6153846153846154,0.6153846153846153,0.6666666666666666,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,4
49,9,0.003022432327270508,0.0037746429443359375,0.6923076923076923,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,4
50,0,0.0029833316802978516,0.003787994384765625,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,5
51,1,0.0029304027557373047,0.0037059783935546875,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,5
52,2,0.002427816390991211,0.003700733184814453,0.7857142857142857,0.7999999999999999,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,5
53,3,0.0035126209259033203,0.003673553466796875,0.5714285714285714,0.5,0.6,0.42857142857142855,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,5
54,4,0.00328826904296875,0.0037009716033935547,0.8461538461538461,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,5
55,5,0.0030133724212646484,0.0037508010864257812,0.9230769230769231,0.923076923076923,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,5
56,6,0.0033860206604003906,0.0037021636962890625,0.6923076923076923,0.7142857142857143,0.625,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,5
57,7,0.0027158260345458984,0.003625631332397461,0.8461538461538461,0.8333333333333333,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,5
58,8,0.0023450851440429688,0.0037865638732910156,0.5384615384615384,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,5
59,9,0.002466917037963867,0.003818511962890625,0.6153846153846154,0.7058823529411764,0.6,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,5
60,0,0.0036106109619140625,0.004564046859741211,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,6
61,1,0.0025691986083984375,0.0038433074951171875,0.5,0.588235294117647,0.5,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,6
62,2,0.0027272701263427734,0.0051229000091552734,0.6428571428571429,0.6666666666666666,0.625,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,6
63,3,0.0029065608978271484,0.005284309387207031,0.5714285714285714,0.5,0.6,0.42857142857142855,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,6
64,4,0.0032660961151123047,0.003749847412109375,0.7692307692307693,0.7692307692307692,0.7142857142857143,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,6
65,5,0.002711772918701172,0.0037975311279296875,0.8461538461538461,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,6
66,6,0.002675294876098633,0.0038390159606933594,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,6
67,7,0.002759218215942383,0.003780364990234375,0.6923076923076923,0.6666666666666666,0.8,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,6
68,8,0.002586841583251953,0.0038254261016845703,0.6923076923076923,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,6
69,9,0.00272369384765625,0.003787994384765625,0.5384615384615384,0.6250000000000001,0.5555555555555556,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,6
70,0,0.0033648014068603516,0.004244327545166016,0.7857142857142857,0.7999999999999999,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,7
71,1,0.0026574134826660156,0.0042133331298828125,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,7
72,2,0.0026717185974121094,0.004047393798828125,0.8571428571428571,0.8750000000000001,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,7
73,3,0.0032258033752441406,0.004157304763793945,0.5,0.36363636363636365,0.5,0.2857142857142857,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,7
74,4,0.0034279823303222656,0.003904104232788086,0.9230769230769231,0.9090909090909091,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,7
75,5,0.003157377243041992,0.0037336349487304688,0.9230769230769231,0.923076923076923,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,7
76,6,0.0026404857635498047,0.0037391185760498047,0.7692307692307693,0.7272727272727272,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,7
77,7,0.0027053356170654297,0.0037720203399658203,0.5384615384615384,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,7
78,8,0.0031528472900390625,0.003804445266723633,0.7692307692307693,0.7692307692307692,0.8333333333333334,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,7
79,9,0.0028209686279296875,0.0038056373596191406,0.6153846153846154,0.6666666666666666,0.625,0.7142857142857143,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,7
80,0,0.0027005672454833984,0.00392460823059082,0.35714285714285715,0.39999999999999997,0.375,0.42857142857142855,1.0,1.0,1.0,1.0,subgenre-theme,novela histórica,other,100,3gram_chars_word,tfidf,8
