,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.0021407604217529297,0.003745555877685547,0.8571428571428571,0.8750000000000001,0.7777777777777778,1.0,0.9416666666666667,0.9391304347826087,0.9818181818181818,0.9,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,0
1,1,0.0019690990447998047,0.0037126541137695312,0.7857142857142857,0.7692307692307692,0.8333333333333334,0.7142857142857143,0.9583333333333334,0.9565217391304348,1.0,0.9166666666666666,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,0
2,2,0.001934051513671875,0.0036780834197998047,0.9285714285714286,0.923076923076923,1.0,0.8571428571428571,0.9416666666666667,0.9401709401709402,0.9649122807017544,0.9166666666666666,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,0
3,3,0.0019011497497558594,0.0036420822143554688,0.7857142857142857,0.7692307692307692,0.8333333333333334,0.7142857142857143,0.9583333333333334,0.9572649572649572,0.9824561403508771,0.9333333333333333,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,0
4,4,0.002035856246948242,0.0036725997924804688,1.0,1.0,1.0,1.0,0.9421487603305785,0.9411764705882353,0.9655172413793104,0.9180327868852459,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,0
5,5,0.0019485950469970703,0.003668546676635742,0.9230769230769231,0.923076923076923,0.8571428571428571,1.0,0.9504132231404959,0.9491525423728813,0.9824561403508771,0.9180327868852459,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,0
6,6,0.0019974708557128906,0.003667593002319336,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9504132231404959,0.9491525423728813,0.9824561403508771,0.9180327868852459,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,0
7,7,0.002954244613647461,0.003915071487426758,0.5384615384615384,0.6250000000000001,0.5555555555555556,0.7142857142857143,0.9421487603305785,0.9401709401709402,0.9649122807017544,0.9166666666666666,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,0
8,8,0.002202272415161133,0.004884958267211914,0.8461538461538461,0.8333333333333333,1.0,0.7142857142857143,0.9586776859504132,0.957983193277311,0.9661016949152542,0.95,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,0
9,9,0.002327442169189453,0.004063844680786133,0.9230769230769231,0.923076923076923,1.0,0.8571428571428571,0.9504132231404959,0.9482758620689654,0.9821428571428571,0.9166666666666666,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,0
10,0,0.002057313919067383,0.003866434097290039,0.8571428571428571,0.8750000000000001,0.7777777777777778,1.0,0.9416666666666667,0.9391304347826087,0.9818181818181818,0.9,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,1
11,1,0.0019884109497070312,0.003742218017578125,0.7857142857142857,0.7692307692307692,0.8333333333333334,0.7142857142857143,0.9583333333333334,0.9565217391304348,1.0,0.9166666666666666,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,1
12,2,0.0028252601623535156,0.003867626190185547,0.9285714285714286,0.923076923076923,1.0,0.8571428571428571,0.9416666666666667,0.9401709401709402,0.9649122807017544,0.9166666666666666,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,1
13,3,0.0020904541015625,0.0043926239013671875,0.7857142857142857,0.7692307692307692,0.8333333333333334,0.7142857142857143,0.9583333333333334,0.9572649572649572,0.9824561403508771,0.9333333333333333,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,1
14,4,0.0020933151245117188,0.004144906997680664,1.0,1.0,1.0,1.0,0.9421487603305785,0.9411764705882353,0.9655172413793104,0.9180327868852459,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,1
15,5,0.002046346664428711,0.0037822723388671875,0.9230769230769231,0.923076923076923,0.8571428571428571,1.0,0.9504132231404959,0.9491525423728813,0.9824561403508771,0.9180327868852459,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,1
16,6,0.002114534378051758,0.0037555694580078125,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9504132231404959,0.9491525423728813,0.9824561403508771,0.9180327868852459,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,1
17,7,0.0026268959045410156,0.0046062469482421875,0.5384615384615384,0.6250000000000001,0.5555555555555556,0.7142857142857143,0.9421487603305785,0.9401709401709402,0.9649122807017544,0.9166666666666666,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,1
18,8,0.002115964889526367,0.0047609806060791016,0.8461538461538461,0.8333333333333333,1.0,0.7142857142857143,0.9586776859504132,0.957983193277311,0.9661016949152542,0.95,subgenre-theme,novela histórica,other,100,4gram_chars_affix-punct,zscore,1
