,y_true,true_abs,true_rel,false_abs,false_rel
nh0001,novela de costumbres,99,0.99,1,0.01
nh0002,other,18,0.9,2,0.1
nh0003,other,18,0.9,2,0.1
nh0004,other,10,1.0,0,0.0
nh0005,novela de costumbres,99,0.99,1,0.01
nh0006,other,30,1.0,0,0.0
nh0007,other,4,0.13333333333333333,26,0.8666666666666667
nh0008,novela de costumbres,100,1.0,0,0.0
nh0009,other,60,1.0,0,0.0
nh0010,novela de costumbres,98,0.98,2,0.02
nh0011,other,18,0.6,12,0.4
nh0012,other,11,0.275,29,0.725
nh0013,other,37,0.925,3,0.075
nh0014,other,50,1.0,0,0.0
nh0015,other,20,1.0,0,0.0
nh0016,other,10,1.0,0,0.0
nh0017,other,30,1.0,0,0.0
nh0018,other,10,1.0,0,0.0
nh0019,other,30,1.0,0,0.0
nh0021,other,11,0.55,9,0.45
nh0022,other,40,1.0,0,0.0
nh0023,other,10,1.0,0,0.0
nh0024,other,14,0.7,6,0.3
nh0025,other,20,1.0,0,0.0
nh0027,novela de costumbres,100,1.0,0,0.0
nh0028,other,22,0.44,28,0.56
nh0029,other,50,1.0,0,0.0
nh0030,other,30,1.0,0,0.0
nh0031,other,39,0.975,1,0.025
nh0032,other,30,1.0,0,0.0
nh0033,other,20,1.0,0,0.0
nh0034,other,31,0.62,19,0.38
nh0035,other,19,0.95,1,0.05
nh0036,novela de costumbres,46,0.46,54,0.54
nh0037,other,39,0.975,1,0.025
nh0038,other,9,0.9,1,0.1
nh0039,novela de costumbres,100,1.0,0,0.0
nh0040,other,30,1.0,0,0.0
nh0041,other,50,1.0,0,0.0
nh0042,novela de costumbres,99,0.99,1,0.01
nh0043,other,29,0.9666666666666667,1,0.03333333333333333
nh0044,other,20,1.0,0,0.0
nh0045,other,30,1.0,0,0.0
nh0046,other,55,0.9166666666666666,5,0.08333333333333333
nh0047,other,26,0.65,14,0.35
nh0048,novela de costumbres,42,0.42,58,0.58
nh0049,other,18,0.9,2,0.1
nh0050,novela de costumbres,100,1.0,0,0.0
nh0051,novela de costumbres,100,1.0,0,0.0
nh0052,other,29,0.9666666666666667,1,0.03333333333333333
nh0054,other,10,1.0,0,0.0
nh0056,other,20,1.0,0,0.0
nh0057,novela de costumbres,98,0.98,2,0.02
nh0058,other,7,0.35,13,0.65
nh0059,other,48,0.96,2,0.04
nh0060,other,2,0.2,8,0.8
nh0061,novela de costumbres,88,0.88,12,0.12
nh0062,novela de costumbres,79,0.79,21,0.21
nh0063,novela de costumbres,100,1.0,0,0.0
nh0065,novela de costumbres,90,0.9,10,0.1
nh0066,novela de costumbres,88,0.88,12,0.12
nh0067,other,40,1.0,0,0.0
nh0068,other,25,0.8333333333333334,5,0.16666666666666666
nh0069,other,10,1.0,0,0.0
nh0070,novela de costumbres,87,0.87,13,0.13
nh0071,novela de costumbres,55,0.55,45,0.45
nh0072,other,20,1.0,0,0.0
nh0073,novela de costumbres,91,0.91,9,0.09
nh0074,other,9,0.9,1,0.1
nh0075,other,28,0.9333333333333333,2,0.06666666666666667
nh0076,other,3,0.3,7,0.7
nh0077,novela de costumbres,73,0.73,27,0.27
nh0078,novela de costumbres,100,1.0,0,0.0
nh0079,novela de costumbres,97,0.97,3,0.03
nh0080,other,30,1.0,0,0.0
nh0081,other,10,1.0,0,0.0
nh0082,other,20,1.0,0,0.0
nh0083,other,30,1.0,0,0.0
nh0084,other,30,1.0,0,0.0
nh0085,other,10,1.0,0,0.0
nh0086,other,40,1.0,0,0.0
nh0087,other,36,0.72,14,0.28
