,y_true,true_abs,true_rel,false_abs,false_rel
nh0001,other,18,0.9,2,0.1
nh0002,other,50,1.0,0,0.0
nh0003,novela sentimental,98,0.98,2,0.02
nh0004,other,40,1.0,0,0.0
nh0005,other,40,1.0,0,0.0
nh0006,novela sentimental,100,1.0,0,0.0
nh0007,other,20,1.0,0,0.0
nh0008,other,3,0.1,27,0.9
nh0009,other,50,1.0,0,0.0
nh0010,other,30,1.0,0,0.0
nh0011,other,34,0.85,6,0.15
nh0012,other,30,1.0,0,0.0
nh0013,novela sentimental,100,1.0,0,0.0
nh0014,novela sentimental,100,1.0,0,0.0
nh0015,other,10,1.0,0,0.0
nh0016,other,10,1.0,0,0.0
nh0017,other,18,0.9,2,0.1
nh0018,novela sentimental,98,0.98,2,0.02
nh0019,other,40,1.0,0,0.0
nh0020,other,10,1.0,0,0.0
nh0021,novela sentimental,100,1.0,0,0.0
nh0022,other,70,1.0,0,0.0
nh0023,other,30,1.0,0,0.0
nh0024,other,19,0.95,1,0.05
nh0025,other,13,0.65,7,0.35
nh0026,other,50,1.0,0,0.0
nh0027,other,4,0.4,6,0.6
nh0028,other,50,1.0,0,0.0
nh0029,other,49,0.98,1,0.02
nh0030,other,30,1.0,0,0.0
nh0031,other,40,1.0,0,0.0
nh0032,other,30,1.0,0,0.0
nh0033,other,50,1.0,0,0.0
nh0034,novela sentimental,3,0.03,97,0.97
nh0035,other,40,1.0,0,0.0
nh0036,other,20,1.0,0,0.0
nh0037,other,20,1.0,0,0.0
nh0039,other,60,1.0,0,0.0
nh0040,other,2,0.2,8,0.8
nh0041,other,20,1.0,0,0.0
nh0042,other,10,1.0,0,0.0
nh0043,novela sentimental,100,1.0,0,0.0
nh0044,other,40,1.0,0,0.0
nh0045,novela sentimental,99,0.99,1,0.01
nh0047,other,40,1.0,0,0.0
nh0048,other,40,1.0,0,0.0
nh0049,other,60,1.0,0,0.0
nh0050,other,38,0.95,2,0.05
nh0051,other,28,0.7,12,0.3
nh0052,other,0,0.0,40,1.0
nh0053,other,40,1.0,0,0.0
nh0054,other,20,1.0,0,0.0
nh0055,other,20,1.0,0,0.0
nh0056,other,60,1.0,0,0.0
nh0057,other,20,1.0,0,0.0
nh0058,other,19,0.95,1,0.05
nh0059,other,30,1.0,0,0.0
nh0060,other,19,0.95,1,0.05
nh0061,other,50,1.0,0,0.0
