,que,ent,con,est,los,ado,aba,ndo,era,por,las,par,sta,res,and,des,tra,ero,per,ant,com,men,una,ara,ada,end,ido,pre,dos,ida,lla,hab,rec,ier,esp,aci,cia,dad,enc,ten,ció,bre,ran,tan,uer,ell,ste,qui,"os,",sus,uel,nos,tod,man,ron,ont,bía,ora,más,eci,ros,omo,ras,tro,tar,pro,ese,mos,cua,esa,pue,str,cio,cer,ist,ter,ene,aqu,lle,les,tes,tos,nes,ven,ver,cas,car,rad,ban,one,ita,"es,",sin,cho,sto,ici,tab,ser,cha,esc
nh0001,1.0,0.0,0.11877973262614139,0.2241354515586056,0.26892900457026436,0.2426299272323485,0.23189049439307183,0.23594900986283518,0.20890132292982644,0.4751562901102434,0.21051229948627215,0.1612410050264116,0.2550971593771135,0.09101292145437379,0.26643598350203757,0.09434006543119883,0.21839474960377692,0.4751881320048335,0.2314617680881914,0.2699305782227939,0.08615411715111454,0.04202581977941594,0.12037343417667548,0.2857541914866468,0.15610588764489763,0.15996066841219747,0.13844511439128326,0.10899197295148022,0.26125145013280765,0.03138162515965548,0.37086651774231505,0.1894113256981694,0.25293235961257327,0.41446652134197653,0.1610581168608346,0.09204642615600497,0.09115137310105348,0.0,0.07022362456131859,0.167325886293739,0.09302972411144428,0.30528027377939565,0.08746993327272545,0.36612730625937273,0.3964142666827757,0.11993752646430139,0.27200191460146367,0.301704390504554,0.3625848662285249,0.12610069844188743,0.20523177667225356,0.1441442877597513,0.23682252303544266,0.31964819309150894,0.41450025121166506,0.5163490198609564,0.22345280693133318,0.1952046356378992,0.40667728847391793,0.24314313687817746,0.40199475164977533,0.12256805112128083,0.15147090210272984,0.4205663565732238,0.23189723096003667,0.048809411300684724,0.1856123236894815,0.30718347672122565,0.47684157101667723,0.06595661094135014,0.5263007695286045,0.11629944931125866,0.09634977527417912,0.11099988389057736,0.15048095493557737,0.21898131445728802,0.07127875191051036,0.1755558873870915,0.17895886549757312,0.14840125173347374,0.16245092319479998,0.16619777146565495,0.0972594583924942,0.0015556829242308057,0.3731974986285621,0.5182873994572037,0.3010178893577122,0.1417398776255292,0.1553500182009654,0.0940492121593787,0.11349268967437812,0.2582092026951593,0.27750085856633133,0.2947713089636773,0.39281608019288583,0.05716238800827533,0.4362378267512843,0.0312061716983017,0.402086961461176,0.15192853212973667
nh0002,1.0,0.47726566520459157,0.343459198299474,0.49670323892049717,0.2393435165211407,0.32861052304388233,0.22005317878249667,0.3082704273650424,0.66037988892776,0.4449007547281726,0.2369395582330278,0.47368381686757866,0.4634114285338585,0.5289823353986821,0.34691838969531896,0.3123579915014611,0.35972239784023974,0.5252998975135148,0.6781091959305046,0.4204247380344322,0.722857271855595,0.6416120287517266,0.38442137098459617,0.6201510981010322,0.2991537597627954,0.29521531926731415,0.22713015479178011,0.5913740300367669,0.2564212203047113,0.3856050895402358,0.27559358033926196,0.2114295246680072,0.36313967814738585,0.6331679632459377,0.25622800511845806,0.39647025345800824,0.7715893520237126,0.5011991205147237,0.3476272507342339,0.5107258237475991,0.4868626292884824,0.20089966098816647,0.46215078650202257,0.5688939780765425,0.3114278336494113,0.23976529258093415,0.23130420479519664,0.7520359765551395,0.4191503458565947,0.139108315223335,0.2753803876401068,0.491388753664331,0.6113942567847492,0.18981665419733096,0.1368283942530586,0.3412459035169934,0.23663096239319914,0.30192435783090676,0.718936610251913,0.46377638455784775,0.3200309969032065,0.5665036758330425,0.352365359480147,0.31858176273749256,0.6527535040054436,0.751263656768643,0.21640684591207876,0.3492902421738216,0.5570420706411193,0.17659227756863155,0.4768899658127195,0.23229800290682312,0.5245601985688267,0.3778181159661709,0.34281744802962666,0.5134465180987748,0.3098590367792776,0.23848271359825035,0.3119049086544414,0.3671096261730044,0.3139946145184962,0.4698921694134508,0.41663945991886375,0.16739861410731738,0.5873706174164478,0.5679225870228115,0.4031085263802326,0.2069346251233234,0.1533591636348648,0.3975063887932132,0.3619335872329893,0.6213869658910892,0.565917079361031,0.5737413613254698,0.6650409695224672,0.7229843716093232,0.40669825235061485,0.686513818639555,0.3516718974974155,0.3713680252774458
nh0003,1.0,0.32430805384704664,0.35494975925802963,0.33784040252946,0.17827401589502875,0.2971597234761067,0.23032924107142846,0.27267880782309517,0.42641601766246273,0.19313393981673643,0.18790071204687764,0.2727778840158235,0.35558689133821153,0.21768321442965732,0.3391553329610827,0.30548776648855586,0.19380593421849746,0.5189043759032237,0.5145836313625254,0.24812504997197854,0.2845708221965064,0.3017554088731529,0.3924341255473107,0.3105430499707724,0.24661229216844843,0.1660032850416473,0.16928046952077958,0.30565027298379294,0.14890492264594102,0.13191087677964325,0.5509525496217512,0.29912536263352185,0.3327900367336965,0.2476366064872551,0.3134938882484251,0.18827570219618336,0.20823453157772082,0.3434562279670975,0.23793870857488691,0.3628116975871911,0.19490869158044954,0.055076455132841706,0.2800426545665311,0.19695760140751406,0.14699702046778618,0.528532470115022,0.33651686256687685,0.2767749537148666,0.25526234132100717,0.20146413706407418,0.3436076650374634,0.36256052799718697,0.3246741775161713,0.23765797389206922,0.5639731452859351,0.45419953748558867,0.36548725838008106,0.3495086340118303,0.34233647117609134,0.35863563656018427,0.32746330825555053,0.23251558831163338,0.13049615300521888,0.10225001062131672,0.30957211189995903,0.18141082543853443,0.2241056841212722,0.24771055646566248,0.3085470617529882,0.16903117600849304,0.48724918705195486,0.08987957077763514,0.10480218716617282,0.26082636898178446,0.40573830956638157,0.3964839653927649,0.2236099551449846,0.3476599594905914,0.18916866367510843,0.17448738282020404,0.1825676785097219,0.15401236352567177,0.10036182176724481,0.2583999563268888,0.3792142045411633,0.48130042130896983,0.49952019058595903,0.17929709797104454,0.11791967891658371,0.44759963223504895,0.3815148743441945,0.22510619236383517,0.12886064561825153,0.1587642724375996,0.6558978153354883,0.1132947403156907,0.3757275763547616,0.2443857040099907,0.43829243557111036,0.18966029384260735
nh0004,1.0,0.6379560734202828,0.6585652786223757,0.5664524004330386,0.7086296648738647,0.7071045538847633,0.3783559197875651,0.43259034607706703,0.47767470360740927,0.45626931726753706,0.3830140315635234,0.6012776370760923,0.6176488558781346,0.8500397169526678,0.609572562612135,0.48279362713654445,0.47889018470234457,1.0,0.6795880723296457,0.4786354612221079,0.5933791620343336,0.6985744475258608,0.2502607659452345,0.719461180921673,0.31298486167108813,0.42595981463280697,0.4225211977067297,0.635328238691347,0.39931968400061507,0.3756895628063815,0.3541862955954246,0.23599582654512877,0.531601062537777,0.6535854776822008,0.7480047105146532,0.4781350351033232,0.7661229595972737,0.4753868298813616,0.6671036641223322,0.6413412843330809,0.4671475391178164,0.2953988017294384,0.6414062378487235,0.7330431637213422,0.6738456813749748,0.20890341785107835,0.1411279101231675,0.655839780892519,0.615577584361506,0.39303325356380714,0.16612093099809416,0.5652873930806989,0.3206882226306513,0.5390123136292512,0.6652680453753836,0.5186006189129437,0.18759077101471905,0.27708387777298704,0.4613314928771972,0.6416090243671888,0.6201043186078172,0.3247691473800205,0.5068087092548687,0.5301473827567904,0.7662988835248378,0.4749910510500433,0.23464832849554573,0.43729057563655166,0.5477965438858066,0.2910433334960549,0.7953295407299008,0.3543099700967251,0.47510348868771635,0.9021043943208156,0.39700330425326524,0.5849213586643878,0.3600906907153182,0.3463977760675341,0.6391038076781521,1.0000000000000002,0.6417744774552928,0.73535530066847,0.44234442045206246,0.3189162619895584,0.48351760031696867,0.6987684924898765,0.6634286090563495,0.2887415624672693,0.4315210041089715,0.41914824798771644,0.39175553940774044,1.0,0.48625633309245186,0.28325008932576146,0.46445633525950525,0.6217288448111176,0.6195512644433409,0.5674863546347378,0.6674028994220285,0.35575238387945524
nh0005,1.0,0.2930559542642147,0.3478500281169684,0.47538934649489983,0.2852159201075015,0.39778043542484093,0.2547600344143942,0.2155245240042193,0.3823127007480256,0.4659054574002356,0.2618078177053307,0.3699028712993674,0.35308920680609013,0.7240305254696316,0.2207453148021284,0.2392868231361152,0.25169512243637937,0.42487662812668886,0.5119017533692363,0.3859626387235226,0.4592476972862476,0.2438248602227765,0.3445744932149907,0.22028962362212734,0.22650269103002257,0.23516286976168055,0.4199340595611011,0.4895421695439292,0.2288191693586461,0.22519674316029853,0.36580195223575007,0.37772977633630034,0.47656262676009725,0.1834449009038554,0.2575178420050896,0.29504301809936373,0.3128800794809209,0.4180221411342693,0.2465423998399489,0.33907017854992183,0.330307127075627,0.2974910497456655,0.3546260516855444,0.415082022356123,0.3666189117501766,0.331636185094564,0.21115241911474647,0.2174120415436217,0.4220913660346013,0.39607677233837735,0.27497928931694954,0.6020693551957259,0.42249654505881723,0.43815703747427537,0.20565490447740503,0.5084637815506445,0.2925963798511451,0.4968408340446964,0.5495004299657036,0.5519038942860197,0.37635373198735383,0.39227453430974646,0.1550534735740592,0.281479613515422,0.3729739716979962,0.44275801826606626,0.46858530182012903,0.4387164373683404,0.23911808904731957,0.3388516647098169,0.7592559916463313,0.17442467837499376,0.2665685691469155,0.5576405215519444,0.35912386140351393,0.19783603838579117,0.34074741862407165,0.32316136328485434,0.26130813835053857,0.4185130730791911,0.36225678340375544,0.46783151158843983,0.22421192812774024,0.3318491523168378,0.4142292610758247,0.3500529101623983,0.4041701826963315,0.40081360320525256,0.1773085997805946,0.15377504507621462,0.32596066641094223,0.4576855077249954,0.14523577268801133,0.5304641715813699,0.8674660091562293,0.40509734338309805,0.2703500205874203,0.2962932597480489,0.3872574532098621,0.2830960511368478
nh0006,1.0,0.26916474221139963,0.2663242014056886,0.4173542560605673,0.12606722118611366,0.34767853993391457,0.22603803834515454,0.11129648683979287,0.50233836395751,0.19944604689831413,0.15698297947074663,0.2874799995869818,0.3293627138383215,0.2638110893717841,0.1721848276274966,0.3102694288432167,0.14988731932154475,0.48982952828956655,0.590574916810551,0.3594437326952658,0.4228234162864548,0.276587770711873,0.40513275191058606,0.25976378372830866,0.19510316302726827,0.13155737271151258,0.21812992837283685,0.3631754505517279,0.12030401638903526,0.16665393638696147,0.3032317240775185,0.2832075406053499,0.4025458425501533,0.15056991621877863,0.2986186056894538,0.2625995574664236,0.3668517075614802,0.2785757736075807,0.24770264716607887,0.4792157385102557,0.24269920104891368,0.14169472328074234,0.1832947485556865,0.33285162737190543,0.35380080879188613,0.32827867686275986,0.8826421962621834,0.09291171732815029,0.11902680761191042,0.23616259262041306,0.17477325576223862,0.23367600802036848,0.31378879698198464,0.3746965443146353,0.2658222757424916,0.2667150852675155,0.2488932164497919,0.4864583659707437,0.4180632460417516,0.3090117692969575,0.18818738810081376,0.29679199470375495,0.15366169742372437,0.17778564408479908,0.2334466439099392,0.156271737660939,0.40969366940578633,0.35424240310908456,0.31560336646160225,0.27120627038500095,0.36338022898687894,0.0627973925949408,0.20407012739399674,0.3966572320309021,0.30955627775098393,0.24764818258030047,0.5896159512388182,0.24789206804305108,0.4747016223739663,0.12826615617471177,0.23043697665353213,0.1715748712692397,0.19107683662123906,0.2531286110438507,0.2661469293460875,0.17366587213837836,0.4387590610117951,0.22305445834400278,0.09040244230651383,0.23033791382407529,0.19124590128217703,0.23595693764247805,0.19043402749402302,0.23562120442500556,0.6130383554917685,0.3733457937352143,0.3734636674313041,0.4807502425811869,0.12843545915550614,0.14654841026236481
nh0007,1.0,0.17036702687978944,0.1930021740205926,0.2611428482516931,0.23382664279442036,0.40869046751566224,0.215220725009965,0.2139370113122001,0.36449004798705886,0.271445005486632,0.2057984084828614,0.25632582405359583,0.23011715411482425,0.2927960446782937,0.37356759464247435,0.20745191824195658,0.07648910640511053,0.5801731253056992,0.4721051175855995,0.24313270289855754,0.40648537913778604,0.2587569639185381,0.22688315413228025,0.23415863344361365,0.2591329672008737,0.3006629880754623,0.45059625795461544,0.4054563310306985,0.46963795855324036,0.24972757067176915,0.4056427605176198,0.3988810778778086,0.24840438307814078,0.3681612428049848,0.30463368638426874,0.1789534938445478,0.20212778522710217,0.3142332114077696,0.08782013233230473,0.346181531992502,0.12464729925863671,0.23729006354481358,0.22860774132947237,0.2722800839332127,0.30489512347811376,0.4311474533866218,0.5057341140779367,0.32278840242706985,0.3593301846698178,0.21603037801058994,0.4004899536861701,0.44892851925018173,0.3711457968898689,0.19990654055536017,0.20975632353743034,0.2919567556297243,0.36628782489057266,0.3336428602768158,0.34996090478503394,0.3405058318168893,0.30425680815047823,0.23267547909740227,0.13106746767853017,0.19141594030325776,0.2584651993303808,0.07316116442878584,0.21060763970072838,0.37173403464876026,0.15867224721292872,0.19700603164151353,0.33637442396908246,0.0733292497484446,0.12909993965024427,0.3092202395548165,0.19904876435051413,0.23850806176020384,0.23727494724414327,0.4568849911121419,0.1941906187182692,0.1768634524395145,0.24321411915298008,0.30984745976181693,0.16465467477659743,0.23243338293476884,0.32567062114888246,0.19434597225120503,0.24148100009533507,0.21796925609073886,0.3024498834744068,0.16012460368605266,0.12536666759815526,0.38028750141158374,0.19810265177376404,0.1970991031736401,0.46650464193686425,0.08229409708606006,0.3253550096908122,0.1842453326808372,0.2864682479363967,0.13303046171397642
nh0008,1.0,0.46535889905258154,0.19877073129143608,0.25330381879221797,0.4061740707963486,0.3437667609396979,0.4308785215932174,0.4047143552624598,0.4986240955781548,0.4093294577043999,0.5346822645919881,0.49954586904578535,0.34126584807415505,0.5305466172458008,0.37302394412051976,0.41809221472547525,0.40443013128798044,0.5467498693305144,0.48445373800413427,0.3682866538648763,0.7190392814292597,0.43966127070045435,0.5525698381015249,0.46458629529628903,0.4641949567101891,0.40017173450253085,0.25161008548130936,0.4653285649246561,0.36206549453562725,0.3911066756773827,0.569238558309296,0.33579810468104254,0.39152217094986747,0.434446371155707,0.40607408509976534,0.2617350299860559,0.3494525131036613,0.25235933128909716,0.4158011864759395,0.3535967902043622,0.23744932627130277,0.48748419710863694,0.3325330858053007,0.3577092925574158,0.40640465637442647,0.6308698627187064,0.09763138893823696,0.5734146427681778,0.4058593999453931,0.4897770190234192,0.6224104722408315,0.3054934266084235,0.4719679361626588,0.3643486694528021,0.502861789658841,0.320678376035245,0.36797763604810263,0.44066270471730046,0.3945262116133542,0.3359456559867867,0.5367857611247064,0.6103819989534275,0.5651164859757266,0.263805241503635,0.3932203868019015,0.2726571754722265,0.6597496691681883,0.1790431956734312,0.4731002027393386,0.6180732989866551,0.36301578957474534,0.17130368549148328,0.48366973638174215,0.7462193261786405,0.278144394329116,0.35764798615578525,0.30085356634853544,0.5374700417192728,0.5313951891985907,0.30749877128286424,0.38530885599351894,0.47425930478954337,0.5704813311619464,0.2943755382948409,0.36557266663606436,0.7293218642881742,0.864107025487008,0.37583271181304095,0.36459295140683323,0.39637421220754554,0.3879649352824337,0.5638106379520125,0.262811122933747,0.4589501624102711,0.290612203326873,0.6265606214465902,0.5414261186548182,0.3928474563268416,0.3881181323387937,0.34880516210975016
nh0009,1.0,0.170574012386277,0.0,0.11051043737526567,0.14727148895277756,0.3209678793122159,0.2115715619545067,0.19844733500663353,0.610573466411854,0.24168710508016367,0.057550100268801585,0.19363476796828483,0.2035125493640655,0.07675423930462699,0.24595610838842763,0.014114925809338208,0.030113521869751025,0.3580508116524261,0.3757009719846697,0.061954446490289805,0.12877797447433603,0.39908758462355587,0.16873722253733506,0.41063571670760424,0.09725901056530228,0.20627008949060954,0.23421339587477763,0.24633456881846477,0.21442539672057187,0.18558242163862865,0.3123823325882342,0.4303693233597099,0.06960802081928463,0.35940976234705874,0.13974389985013158,0.1043823423765832,0.2483504486503515,0.3303297384656525,0.05899303598410105,0.4958085378959425,0.12868074582698447,0.03409648055612008,0.16849284113086638,0.002310505167161747,0.3776574549463829,0.38644709774857916,0.14776734068167946,0.2078419271560833,0.10274798991812334,0.09791606574590461,0.39208776106879156,0.05170962551800928,0.48504239851295977,0.3486392250066296,0.36713884618923703,0.2786894674777602,0.5165212507633508,0.0320823090393792,0.43054972682265935,0.03740985659461871,0.16531118815199314,0.09987490758848377,0.09191594829003485,0.13594426600550263,0.25467561835176367,0.14998580681209367,0.051047800950912325,0.10440427886742015,0.22047936991833217,0.026290611152716636,0.2475445345387126,0.08320883005418794,0.10546159903378347,0.24935701222495077,0.13212112270614393,0.12387153572036841,0.32961590409757424,0.5163613954148447,0.18673819109351952,0.14060758000276075,0.016355418330874838,0.13895937447221118,0.02825382278725999,0.16589537013729982,0.14053250092857683,0.03613754407657538,0.35299411318530755,0.04170095163637527,0.1498161256619398,0.43334818162485145,0.028233385854398857,0.07517028720969982,0.32599864774252674,0.12581323213360884,0.27007977739817746,0.30645875265458616,0.3129735702153337,0.33912946422221946,0.2313765535177396,0.019616533729648444
nh0010,1.0,0.3654143766683141,0.5889701461604762,0.5980890460055194,0.26992271958943836,0.47159825030426156,0.41962904393225775,0.2861953846235433,0.3441917880396974,0.4068196494470946,0.26302090446071436,0.25074691681637895,0.36614260788924635,0.2751577618900304,0.3360190078725802,0.3488820262682886,0.4867298379572078,0.421042552306407,0.20887787381533773,0.35359109639544023,0.2961541693509985,0.41625312995147146,0.27199229096403954,0.15882914410111137,0.3381923080387363,0.2867053841381829,0.3456270429221262,0.30102401705533716,0.5730620528549,0.14600259041488117,0.5199063461752762,0.3100818962597074,0.2573476944814606,0.3366129756490371,0.3522809237241857,0.2073265006508662,0.24832932970350885,0.17557372307404795,0.24949449002454532,0.5147462377505007,0.1828055470986737,0.3339431125466222,0.2970236243676274,0.6348847691844379,0.24815249861659838,0.44615652531264544,0.3914198122491612,0.21180230135917566,0.2636684402331482,0.18480980013086512,0.5833971404752847,0.8943442754440916,0.42823179227681024,0.2331547156954381,0.3639450474037345,0.4471891148226999,0.29515932119339783,0.21356540974006621,0.5399637582171348,0.2779273292876263,0.4264007371030482,0.205825613191583,0.44746581860947443,0.5858286977940828,0.33035187876637573,0.31081630812703015,0.16722435939793479,0.604305187257768,0.5479745005269661,0.27488014192451765,0.2953184625771088,0.2767539265361732,0.22636289082269082,0.29519137354585,0.3402420596160233,0.3637310023625719,0.15779501574285604,0.5236425638189959,0.4880038900009054,0.32683529926007987,0.5460215642527844,0.5188521591068743,0.2609591009011101,0.16437080906171975,0.2811714221454298,0.4515432030264011,0.5746650255787269,0.3513178786677878,0.36117067314719614,0.24606386201709116,0.1951723114928083,0.311335065439172,0.12802830291479297,0.5237498992526037,0.7065171383961325,0.4090376216166705,0.45387814009878646,0.14959208038703914,0.2941648106904232,0.3913224031992813
