, a , ca, co, de, di, el, en, es, ha, la, le, lo, me, mi, no, pa, pe, po, pr, qu, re, se, si, su, un, y , — ,", y",. —,a a,a c,a d,a e,a l,a m,a p,a s,"a, ",aba,ado,an ,and,ant,ar ,as ,con,de ,des,do ,e a,e d,e e,e l,e s,el ,en ,ent,er ,era,ero,es ,est,ien,la ,las,lo ,los,n e,n l,na ,ndo,no ,nte,nto,o a,o d,o e,o s,"o, ",on ,or ,os ,par,per,por,que,ra ,res,ro ,s d,"s, ",se ,sta,su ,te ,to ,tra,ue ,un ,ía 
nh0001,0.575214414762245,0.7240707353414391,0.18107525750519038,0.468175495618977,0.27202585446404765,0.6830569614783173,0.3526883919788131,0.35257813746582534,0.5035997219002449,0.24573137582248306,0.560597744579673,0.5065911623373195,0.1866021983806694,0.04870451231286799,0.5435451510086015,0.3984358426153022,0.5220585676755756,0.7851119215407014,0.28409707773819576,0.7197068414240994,0.1845694621700067,0.4025617399723349,0.47076945168457096,0.28193277941121875,0.2628122196107864,0.43280907363698085,0.2695511265760497,0.46750243417731147,0.16922438393649875,0.4070114457959112,0.29057645116627495,0.4210386750967965,0.452459993207021,0.36367862693745434,0.25427583412941546,0.4216904594359685,0.1220220489887649,0.46293457299529694,0.2903724782536305,0.3576125377691963,0.30653872572397045,0.4221420643029319,0.4407792145663836,0.3000974697378954,0.24142977946705557,0.18350350571614837,0.5583549616120842,0.15698696408524104,0.3972032503967087,0.41637855444384164,0.6875423476044249,0.7001712551140213,0.6118027735408946,0.45578044689514075,0.7053741471371283,0.27913674311769077,0.0,0.4154804717546496,0.1761787448169958,0.6693093289071713,0.46011552132304767,0.35402314207366403,0.2861022094186547,0.21713216285217374,0.3158709342377091,0.6827069567415717,0.39583410327373075,0.3542629071993917,0.37189011551862994,0.14014833828469453,0.33446913323267946,0.7252234627865815,0.3553343437207681,0.10420174262343851,0.5283951453780198,0.6256587775698743,0.6091332349167404,0.5731208316084188,0.5282705699170434,0.5210461614184335,0.6852661419560765,0.36900021253807447,0.45492828303866073,0.261998956054288,0.8752249041433344,0.6857914262744164,0.2408969424703623,0.09543598196895786,0.8081335911421049,0.250431277187097,0.4719048856026108,0.564782043129317,0.42273829240640315,0.32307694743513876,0.45435134055679427,0.35166309839552146,0.41228925149604434,0.7701982631339533,0.3373573424027321,0.288017089775507
nh0002,0.5378147533994818,0.5040883559371336,0.7040283320075722,0.5140015592890248,0.37904009940859235,0.13817475796554612,0.627460702276653,0.40571219023041305,0.5820491314351373,0.2378601563113647,0.20335130610499452,0.4621410628620949,0.8181283602963952,0.6058292343494653,0.771285633022096,0.6077014230568533,0.721371793323343,0.8136747327354588,0.7528689194561093,0.6140999718981245,0.6202398313299614,0.22644512352182344,0.8263951245310911,0.15431815084874,0.5546162872052355,0.42297845545383594,0.33899806728639825,0.5406941247269,0.20395324805514917,0.5607658850968493,0.40109797095119837,0.4700180443185884,0.3616204876407245,0.31115944768327486,0.5728885966544159,0.512935861471451,0.23185290264137326,0.5445617878386152,0.23357544952058334,0.39483460165987294,0.3505581317493477,0.4603114923840327,0.5918195461128222,0.6519841188717678,0.2845584613890072,0.40693575549194916,0.44862221887550713,0.44653802177673385,0.41503221129819856,0.4296267507835767,0.7274223123752639,0.31745562344061073,0.26032128083027284,0.2619639999855239,0.13499733658281354,0.6204887293938239,0.7504309958725299,0.6971291071721362,0.5468465991095064,0.6109218908087953,0.579243202357199,0.5260985785960379,0.5573445570101119,0.1854723637222483,0.2821673870144991,0.6264328824215225,0.287450853750778,0.30105576748583185,0.3387292892401397,0.47034403506720834,0.3621532420774696,0.9156947579511678,0.6904009445765984,0.6682633725139561,0.44954514041276084,0.5833521862968709,0.6271324031520495,0.4818659258089827,0.569206692470472,0.3444302448859956,0.4647766767400886,0.3448323803351807,0.834145692347392,0.6855110451247839,0.6745077298787874,0.5583803263479749,0.5690730758213901,0.5988746423230416,0.6254341841729886,0.24245284076804186,0.6812737302299348,0.23104660466560933,0.623640352898607,0.1190670138668119,0.5083362338324025,0.6454408175121357,0.5103203299950521,0.5692293322794193,0.5963048117463233,0.4659927908700884
nh0003,0.716682621613785,0.6423903877377166,0.9921508326280062,0.32944359407584445,0.2709920629095737,0.2651757857050989,0.5026135452540363,0.4895004546467141,0.637541150138554,0.294034865624212,0.16731335771217964,0.22330507278103062,0.8108849493849759,0.7261040593067993,0.5284263119854898,0.477209159168258,0.6003853584462331,0.46700413876254987,0.4336011111031138,0.6609108668069462,0.2520689826993916,0.4241644690737929,0.27531312275430386,0.23845122942048524,0.5699925732884354,0.5812229779522856,0.22454612975128532,0.7611425589780372,0.14898665423616872,0.6874337401689093,0.9792850834879974,0.3621879092445206,0.34504036304098595,0.5482503255934597,0.8177431225430922,0.4408542951800525,0.6125145055787399,0.40068861747080975,0.2873938547215112,0.45775401360082957,0.20160566427924542,0.5264195900284729,0.3933138731586068,0.6196165958020191,0.2899351972886368,0.5595510955604398,0.3455898327443603,0.5593317043853276,0.4516538230422438,0.7640291484358634,0.7265224140090567,0.58541013254483,0.18232072135380384,0.39627117532185374,0.2805214516904734,0.2564705742657356,0.6253901834123123,0.6528832615678475,0.40372130844194143,0.7199095314880272,0.5712319660158032,0.4644531821941017,0.2814534946882399,0.3529135699194076,0.27541681352757247,0.3714183428185446,0.25213771780433053,0.21351321033848425,0.20107480467061856,0.7654654298102201,0.3797950964762429,0.5307737788259645,0.5215414501314906,0.3735687023894648,0.3343270233126865,0.34767395353813524,0.6532908981021803,0.47076318152879837,0.4005958510822866,0.5471378446613094,0.47491366057256157,0.2116629031017343,0.6506187603977878,0.61505499490579,0.4089405559125763,0.6781091472191928,0.49870112217349283,0.2809804330520782,0.5568103900656513,0.1352276094706556,0.3926836232677898,0.3765724345006384,0.5815994188546949,0.2215360224065967,0.5710916149598932,0.37879435882188994,0.36363220797351414,0.6813354882373855,0.507055102002952,0.6210034701655838
nh0004,0.5880526098713724,0.5338957184594049,0.5855655437849303,0.5123799038415835,0.1702194766612426,0.5066255183187576,0.7527436578852944,0.3744602874251103,0.47740655737870374,0.12926861303714032,0.20800054919113864,0.8732300060761021,0.1525606367608899,0.1588224053368959,0.35604284327757163,0.3487065166940949,0.25127834048887554,0.530505098719172,0.46880384735305763,0.3931058066697569,0.657461786892208,0.3069771278561959,0.49689655203076877,0.2208586222733,0.25565645731451603,0.6376884296531854,0.4660733283614742,0.5248077178373743,0.2813887829360803,0.36932770542634996,0.32539121824733486,0.23047124288935494,0.4731866364753836,0.421606614607839,0.09952819114818601,0.15119412731306037,0.19814692571501913,0.3086531176835742,0.3019510340831716,0.6966664631877586,0.5551355957316716,0.5957877005188904,0.424167826507706,0.6339908727606566,0.3888787013558276,0.5182376926082238,0.5565210605504849,0.4399988187096575,0.38174414989273453,0.3134604358652946,0.34502465207552757,0.5436021030974103,0.3549472692058733,0.09246665653489106,0.521939135661197,0.5332792695754311,0.6394568443057922,0.4805819070801615,0.19364604587826162,0.8410785410536722,0.7484256169558929,0.3816443594618284,0.38467451463819136,0.003089932647785898,0.3126004604697103,0.5447292912911569,0.7043067056501509,0.5868627151325456,0.28684788487849255,0.09356511349834484,0.3555861897723961,0.3984188520611618,0.47017614882988146,0.49158512263151966,0.43171987964263003,0.585065780267988,0.37654431496293195,0.5053203438959014,0.32857144433190527,0.6783866533761914,0.5844742800962918,0.7071667067363059,0.6415687599428956,0.41649309088317343,0.4065765450237484,0.32151384318442144,0.22440043849510982,0.6542911901965509,0.5154493911070076,0.40721050612947873,0.7555512993295368,0.4284249582117753,0.5426819636289788,0.13597594322563988,0.5839389774389834,0.47130553980498735,0.395177424420045,0.37967465114575505,0.2672512137185614,0.22477617034879027
nh0005,0.8050043801969203,0.36161565570323173,0.5411721248905748,0.405751016098582,0.14966676844595161,0.3620114571481652,0.5425741123046568,0.48669258579056063,0.6759335019549109,0.18278287786243275,0.2473945233487032,0.4321850597143656,0.4682162449731171,0.4509387885673638,0.4667462868893454,0.5225488980955723,0.7161780377228861,0.8508032132581671,0.562684886261249,0.5705207623179306,0.7269602729824035,0.4051703395210169,0.28055951567627246,0.3945833946013557,0.43859260812871936,0.6489092345866055,0.22106751492116916,0.7385709790819218,0.12297143803109936,0.6418105928674762,0.22905710180643246,0.41861243104321444,0.4522713760089623,0.5541345376417381,0.46162392521464635,0.48723520581415647,0.3749039742328716,0.4695283271438754,0.27691172793410473,0.5335629136435864,0.37568389982620376,0.2951142950869933,0.5456468017991694,0.6442126418533692,0.35578767658044597,0.4279446589004908,0.5290482682049689,0.3300336786310907,0.4758291917522415,0.6576946672652855,0.5007980527814153,0.5627409635256624,0.29303641865780516,0.27917182672802343,0.3725930459973069,0.49236982322923195,0.4387263947403599,0.5350572492475494,0.2854702816988205,0.5013420363017483,0.6908006426781157,0.5169148960061538,0.4475834557204341,0.14475703488622005,0.3264673329796503,0.49659040316786196,0.3589048846561667,0.39917291439902014,0.23932048199592992,0.5355413807148766,0.2552789544993579,0.5134221478461991,0.4077434870690404,0.29814255830811864,0.6192223157804084,0.3882378666074775,0.5343672213845552,0.27011697260419354,0.42944673463960475,0.42886087927009287,0.7312591041058684,0.43160761302593786,0.6789133753404082,0.5062847166149715,0.7212088965140022,0.5712961552047565,0.42458841578537265,0.8872195219125729,0.4895847552237237,0.31677393172052526,0.5923799554730855,0.4140531575741092,0.470749890855765,0.30973340080909856,0.42392879477557255,0.36839293315425914,0.3568387112496021,0.5674874014957548,0.5480494788697509,0.4571167441353178
nh0006,0.7756189022789323,0.4659161788462649,0.6840906545075969,0.48221921589733086,0.3249030056689037,0.2905538769278293,0.6262885680270589,0.6999435300775543,0.6700485776174099,0.0932377481129405,0.5086279838242433,0.20503731415268267,0.34257448764823173,0.3095128443980396,0.65267923914236,0.5238072787159721,0.7510671070067789,0.4879569518487672,0.5274517004565344,0.7344810682699715,0.41409163188378295,0.5721160485866605,0.34262197635583314,0.47201630867075084,0.5823090907449536,0.46442414024500767,0.3777620119995468,0.6016643939957299,0.25937238540377294,0.7162343656645533,0.35806607771947174,0.5471648549653558,0.4148840775972731,0.3323634576156851,0.42470246353838315,0.5691936450646053,0.3576743337489815,0.28293664921314954,0.2883603346834532,0.5574761322614021,0.23999138082317295,0.2772806637753683,0.6030539213125066,0.5974223004125309,0.21307232234606155,0.41638186499611785,0.4842461574624126,0.568982111553036,0.38933767706514555,0.7640214777307368,0.698039355047297,0.6535847622812112,0.20693924827699384,0.6234536755117601,0.31951463932874413,0.6049952475996148,0.5185088709428709,0.7048119358925709,0.4848658895982818,0.6818631009721082,0.6499780916118412,0.5453431623158964,0.44638170781492414,0.07924866328759739,0.22624933804797337,0.2953520934012389,0.17184684286884688,0.3853699052053168,0.19439823677038404,0.6561401776947338,0.16482827070088873,0.6819628992946831,0.5893709498182527,0.3743613918175762,0.6226323866680772,0.3444186997649794,0.634205108996063,0.41926076039746374,0.33992537044662546,0.4488177242746886,0.5270830233911722,0.1596434499535595,0.6780497943862229,0.711725237958651,0.4195156367135233,0.6784993203393325,0.4150497559556233,0.35114125713659483,0.6691559911601684,0.3331255023289804,0.22396838958348397,0.5743706012598643,0.5387562308637586,0.47682028336685994,0.5995508853081075,0.45714164226882004,0.2899027389064359,0.6952214437463654,0.555754054541466,0.5268924715725549
nh0007,0.6742177800029238,0.5347508870871609,0.509366186667827,0.3615155514260602,0.3450502336998195,0.18682723249033928,0.4901876641341145,0.5940134040982892,0.7832351796091951,0.1720940901195651,0.3277248034464965,0.4284054797314929,0.1489586706627882,0.07928336232442013,0.6397214164441015,0.3014917915689316,0.6410223716619003,0.6803297196062439,0.4059426334475486,0.7598847488898847,0.3321784364749527,0.5098311830143176,0.3662437605856641,0.3703652129253725,0.3406432862268284,0.5645413489203147,0.30127103179942605,0.5846578858736381,0.17241758059469073,0.6571569156343801,0.39096081025224705,0.3321862529748707,0.39808314214757745,0.41550669161208664,0.1526023212805413,0.3632015457943729,0.331530058420448,0.46622581592395884,0.30401773888503414,0.7594936242540276,0.4319588032100117,0.6261360520419252,0.4411483930021314,0.5306016520481748,0.2887231875268471,0.3641644884364662,0.4153344943886832,0.43426802486045535,0.5776777301996601,0.609765919428719,0.48262203051681785,0.41208975974050865,0.36384253112659515,0.495868365224577,0.1949411698671143,0.6507793083680764,0.39718713686572493,0.5761846106518602,0.38434017480049076,0.8745621947090644,0.6229771815332636,0.4333286677342695,0.7468567365065697,0.14751548410707815,0.3439653051736569,0.30626563297689824,0.3722587921009504,0.36267699252596386,0.310187663222236,0.38787418472473456,0.3336351138342828,0.6355942741548664,0.48761370101785584,0.2655242815790432,0.5244511506269396,0.34984644552778366,0.6718979459681962,0.4585611067682779,0.38789900965918506,0.5467752147058326,0.5742253476679523,0.46403725153625786,0.7093701116859183,0.6289011577884991,0.6057479704840556,0.7493680219011113,0.3986810087686735,0.46691856831990153,0.6416459006032488,0.31551100938761156,0.6067423062567916,0.5725122719703638,0.4353733536105837,0.3717967376627586,0.5099782438666007,0.4405474203021388,0.21994979836570705,0.7253004528349399,0.39291917470102955,0.5064827648919745
nh0008,0.5009211169884916,0.8028874099515808,0.30678987962156246,0.7624283645651144,0.14666889367848418,0.3491342533713957,0.47772645869433106,0.3582822291412703,0.43396951992885746,0.4893756390257791,0.4593534890263726,0.5024932863663977,0.16751757863649344,0.07983517868698647,0.43590391470391343,0.6026284864692258,0.39232991128178285,0.50631477619391,0.31763671643195507,0.4737828345141284,0.46544101260925375,0.4411035833639314,0.3877419084493956,0.45068526361471095,0.5508217128422753,0.1769247236235273,0.4479739455353332,0.48580132013023064,0.2868586781696624,0.6004816807158005,0.6186102847594401,0.8846159192906995,0.33163999515575626,0.6908964741040711,0.34721010356830684,0.5425870818187837,0.5700134492944703,0.44978779321884366,0.38879567555531436,0.24369403241413945,0.4615883775357137,0.38226993504556184,0.33875298951985,0.48648810116201335,0.4969027077056293,0.034555734193536414,0.676326576845315,0.4311447422167025,0.3573508503956899,0.277292736030891,0.409180521748421,0.5338096731568636,0.7867042100488357,0.5067198362209662,0.3624719502733119,0.3972739864625243,0.4904416286301059,0.4854705162927038,0.2626344747378452,0.4688625752303658,0.4866962131026378,0.19250624976004027,0.4628121142010744,0.41725283634773846,0.5567944532328899,0.37533212024392926,0.4078096926962245,0.3801588399524385,0.3025476889955161,0.5972029817105655,0.37239071880080843,0.4309275306309077,0.3764724508245305,0.30205009722915743,0.3682157444093086,0.6187198907688527,0.48158335721098333,0.4756942122165392,0.33647247262123553,0.2423274665870595,0.4545691571096514,0.34646906550684453,0.6132806671221747,0.3007814881663482,0.4298746248312548,0.3907700326414246,0.21529819645536408,0.386543492028143,0.18868069530905607,0.5706367630798311,0.510301332215705,0.5914949105716104,0.2749958976367768,0.35861406705967663,0.27822243541756697,0.23603361207465567,0.3834258392623173,0.3792753657447572,0.4254197724502977,0.48414514692015576
nh0009,0.7291550472766192,0.5424611698014576,0.2566516779065331,0.2336717162108588,0.24384398157655568,0.40346938281560174,0.24995597168827466,0.31245643303617143,0.9999999999999999,0.03549322779278752,0.46017502468108257,0.5801299378672803,0.15460926955982393,0.13930393974356503,0.7094992954035043,0.3715350915395411,0.5823091574177073,0.8548602562192262,0.561354036403118,0.8389372670814127,0.5244608439773876,0.6393687285646625,0.5885956323385372,0.2810139014666524,0.370145471664293,0.2878209338637959,0.19383529346769096,0.29781145155858896,0.13974860697358993,0.6505445653859344,0.32120889729785995,0.4232217608745874,0.4455399558794053,0.299437642270471,0.46866904652644314,0.5980020697715196,0.47948524094175216,0.23457623041692743,0.35682078589906385,0.7891677629379046,0.5348683315530031,0.5357854098997734,0.19560821741428913,0.9921155096408697,0.09787880709673691,0.1804294043931366,0.2796378942879576,0.16977694079228756,0.7481540381883929,0.5021961643368507,0.4489199268002926,0.48262676462148724,0.2793478281230233,0.5907640606723974,0.46193052467583684,0.13310260234996885,0.6029792536657552,0.9308040341571204,0.83352433222214,0.7332683662008713,0.38908919066369974,0.38360609828931413,0.5068449919050346,0.04779336571121895,0.17404811857707908,0.868961644204353,0.31106741364450413,0.30105019345736017,0.1490533028055716,0.3200027622821745,0.4011722768812038,0.8081170251997869,0.39120945989738454,0.7108208735048295,0.5940403668757941,0.4226444877264459,0.5416578080043641,0.7639274235789267,0.250527377472813,0.36711275068592697,0.6653494598148008,0.25287444296291584,0.8267156563998297,0.6764394975664969,0.7488041439063169,0.9542165379188828,0.7100015497383737,0.28154498346646273,0.5081473025654749,0.056122383558217526,0.15668286222681438,0.7019388026702847,0.5567266114147664,0.30809146297708595,0.4859442531911775,0.6551328485264979,0.2815173496948995,0.8740548810256531,0.38940208653153474,0.8671048977110443
nh0010,0.5043481052871434,0.4999423181587588,0.8881961164595262,0.4723438408233762,0.25043271501358483,0.39743420263923745,0.1608727162115582,0.4283558362572125,0.5362628903038001,0.07624166596611937,0.5815579280287964,0.37050148668302474,0.25185193035971876,0.3249019904364534,0.6033116502306849,0.4293404329500473,0.3348116808729529,0.5802925499794227,0.4089174318657291,0.5935181278751841,0.5033178394929289,0.5602212987690496,0.23224306745442647,0.2580178797175021,0.39261570692763526,0.4108869267442651,0.36299601020311106,0.1791545864979149,0.23209737896325766,0.5123184297014606,0.48714797755927,0.2888163806552668,0.2947924378001092,0.2270790375874563,0.3666888219655028,0.2971101286648523,0.24447647798033822,0.217482043716697,0.47627749261536534,0.6750141218458539,0.6108685138888942,0.45765777746105807,0.49549482004044054,0.5575949979557709,0.42497667189410027,0.7966001027702373,0.5654333241280163,0.5320369523211113,0.5333298204249945,0.6051384554278183,0.5551526308275765,0.5099789020435861,0.44076955643085225,0.31008103909631024,0.4655070379541927,0.0,0.5764486416776193,0.45654044839311675,0.25203184286423497,0.5021403629140994,0.6083687534447599,0.6371200121564426,0.48221865113263696,0.04048792028616821,0.33215636255896647,0.39514127221434026,0.34046343823132347,0.15806791530041497,0.2279980402377072,0.3502218592906263,0.34530874593015426,0.45019066672373964,0.6244363673349238,0.37784312761732164,0.3995614462571,0.48696842376979244,0.4707446590979636,0.5997286402863556,0.3128377562291608,0.6342065116398145,0.708986633542012,0.628701701646631,0.48554418330661475,0.15701837701636157,0.640123529233424,0.5775112669119103,0.15978921782240973,0.26780951865965696,0.54232493752576,0.5549317100632495,0.34945386995904704,0.5682789564682701,0.4968806289996017,0.23136790862996143,0.502505550452784,0.5561914920956313,0.7298979072482004,0.5423001130068327,0.41919832750317243,0.4517222109946637
