,que,ent,e e,e l,con,a e,nte,a d,s d,est,o d,los,ado,aba,a c,e s,a l,ndo,ien,e a,o e,era,e d,por,a s,las,a p,par,sta,a a,n e,res,and,des,a m,o s,tra,o a,ero,n l,nto,per,ant,com,men,una,ara,e p,s p,e c,s c,r l,o l,ada,s a,e h,o q,end,ido,pre,s e,dos,ida,o p,lla,hab,rec,ier,ión,esp,aci,e m,o c,cia,n s,dad,nci,nta,n d,enc,ten,a q,ció,n a,s q,bre,e t,ran,tan,r s,s s,ntr,l c,uer,s m,ell,ste,a v,qui,s l
nh0001,0.7974931132898218,0.0,0.7633534890458394,0.604021251403461,0.24112760358140894,0.4481265400333283,0.38837519955234967,0.4526206072235812,0.3312043233971169,0.4070468179948983,0.6367752795586374,0.406191699474313,0.3921433002197199,0.3168731657981805,0.3347614834247039,0.537639916631079,0.41622046633029997,0.37330927286023047,0.3479034995193526,0.48185140011678773,0.6313189988272834,0.19106462888962872,0.7901625508660626,0.9373374819360618,0.16347500224557665,0.32298015769949534,0.5108738851182205,0.48210456340389496,0.4963693278696626,0.4643231836907896,0.3518211856022688,0.14899203967612373,0.4449846781783446,0.20927308979237524,0.290505934450204,0.6196641634210986,0.455889439262424,0.6184876840714209,0.7042642028584677,0.37917191276733697,0.12086294110265172,0.24827710427261507,0.4522457706297526,0.1722466108788071,0.11101498187278708,0.18276102013818846,0.5475712361136222,0.703957823273613,0.3025393453763954,0.3791995784432971,0.3409754785831386,0.339013912345014,0.5489835810994457,0.2197785830994603,0.4123258544450874,0.660540396967368,0.6383030375699064,0.2818115533445185,0.36440691032477857,0.14029170485327208,0.3724677352434035,0.5045908563423063,0.0,0.48697258007945143,0.42523660477675684,0.3715468025156663,0.4635502381540959,0.670890465560889,0.1670891757256866,0.18306815750807465,0.12488970212864625,0.3042806808530693,0.5912782966449435,0.12116598786767929,0.25375161988281253,0.13472976630569033,0.20476532443976853,0.31859494434415647,0.4447181893240162,0.11222910206638192,0.3351094565849275,0.6711348676992915,0.2183232668946959,0.4039139546086825,0.5638530791435412,0.49018617657739894,0.5582081796668276,0.14558973228878413,0.48759565400900756,0.3578634354159033,0.23795178813597173,0.4693033877602957,0.39433345874831294,0.6415264434392767,0.2934921173031672,0.13612067784866966,0.28630471391688717,0.27025385146494224,0.42591387031521866,0.2607033487972633
nh0002,0.5673465299480782,0.6959421564080419,0.2927675597257101,0.21392418873046182,0.40334394613047064,0.2255124322892006,0.6678734374744966,0.3766997961373437,0.24834440739223673,0.5201563767677786,0.4644145802361954,0.26597703991799904,0.34365852439227074,0.22380530119523448,0.349154959350795,0.23635777239002187,0.27153095422147855,0.35546987896776566,0.5320099604221407,0.3966724712387866,0.5508943327276019,0.521866896670063,0.6979095264714168,0.623253953214973,0.20887343188786311,0.2448651597082489,0.5140972247403218,0.7553627718373961,0.6210140154203916,0.5711842878253097,0.20422386984750274,0.5839393535049675,0.4302575770558786,0.4445209673393268,0.5557986674022526,0.43987716718658487,0.4657229907272502,0.44041029270696086,0.5692303858531514,0.2892151950109245,0.6386674294147587,0.5976405210658213,0.5199213209531032,0.876758479100169,0.7545320677567637,0.502420930315139,0.7837727847370537,0.7975637511589282,0.4514233725588801,0.45583686976834037,0.4180828869861518,0.3239327314002316,0.2616868324891689,0.3072694952509373,0.5739584438641374,0.564562585901516,0.5152285289833376,0.33226398148576014,0.3217988524943932,0.5952920835771645,0.37158761505371196,0.347809633454571,0.46592489549826877,0.5671576179373802,0.22411151026269738,0.3038547333965166,0.44586840893689494,0.7563283800803259,0.5330899881795172,0.2010710354321435,0.45325195433176135,0.6358450882005617,0.434312590167677,0.9427126302801593,0.2535586314814508,0.684943080508398,0.8673251295941777,0.502974258818536,0.5314060796729119,0.394727276391313,0.5633176402324732,0.4176084777844855,0.6189663369253899,0.3475110398254708,0.4050402363614996,0.2202501318187069,0.42329901821197014,0.5792531404174502,0.5514122121819607,0.2957863164449909,0.18755894793129602,0.3234128159049722,0.10736133520417912,0.3635687349931517,0.5282305726430874,0.19896973810074253,0.18704931284105233,0.3503855100985597,0.6991167877545857,0.25195570572342174
nh0003,0.6968341099163362,0.5743306284993968,0.5553327985603508,0.1575335976469997,0.5835666148975935,0.23227165243747838,0.4946887197079932,0.29203802667882384,0.15368169627469097,0.46205778307159784,0.24963904049421926,0.2366335783946253,0.4101322705132484,0.28023037846568355,0.9999999999999998,0.3842793423702533,0.4887562907376335,0.3766678297952984,0.252193434963524,0.7404491921420218,0.5864575841193975,0.37788004965444844,0.7152328218543522,0.3646071729730478,0.6316296233485512,0.24138189890238676,0.4290602395694062,0.5784725628652767,0.5820236194435111,0.6939961952857584,0.1392237576173696,0.26629903044234693,0.4986994111119078,0.5715140967249884,0.8125267276356669,0.4301393122171715,0.3156120498888024,0.33058599366884955,0.6742665290615676,0.16999008455864173,0.3405093465489981,0.533411333861139,0.33584468135100687,0.399890286442558,0.42136084353085995,0.6080697022623702,0.49932432227430246,0.7182146577806896,0.26240936071682275,0.456260854503306,0.3763382715180996,0.16091282643569205,0.17344448823915226,0.3115996406799302,0.5063919390645109,0.8135676463156434,0.458572541234094,0.24060872060133437,0.3390256901394094,0.3455740011422462,0.14709026243640644,0.24499693027494268,0.1331002082734728,0.48327198105074853,0.5833351680043459,0.4857658791781767,0.5297693142147679,0.3629270408532279,0.19368812926335777,0.3388995853187741,0.2320854375103939,0.7470319910427758,0.6228129905464919,0.2564836290075204,0.19797832130163667,0.5855396115554665,0.276037268774006,0.21964440442221234,0.15029973190031454,0.32207957638927254,0.5002489145304374,0.7199142866456077,0.32111933280397564,0.4523862484347789,0.6102250532741682,0.07975054731098219,0.5668319558731841,0.4047958725419921,0.22543823524966616,0.31280055815137603,0.22398621312111144,0.37629795518379283,0.42401106744402983,0.20083861677573978,0.419257042186638,0.5554507742406849,0.32238121466057457,0.47646507288425527,0.3361272348800928,0.19980164242418663
nh0004,0.373181674273634,0.6668803740732476,0.5630605476033005,0.3510876962878876,0.6137630056277326,0.4240836690337628,0.49410261357541874,0.23893412742356435,0.46635303086618096,0.41891064674341627,0.5586232996278466,0.6805366614666853,0.7144957283988036,0.3169135465822036,0.3474963864455851,0.11129386403607322,0.4390183727727499,0.3829141857707639,0.4269977422754523,0.3324670793935982,0.3588947862983034,0.19495844722903388,0.33070090462338464,0.4164959276050171,0.22922307115216345,0.3060408406710354,0.182895198746451,0.6473631549261043,0.6043343530051037,0.4023712883337449,0.5393489328519327,0.7222032268551732,0.6093208693919678,0.5062140600153274,0.10571965874502953,0.4853472902023097,0.4097614584844571,0.48430828946616455,0.8466347689624657,0.2825562744301632,0.5205945324069909,0.3883538224493246,0.41390987722079,0.47422121387152893,0.6294522417796329,0.1879150681429566,0.6665035131347841,0.4005037716331852,0.45025656990493745,0.23354484797490183,0.5996835684798353,0.4707358223104301,0.3767983383377307,0.1924487010131014,0.7691693805253887,0.4654467811297875,0.34166602675170815,0.34634433464753994,0.3939693992764225,0.47702451226293846,0.9137670820659819,0.4136202029003561,0.2825118418946537,0.584429509874873,0.2200496945360837,0.24537099872875578,0.49293726898819923,0.5807852554207763,0.389752208033803,0.5944917083723693,0.4174686166342243,0.10770769232731153,0.638396535249913,0.7306133255400925,0.28684659726312484,0.4606575001441857,0.7323858741007159,0.32681351581844575,0.6122948260949126,0.6263441473045036,0.5239298059730647,0.19973706005688663,0.46437697882484386,0.7350780275547097,0.36866820139007833,0.22667701994968126,0.2917460741323281,0.6263280754818185,0.5393439238176236,0.4306395068878807,0.33599648523059544,0.6416368635625058,0.19070860718094573,0.6560857475762767,0.5636300771110725,0.1086166937984141,0.07107377831770556,0.17593675901143618,0.4355845136958876,0.33914660812346065
nh0005,0.6259449074399726,0.42901233993667276,0.5702918990633895,0.2785692183038172,0.48299941487659215,0.3790659865191177,0.40890008942071243,0.3821055082756373,0.3587206782981356,0.5466078324325163,0.34072021505558947,0.3503732801341891,0.5275114547521635,0.2859556027433109,0.21960685285032855,0.2911836122451521,0.5370560368278854,0.2646327560943476,0.47278016894980324,0.6989259200064022,0.49589960544998735,0.28201252813563993,0.5022414041138024,0.7220850471859479,0.39942059285168896,0.308918411435873,0.5249664564582476,0.661236797613076,0.5050684411152109,0.6773111551640265,0.35110209645063195,0.9428365837055903,0.2894967173101672,0.36393473942468624,0.48425555629654826,0.22924474052260002,0.3485087427552207,0.6686487233649265,0.5038710107576708,0.22743430185417135,0.29640774944124426,0.4635708682019317,0.517574236848713,0.5841393541812687,0.30327841107883197,0.4794013517133698,0.31888184633835204,0.7739715963890295,0.7386342588970578,0.340586170585204,0.4460305041654874,0.2715435730571425,0.30736918539550406,0.23731285423413384,0.7293717358876906,0.7646527346179202,0.519407842539793,0.2926918757354862,0.6508144572128812,0.5229726611408465,0.21844196691435502,0.3400991536123667,0.24927222576450703,0.6655836727615415,0.3427176327807119,0.5546424893321764,0.7328178918708044,0.2343769327055899,0.3887590070300376,0.2315752624048399,0.3500423916044405,0.5124394736701492,0.6598748976886504,0.36794561790593616,0.4155244530325924,0.6288709900505056,0.5539022730447101,0.6359296128583847,0.2945273433471993,0.2922760715060069,0.42849051928294124,0.2143450448567814,0.46218061744655525,0.5917450858029452,0.5000551539495077,0.37760065329282044,0.35562940276358634,0.46895399327777476,0.42971396340911255,0.434275713386917,0.3147752761110256,0.2339445276168255,0.5783701681041559,0.47760659327721977,0.7193072774448062,0.3131606567878554,0.18252790896992124,0.3293152528494349,0.2343160375478991,0.3187425276521362
nh0006,0.7130045398676421,0.4821431842992192,0.6119687633406551,0.17841082253054552,0.4380129248938174,0.2878559452943763,0.5811312815099645,0.4644644030248548,0.35557788263187007,0.5553340598186796,0.26273993099947135,0.17003701639879631,0.5235989302032606,0.2801564665483318,0.31116933457901275,0.6131260497324482,0.2960213760635204,0.1572086242640361,0.44074894417598043,0.7318596449263493,0.5743626556114456,0.47398211086810527,0.692803289857759,0.38864810858742604,0.3680430162229922,0.2041156937069965,0.5771886169408907,0.6256540206171399,0.5520574508332141,0.7333305944642724,0.29891564306252105,0.35296048868993757,0.2592206662124193,0.599067693436056,0.4212507078358605,0.38565210227023927,0.25101695030978943,0.6189270082201548,0.6523728277091562,0.16885672974731714,0.3543732917991056,0.6448547848164234,0.5493069025087934,0.620179014563363,0.3973166324321881,0.6416470584848744,0.4410203051837922,0.541931290071201,0.16183489642180016,0.3965994504158199,0.16871807406197326,0.22827163159818586,0.27764182939357207,0.23877216169397264,0.21318343131160344,0.7638016805635146,0.5015946260408028,0.2023839272619225,0.4270758157889142,0.42751917542017465,0.31626474570343655,0.2032118721960819,0.20394905172803035,0.5020369371552297,0.3100308199700724,0.4713792561846287,0.69193040390668,0.2396878481750223,0.3570288834357381,0.328307303763314,0.3500983515962054,0.4177004539227899,0.6251212960481023,0.4987409050083855,0.36158252674815544,0.503633319672496,0.2674302336011381,0.15093113360113564,0.5615250144426687,0.34649240477697674,0.6411451638525972,0.6743392109849667,0.39203200713820285,0.47309315982837363,0.5149336236737712,0.2080861761569026,0.40931708402101397,0.26024784490377584,0.39339366954697536,0.5251256953114627,0.22459147403853708,0.24140786332172126,0.5948095316038587,0.5176394889756296,0.3525292537490196,0.34455861670318916,0.8717249968124469,0.17577262117991327,0.15520454397918682,0.2790664605188884
nh0007,0.7677783570223224,0.33625037803019464,0.383984501754964,0.30094010490313605,0.35743232779808154,0.26785732229502845,0.45622733737928156,0.26357134450691233,0.323243975335638,0.428699544170582,0.2482455843377045,0.34227694666713093,0.7020089117560824,0.2840115920778037,0.34744755350261736,0.47782628936822547,0.3640724548531087,0.32691878225090437,0.7311992335483763,0.5645056550986414,0.5817372600625399,0.355731861393921,0.42357257782222324,0.5575327102935874,0.3260684439308581,0.3013623094169379,0.35775141285971623,0.6336794820929728,0.42350877841193846,0.6581246409535503,0.2612227453562892,0.4526101756495129,0.5952573296120955,0.43379375237406304,0.12398079186053323,0.41042262847106903,0.160579518954167,0.5144130896397534,0.8142433579558529,0.26229195950982,0.22686180287349167,0.5442534886078929,0.3790402007925936,0.649654809970523,0.40510173089290663,0.3621943599694259,0.44706109206885913,0.48786148778938254,0.4620340653719539,0.36343889077480207,0.32376273038175774,0.2732442104532691,0.3540104515125089,0.3764589519159566,0.5406159026649551,0.7627318938408165,0.4879347327469759,0.46333433841065647,0.8460777444163537,0.5172143040541806,0.38855710887580186,0.8639172555337595,0.39040427783364484,0.37770820806450744,0.4531218706144817,0.6725067788587451,0.4250265622047167,0.5808182398858474,0.23713851606616143,0.36561927855698867,0.24920975033416481,0.19038278428406613,0.48176201742652713,0.28097249819171977,0.34244614585191463,0.6006818201213167,0.23617366332484485,0.2533584881251978,0.32174046674376955,0.1276212423783446,0.5277870467677821,0.6145543928580502,0.25282494624849805,0.8077090100222761,0.6230454852945699,0.3724622420873961,0.44322240420511416,0.36742124931356346,0.35372641631560603,0.4479165493673725,0.23006729555083805,0.1255224890909893,0.13767067204970485,0.4781559676769146,0.2826557664643093,0.4837607141530336,0.52003328748929,0.33139918614723046,0.4297001511037415,0.15961240863927317
nh0008,0.45939147230395094,0.5219410635184394,0.5702533307495398,0.7219800144332099,0.048381249006935745,0.3006466802678358,0.40114426284704185,0.8598165226106418,0.6445567149018594,0.2265787988060768,0.6110715028508011,0.41096211794227033,0.26204886988980425,0.414632087887576,0.704211580893982,0.5369733874844689,0.6885904112814236,0.4083267194271379,0.527238577801094,0.3175130372905046,0.4762533962666373,0.2779967274077759,0.4302144413330238,0.4527309992096602,0.6573911541458588,0.5440107501062823,0.6338701250959747,0.634306054807892,0.3172984965377714,0.6444345515210975,0.36855956750134133,0.45076452240585274,0.3957009095460304,0.5098790578778648,0.38188673980351406,0.4972601340435343,0.40975231781366306,0.4130780189062888,0.4969316891205252,0.3051591147673145,0.32706235285498475,0.2787826359978762,0.33873278903234716,0.7301785779351886,0.426916287748422,0.6646328057813811,0.4773783569664227,0.5144031989235966,0.5049134176350036,0.27525864036677916,0.43555523268829477,0.32470391820998956,0.5015760986575752,0.45230877769163835,0.6450361998237384,0.4145180877590861,0.351262293619853,0.3815868896061582,0.2646692886739539,0.3750814264233811,0.556918863502689,0.43048217461115107,0.37946967561538003,0.3908778585193685,0.4596166524794898,0.4037085520166228,0.3724481901829346,0.4218204541343217,0.23711559569614626,0.30867441969859305,0.21654623186283917,0.07415830253283401,0.15763764348980014,0.3148700185909965,0.2944314551481127,0.2749817444632622,0.3716875632220758,0.6335426613828998,0.44797581029800204,0.403171517229879,0.33495214157409536,0.4529497259842934,0.2688680045673487,0.6382027294655814,0.4492451325035575,0.5010062793147257,0.281907461735749,0.3118172060176606,0.25893729883670163,0.3276384530854746,0.47343344623512107,0.5867526957223921,0.2894573060019465,0.4132897259449094,0.3540631045734108,0.5162240508882219,0.051093224084903244,0.318463662561512,0.4423650978392979,0.2840325428766882
nh0009,0.9154886073696746,0.4833122756303627,0.39410293035959787,0.17493839045099502,0.09781588828462029,0.22206359312938662,0.3122935867738028,0.26804890114800184,0.04028681469783635,0.34467210371725054,0.24968443566036602,0.2664546947749048,0.6680773876003183,0.32711444048945915,0.2002659795974373,0.48450166387869964,0.1929211043910719,0.3690185167325261,0.4207649115581329,0.4091029346049402,0.4048092465558928,0.7657379303551981,0.3253527785456578,0.6408989074458618,0.41095664556022493,0.1275916296816076,0.542077906363733,0.6784568472162968,0.49818889650625775,0.6134751484787344,0.14802987542928991,0.2149542240331752,0.4729489110680894,0.10714836170558739,0.4086473860613975,0.6641707880258991,0.1793105470348042,0.5210985057304747,0.6368561564765768,0.09392809924097267,0.6271923040963103,0.5381655580507754,0.11316291794901967,0.32145083023325927,0.7087124473024167,0.32426698819647953,0.847168018619459,0.48846722459237246,0.26105328201929434,0.11588317046360186,0.18986861330472327,0.5975961433623245,0.4183764110436998,0.1727819868210304,0.11033239455114097,0.9131516941607438,0.7726444961487628,0.41046286029931583,0.6193714895295691,0.3856023042826508,0.14371832175167543,0.4875351568635445,0.36442504883663707,0.7851253436685258,0.40200030637635986,0.817252787765654,0.1438320796805861,0.6791649610056133,0.33049372817722095,0.1992704376658449,0.18652230423654415,0.21846762535043113,0.3360889308325572,0.42858491350145145,0.21708162411932036,0.7478575211525358,0.29610302293150254,0.10690707084483175,0.4286619723303571,0.14175576079796015,0.814532337305013,0.8141101386738153,0.31097354743264516,0.5428938913397017,0.6200312624010129,0.12183402618699957,0.44869702494035824,0.3495009259831482,0.07651166289485073,0.623503449720122,0.2501414071161031,0.2412731404034122,0.4800978889772676,0.6934175691698252,0.3259299212380345,0.4985522695005958,0.17717175856945452,0.25066155578403077,0.3898633095728774,0.13591834395669655
nh0010,0.5931358876246693,0.5250905490370734,0.48583159785360797,0.36545199694148656,0.8553797257087696,0.18022668491606186,0.6045106281825128,0.22421415066428096,0.5543926082065489,0.6368277958043627,0.3841679872392709,0.3156829330000416,0.6238280817789854,0.47153275650660376,0.4597380242774671,0.29538651332255905,0.19312520850532233,0.3410447463610375,0.46164335744319307,0.5800603624139575,0.40180128542867743,0.2211822612536457,0.5172384558497634,0.5956993939417803,0.23761680061832968,0.29278302419084207,0.28770854284945846,0.4137713408665957,0.49271672164747393,0.5217246868046941,0.0885750816514439,0.2537624067245703,0.4312621450601665,0.5431378999448714,0.35111188735406573,0.5711050335074541,0.7057481832912806,0.3940876527474464,0.4737915409893617,0.19363135545574717,0.3457286098083596,0.0812464031596617,0.4338554003778622,0.326962493875689,0.4988873941305986,0.3428237629055953,0.21408446798659664,0.5857840560670677,0.5139133690358977,0.45037220710478953,0.4337445194376408,0.24206695309493576,0.38485180146976683,0.38228940795224553,0.630961717481145,0.5549870719615879,0.46473629288458435,0.3376908826815164,0.511414169676576,0.28066823991483664,0.559133273979496,0.8718854416413864,0.09805559294230604,0.4335740774428999,0.48932405903526544,0.4454122670603968,0.27403790796061633,0.40848778937478725,0.21457738728385273,0.32867501915194913,0.2119799379190519,0.27994915663791026,0.5928684067423298,0.2612934560377488,0.28307779361817503,0.27162030896973544,0.32175269989593963,0.3792267323306946,0.42002104097346504,0.2766118376258646,0.5874582916114949,0.4622849997355504,0.2629041373827039,0.35254036468886296,0.5222693271195298,0.40561134279957867,0.5503299146681656,0.3588858307297389,0.6435586324206519,0.3278746044068071,0.3766096239710871,0.3951932533133242,0.797676213155366,0.29286366225533933,0.4272614933635919,0.4151161726203488,0.3395174596705631,0.26055930910571806,0.21006798307423713,0.430070469899821
