,a el día,a el fin,a el lado,a el mismo,a el que,a el ver,a la calle,a la casa,a la puerta,a los que,a su casa,a su lado,a y a,así es que,de el cielo,de el día,de el mundo,de el pueblo,de el que,de el y,de la calle,de la casa,de la ciudad,de la joven,de la noche,de la que,de la vida,de lo que,de los que,de que no,de que se,de todos los,de una manera,de y de,dirigiendo se a,el corazón de,el de la,el día siguiente,el fondo de,el lado de,el mismo tiempo,el nombre de,en aquel momento,en el fondo,en el mundo,en la calle,en la casa,en la mano,en la puerta,en que se,es lo que,la calle de,la casa de,la de el,la hora de,la idea de,la luz de,la mano de,la muerte de,la puerta de,la vida de,la voz de,lo mismo que,lo que es,lo que le,lo que me,lo que se,los ojos de,para que no,por lo que,por qué no,puerta de la,que a el,que en el,que iba a,que le había,que no me,que no se,que se había,que se le,se a el,se a la,se de el,se de la,se dirigió a,se en el,se en la,todo el mundo,todo lo que,una de las,una especie de,uno de los,y a el,y a la,y de el,y de la,y de los,y en el,y en la,y sin embargo
nh0001,0.15,0.375,0.125,0.25,0.3125,0.125,0.0,0.5833333333333333,0.5147058823529412,0.07589285714285715,0.22916666666666669,0.0,0.09895833333333334,0.0625,0.14285714285714285,0.46875,0.40441176470588236,1.0,0.6875,0.4375,0.20955882352941177,0.8125,0.0,0.0625,0.4375,0.38888888888888884,0.0,0.3125,0.3472222222222222,0.2859375,0.35638297872340424,0.4326923076923077,0.0,0.13068181818181818,0.06370192307692309,0.25961538461538464,0.0625,0.0,0.1875,0.0,0.25,0.21428571428571427,0.0625,0.14285714285714285,0.0625,0.0673076923076923,0.0,0.5625,0.29166666666666663,0.5,0.08928571428571429,0.0625,0.4375,0.34375,0.20833333333333334,0.09027777777777778,0.0625,0.4,0.9895833333333335,0.25,0.0,0.1875,0.25,0.25,0.10714285714285714,0.15625,0.0,0.25980392156862747,0.35416666666666663,0.125,0.25,0.28125,0.9375,0.6394230769230769,0.08620689655172414,0.0625,0.0,0.75,0.375,0.125,0.3125,0.0859375,0.98,0.08333333333333333,0.15760869565217392,0.3035714285714286,0.14473684210526316,0.125,0.1875,0.25,0.1985294117647059,0.5625,0.9999999999999999,0.63,0.3970588235294118,0.0625,0.1,0.3571428571428571,0.08680555555555555,0.0
nh0002,0.2634146341463414,0.4146341463414634,0.04878048780487805,0.24390243902439024,0.2195121951219512,0.3414634146341464,0.12195121951219512,0.03252032520325203,0.2295552367288379,0.3554006968641115,0.0894308943089431,0.16724738675958187,0.15447154471544716,0.024390243902439025,0.11149825783972125,0.1097560975609756,0.3156384505021521,0.5853658536585366,0.5121951219512195,0.17073170731707318,0.1908177905308465,0.14634146341463414,0.3170731707317073,0.024390243902439025,0.04878048780487805,0.34146341463414626,0.2682926829268293,0.8292682926829268,0.3523035230352304,0.44634146341463415,0.27815256875973016,0.5065666041275797,0.07317073170731707,0.12749445676274943,0.02485928705440901,0.02532833020637899,0.14634146341463414,0.36236933797909404,0.2682926829268293,0.0975609756097561,0.12195121951219512,0.16724738675958187,0.17073170731707318,0.2229965156794425,0.17073170731707318,0.28893058161350843,0.19512195121951217,0.4390243902439024,0.15176151761517614,0.24390243902439024,0.24390243902439027,0.04878048780487805,0.1951219512195122,0.43597560975609756,0.7317073170731707,0.17615176151761516,0.0,0.2731707317073171,0.2703252032520326,0.2195121951219512,0.16840882694541232,0.14634146341463417,0.3170731707317073,0.14634146341463414,0.33449477351916374,0.548780487804878,0.6829268292682927,0.02534672405547585,0.2764227642276422,0.07317073170731707,0.24390243902439024,0.14634146341463417,0.2195121951219512,0.2851782363977486,0.3027754415475189,0.07317073170731707,0.6487804878048781,0.3414634146341464,0.1951219512195122,0.2195121951219512,0.2926829268292683,0.06707317073170732,0.19121951219512195,0.06504065040650406,0.030752916224814426,0.1480836236933798,0.0564826700898588,1.0,0.1951219512195122,0.2682926829268293,0.7489239598278336,0.5121951219512195,0.6913525498891351,0.28097560975609753,0.2582496413199426,0.36585365853658536,0.15609756097560978,0.36236933797909404,0.47425474254742556,0.0823170731707317
nh0003,0.19999999999999998,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.5,0.0,1.0,0.0,0.0,0.1527777777777778,0.0,0.0,0.4166666666666667,0.09523809523809523,0.0,0.43137254901960786,1.0,0.3333333333333333,0.0,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.25,0.0,0.0,0.35638297872340424,0.11538461538461538,0.25,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.08333333333333333,0.0,0.09523809523809523,0.0,0.0,0.08333333333333333,0.17948717948717946,0.7777777777777778,0.0,0.0,0.25,0.0,0.0,0.9166666666666666,0.0,0.4166666666666667,0.0,0.0,0.0,0.13194444444444445,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.0,0.2121212121212121,0.08660130718954248,0.4722222222222222,0.08333333333333333,0.0,0.0,0.25,0.12179487179487178,0.3448275862068966,0.0,0.42222222222222217,0.25,0.25,0.16666666666666666,0.08333333333333333,0.11458333333333333,0.0,0.1111111111111111,0.10507246376811594,0.10119047619047619,0.09649122807017543,0.4166666666666667,0.25,0.0,0.08823529411764705,0.16666666666666666,0.38484848484848483,0.12,0.2647058823529412,0.25,0.13333333333333333,0.19047619047619047,0.0,0.0
nh0004,0.3272727272727272,0.3636363636363637,0.09090909090909093,0.18181818181818185,0.0,0.18181818181818185,0.0,0.0,0.10695187165775404,0.6623376623376623,0.0,0.0,0.14393939393939398,0.09090909090909093,0.1038961038961039,0.13636363636363638,0.23529411764705888,0.3636363636363637,0.18181818181818185,1.0,0.0,0.0,0.4545454545454545,0.09090909090909093,0.09090909090909093,0.1414141414141414,0.09090909090909093,0.18181818181818185,0.0,0.4159090909090909,0.25918762088974856,0.2517482517482518,0.0,0.6652892561983471,0.18531468531468537,0.18881118881118886,0.0,0.4155844155844156,0.18181818181818185,0.09090909090909093,0.0,0.1038961038961039,0.18181818181818185,0.0,0.0,0.0,0.12121212121212123,0.40909090909090906,0.0,0.2727272727272727,0.5194805194805195,0.0,0.0,0.375,0.3030303030303031,0.0,0.0,0.0,0.0,0.09090909090909093,0.12554112554112556,0.27272727272727276,0.18181818181818185,0.18181818181818185,0.15584415584415587,0.11363636363636366,0.0,0.0,0.17171717171717174,0.18181818181818185,0.0,0.0,0.18181818181818185,0.2657342657342658,0.2507836990595612,0.18181818181818185,0.0,0.3636363636363637,0.3636363636363637,0.2727272727272727,0.4545454545454545,0.75,0.35636363636363644,0.0,0.0,0.22077922077922085,0.0,0.2727272727272727,0.09090909090909093,0.18181818181818185,0.09625668449197863,0.5454545454545454,0.5206611570247933,0.26181818181818184,0.481283422459893,0.3636363636363637,0.14545454545454548,0.1038961038961039,0.0,0.10227272727272729
nh0005,0.1636363636363636,0.0,0.045454545454545456,0.0,0.13636363636363635,0.2272727272727273,0.0,0.12121212121212123,0.16042780748663102,0.0,0.0,0.0,0.0,0.2272727272727273,0.1038961038961039,0.20454545454545453,0.0,1.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.13636363636363635,0.045454545454545456,0.05050505050505051,0.13863636363636367,0.0,0.06293706293706294,0.13636363636363635,0.0,0.13898601398601398,0.0,0.0,0.1558441558441558,0.045454545454545456,0.045454545454545456,0.0,0.1038961038961039,0.045454545454545456,0.2077922077922078,0.09090909090909093,0.0,0.12121212121212123,0.0,0.21212121212121207,0.09090909090909093,0.06493506493506494,0.0,0.2727272727272727,0.12500000000000003,0.07575757575757576,0.06565656565656566,0.13636363636363635,0.14545454545454548,0.0,0.18181818181818185,0.06277056277056277,0.20454545454545453,0.09090909090909093,0.045454545454545456,0.0,0.11363636363636366,0.05785123966942149,0.04723707664884136,0.0,0.045454545454545456,0.0,0.06818181818181818,0.045454545454545456,0.0,0.18808777429467086,0.0,0.11515151515151517,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.1875,0.0,0.0,0.11462450592885377,0.11038961038961043,0.0,0.13636363636363635,0.2272727272727273,0.2272727272727273,0.09625668449197863,0.18181818181818185,0.42479338842975195,0.3927272727272727,0.2887700534759358,0.18181818181818185,0.21818181818181817,0.1558441558441558,0.18939393939393936,0.05113636363636364
nh0006,0.9176470588235293,0.17647058823529413,0.0,0.17647058823529413,0.4117647058823529,0.7058823529411765,0.05882352941176471,0.5490196078431372,0.34602076124567477,0.3571428571428572,0.2156862745098039,0.20168067226890757,0.37254901960784315,0.6470588235294118,0.3361344537815126,0.1764705882352941,0.3044982698961938,0.17647058823529413,0.29411764705882354,0.29411764705882354,0.0,0.2352941176470588,0.2352941176470588,0.29411764705882354,0.17647058823529413,0.36601307189542476,0.29411764705882354,0.7058823529411765,0.261437908496732,0.7176470588235294,0.4192740926157697,0.08144796380090498,0.8235294117647058,0.24598930481283418,0.2398190045248869,0.6108597285067874,0.17647058823529413,0.8067226890756303,0.17647058823529413,0.4117647058823529,0.17647058823529413,0.20168067226890757,0.0,0.134453781512605,0.17647058823529413,0.19004524886877827,0.0784313725490196,0.1764705882352941,0.36601307189542476,0.6470588235294118,0.3361344537815126,0.1176470588235294,0.4117647058823529,0.40441176470588236,0.196078431372549,0.42483660130718953,0.1176470588235294,0.09411764705882354,0.465686274509804,0.35294117647058826,0.4873949579831933,0.08823529411764706,0.35294117647058826,0.05882352941176471,0.2016806722689075,0.44117647058823534,0.1497326203208556,0.5501730103806229,0.33333333333333337,0.1176470588235294,0.29411764705882354,0.3529411764705882,0.29411764705882354,0.2579185520361991,0.9736308316430021,0.35294117647058826,0.2235294117647059,0.5294117647058824,0.35294117647058826,0.7647058823529411,0.35294117647058826,0.40441176470588236,0.23058823529411762,0.0784313725490196,0.5191815856777493,0.3571428571428572,0.13622291021671826,0.8823529411764706,0.4705882352941176,0.35294117647058826,0.3737024221453287,1.0,0.25561497326203203,0.16941176470588232,0.3737024221453287,0.5294117647058824,0.6588235294117647,0.40336134453781514,0.2450980392156863,0.0661764705882353
nh0007,0.048,0.32,0.2,0.12,0.44,0.44,0.08,0.21333333333333332,0.1411764705882353,0.1942857142857143,0.1466666666666667,0.18285714285714286,0.25333333333333335,0.84,0.0,0.24,0.05176470588235294,0.36,0.36,0.4,0.13411764705882354,0.48,0.0,0.32,0.12,0.062222222222222213,0.2,0.2,0.08888888888888889,0.12200000000000001,0.11404255319148936,0.22153846153846155,0.16,0.2927272727272727,0.24461538461538465,0.16615384615384618,0.08,0.09142857142857143,0.16,0.24,0.12,0.27428571428571424,0.16,0.13714285714285712,0.04,0.2153846153846154,0.26666666666666666,0.18,0.3733333333333333,1.0,0.28571428571428575,0.0,0.36,0.0,0.13333333333333333,0.0,0.36,0.128,0.12666666666666668,0.4,0.2761904761904762,0.12,0.48,0.24,0.7542857142857142,0.05,0.10181818181818182,0.041568627450980396,0.22666666666666666,0.16,0.32,0.42000000000000004,0.2,0.17538461538461536,0.6620689655172414,0.16,0.25333333333333335,0.4,0.64,0.36,0.28,0.495,0.3136,0.21333333333333332,0.6052173913043478,0.2914285714285714,0.18526315789473685,0.16,0.28,0.08,0.5505882352941177,0.32,0.6203636363636363,0.5184,0.3388235294117647,0.16,0.192,0.3657142857142857,0.5555555555555556,0.09
nh0008,0.11612903225806451,0.1935483870967742,0.03225806451612903,0.0967741935483871,0.06451612903225806,0.12903225806451613,0.41935483870967744,0.25806451612903225,0.4933586337760911,0.0783410138248848,0.0,0.14746543778801843,0.20430107526881722,0.03225806451612903,0.3317972350230415,0.5806451612903225,0.4174573055028463,0.03225806451612903,0.3870967741935484,0.06451612903225806,0.25237191650853885,1.0,0.2258064516129032,0.06451612903225806,0.3225806451612903,0.15053763440860213,0.2903225806451613,0.5806451612903226,0.35842293906810035,0.049193548387096775,0.13795470144131777,0.2679900744416873,0.0967741935483871,0.16862170087976538,0.19727047146401988,0.20099255583126552,0.16129032258064516,0.18433179723502302,0.2258064516129032,0.03225806451612903,0.03225806451612903,0.03686635944700461,0.0,0.29493087557603687,0.2258064516129032,0.173697270471464,0.2150537634408602,0.04838709677419355,0.3512544802867383,0.1935483870967742,0.1382488479262673,0.06451612903225806,0.7419354838709677,0.0,0.053763440860215055,0.09318996415770608,0.3225806451612903,0.36129032258064514,0.051075268817204304,0.7741935483870968,0.31182795698924726,0.14516129032258063,0.03225806451612903,0.06451612903225806,0.11059907834101382,0.04032258064516129,0.20527859237536655,0.30170777988614805,0.12186379928315412,0.0967741935483871,0.12903225806451613,0.33870967741935476,0.06451612903225806,0.0,0.04449388209121246,0.0,0.0,0.25806451612903225,0.12903225806451613,0.16129032258064516,0.16129032258064516,0.3991935483870968,0.3161290322580645,0.0,0.08134642356241234,0.2350230414746544,0.07470288624787776,0.06451612903225806,0.1935483870967742,0.3225806451612903,0.0,0.4516129032258064,0.081524926686217,0.23225806451612901,0.23908918406072102,0.12903225806451613,0.0,0.03686635944700461,0.2240143369175627,0.0
nh0009,0.16,0.3333333333333333,0.14666666666666667,0.2,0.2,0.3333333333333333,0.08,0.017777777777777778,0.047058823529411764,0.1619047619047619,0.1955555555555556,0.22857142857142856,0.06333333333333334,0.38666666666666666,0.0761904761904762,0.08,0.017254901960784316,0.02666666666666667,0.17333333333333334,0.09333333333333334,0.014901960784313727,0.09333333333333334,0.24,0.08,0.09333333333333334,0.02074074074074074,0.10666666666666667,0.5466666666666666,0.16296296296296298,0.30500000000000005,0.3041134751773049,0.11076923076923077,1.0,0.013939393939393939,0.06794871794871797,0.041538461538461545,0.02666666666666667,0.24380952380952378,0.04,0.21333333333333332,0.14666666666666667,0.030476190476190476,0.13333333333333333,0.030476190476190476,0.09333333333333334,0.014358974358974359,0.0888888888888889,0.02,0.0,0.16,0.09523809523809526,0.0,0.02666666666666667,0.055,0.044444444444444446,0.09629629629629631,0.02666666666666667,0.0,0.08444444444444446,0.05333333333333334,0.22095238095238096,0.06,0.09333333333333334,0.14666666666666667,0.48000000000000004,0.08333333333333334,0.28848484848484846,0.041568627450980396,0.5540740740740739,0.10666666666666667,0.05333333333333334,0.08,0.18666666666666668,0.11692307692307692,0.1839080459770115,0.13333333333333333,0.13511111111111113,0.5866666666666667,0.17333333333333334,0.4933333333333334,0.30666666666666664,0.16499999999999998,0.20906666666666668,0.07111111111111111,0.0336231884057971,0.11333333333333336,0.061754385964912284,0.05333333333333334,0.24,0.04,0.01411764705882353,0.13333333333333333,0.2969696969696969,0.2112,0.09882352941176471,0.10666666666666667,0.128,0.06095238095238095,0.14814814814814814,0.060000000000000005
nh0010,0.06,0.625,0.35,0.075,0.2,0.625,0.05,0.09999999999999999,0.08823529411764706,0.42500000000000004,0.18333333333333335,0.42857142857142855,0.39583333333333337,0.225,0.11428571428571428,0.3375,0.3235294117647059,0.15,0.2,0.1,0.3911764705882353,0.75,0.075,0.3,0.25,0.03888888888888889,0.05,0.45,0.25,0.6481250000000001,0.21382978723404253,0.17307692307692307,0.025,0.052272727272727276,0.12740384615384617,0.0,0.1,0.45714285714285713,0.325,0.475,0.05,0.19999999999999998,0.025,0.3428571428571428,0.15,0.05384615384615385,0.09999999999999999,0.375,0.11666666666666664,0.425,0.14285714285714288,0.35,0.275,0.171875,0.4166666666666667,0.14444444444444446,0.625,0.32000000000000006,0.07916666666666668,0.6,0.06904761904761905,0.30000000000000004,0.05,0.275,0.3,0.3125,0.1909090909090909,0.0519607843137255,0.37777777777777777,0.075,0.175,0.30000000000000004,0.425,0.14615384615384616,0.37931034482758624,0.2,0.15833333333333333,0.45,0.275,0.4,0.3,0.20625,0.392,0.13333333333333333,0.1891304347826087,0.1517857142857143,0.11578947368421054,0.3,0.1,0.55,0.2911764705882353,0.375,0.9999999999999999,0.36,0.1588235294117647,0.05,0.08000000000000002,0.11428571428571428,0.06944444444444445,0.140625
