,o de,a de,s de,e la,de l,e el,de e,a el,ente,ando,e de,o qu,a la,para,ment,os d,a co,n la,a qu,esta,s qu,ento,e ha,e lo,de s,la c,e su,ción,el c,n el,a en,en l,ante,ient,ue e,en e,o en,e es,como,o se,e se,e co,n de,ue s,abía,as d,a ca,e en,o co,ue l,habí,e qu,el p,do e,s co,cont,r la,enci,entr,a su,e un,ncia,es d,endo,la m,iend,pero,r se,a es,ella,aban,amen,os p,os a,aque,la p,o la,taba,todo,os c,ar l,ntes,quel,o es,do d,do l,o el,n su,de a,el m,do a,r de,a se,do s,ació,s en,idad,e no,a un,ombr
nh0001,1.0,0.7237508463100881,0.6033014699975903,0.5267751163485762,0.662328289267929,0.7979176153772635,0.5872371573217263,0.7098152059966,0.18069445555524638,0.45378277847947257,0.7418683840714143,0.4982825100089037,0.5401131736670062,0.3976936333243385,0.12817226265637727,0.43926132869161694,0.26360344704102306,0.5508601429351907,0.4957614916371143,0.32793087665341847,0.4909262281932964,0.046312211942501846,0.5439535751770351,0.679667172288192,0.39674025076283187,0.41681318869450973,0.32287421349874734,0.2166628181745943,0.44685427877627976,0.4289390877265201,0.23413869248562846,0.537561889771865,0.5008493656189661,0.1357448934784914,0.7256096188095537,0.3166509322620088,0.49360889402861974,0.2866949994440757,0.18525965837552333,0.5619947087101169,0.37025445554476244,0.3474952821128899,0.37636595735163214,0.44715518130966986,0.3193368511548641,0.4334873923175617,0.32937201813448946,0.44959718088407513,0.4454427132145012,0.5204140939631682,0.30586755203209764,0.5096076799515605,0.7648825983403774,0.5494994504399058,0.2771442377992863,0.41584030014331863,0.33290942331451745,0.1333052967856706,0.2965103675289492,0.2683931494756551,0.37488369972251345,0.08538098986946752,0.2968356373272527,0.34515333014974875,0.2976001303834087,0.3327329754393062,0.21559620679772273,0.3380055794311938,0.38110765328441354,0.12624997487152145,0.20671085879643458,0.1312194246373588,0.3820094906897767,0.35443215106886455,0.15296853051655634,0.3346803563605445,0.32862346254684954,0.4715957805139728,0.33553897902432717,0.42801142717777946,0.30128486260311016,0.324606048316006,0.14640788590081602,0.41066056962791814,0.5234591586446442,0.2804949573374228,0.42626666038553895,0.21415071629888666,0.259454663330398,0.49702102721621194,0.4674557498937056,0.4582132782355268,0.09661447276655494,0.3952615939880059,0.18960389307792294,0.42513121562546197,0.22270857648077666,0.5500828994364304,0.31564948757991673,0.7088164025708729
nh0002,1.0,0.8607717462393722,0.6586558180266264,0.4667526912131231,0.5621304525369091,0.09774490339788999,0.04839203733901387,0.42250987230739645,0.7939985401208909,0.5063203493662061,0.7791678575415281,0.48522194244085953,0.44507145248089947,0.6289973290561365,0.8244096378217297,0.42490919687807627,0.36055954712265875,0.6542128655429582,0.38979270731997834,0.4524741856396536,0.43167550528870097,0.4110328188142437,0.46736046553726174,0.4283035799387923,0.20894198866038244,0.34390651689351365,0.09065979939789309,0.7519012989908006,0.1986435327783312,0.40356687224333043,0.4906654773236869,0.6504400561335593,0.46012636815046215,0.39629025214333313,0.4737249305787289,0.31138587971222764,0.5740592018363918,0.3138097389358907,0.6859776311833938,0.3909641164637462,0.3331261740605478,0.6678491747324067,0.5811187245935737,0.3285479637429339,0.3054764430017258,0.2987235039693007,0.3029149301593783,0.4564584267931571,0.4796875773275225,0.24632930711630985,0.30136816230420005,0.6484738790214776,0.5154534412843131,0.4556852484209688,0.5925913923554406,0.31469424915597155,0.510070424032239,0.561543387066851,0.34219796591354257,0.13444725588314677,0.3452036426963808,1.0,0.6256403143415928,0.3885750801363748,0.19963794940645146,0.3874448471844167,0.7163714852411067,0.3636135170642081,0.3845242201526661,0.19478940621714358,0.18879197992837488,0.8287201954290198,0.598902074161964,0.4728308702988931,0.27785649994981676,0.3814286296307665,0.27227185892186473,0.47204024890690455,0.5564003281138442,0.362517920335049,0.40669904673774326,0.41998267288242636,0.27211486562704357,0.47241676456679954,0.3915341336213539,0.20681865896833526,0.19841479895716133,0.2020386653754404,0.4101315138268753,0.38799540996916343,0.35104789000226416,0.36475920826778874,0.20208322210604918,0.23110710333159623,0.5166974248818161,0.46371483015702664,0.6264101589034607,0.5922948566482162,0.5320696080247622,0.34769532541306736
nh0003,0.946573695015732,1.0,0.7659824708384351,0.6379406021991575,0.5163961320955011,0.5659986739374584,0.5171558379607544,0.5563422574243276,0.7409589180012641,0.6773545790065727,0.8661510046941426,0.5043477718160978,0.7750843529887435,0.6364036031574621,0.6782884624682288,0.2117112600831852,0.9263078425768057,0.7092020910765766,0.7452237428610917,0.6455812365679733,0.6929434303731143,0.5243109542114922,0.8908626457978752,0.42972466640922924,0.3345012929671975,0.9027950318727089,0.3163056448307313,0.4045593592469712,0.6743142303841398,0.3323442751536356,0.6015281331768065,0.5639492011470708,0.5707241572240552,0.4133201326546726,0.8068884830122697,0.35194541446863314,0.8536125124602719,0.5414195774994542,0.4192063508430909,0.5402388052228652,0.5914711463359266,0.868475417039912,0.40262733688221786,0.5346068511928677,0.6013798081374411,0.5698713526458414,0.6643328234002172,0.6533280384245754,0.9624378694161537,0.3569253259519144,0.6072560964425412,0.5447590036325819,0.4503238122656531,0.8816481492140249,0.6975882154137861,0.510620455168245,0.6386963239874818,0.40676103369758254,0.3382621061392572,0.26567626174449716,0.40972649550269047,0.3638741261355641,0.5244720290574744,0.37271167358209606,0.45249518614725837,0.3488713873528198,0.723259613701348,0.3818114448985981,0.5957874684022268,0.6401475032084181,0.1921658796584934,0.5617150045968562,0.6033345625413824,0.5490538665490667,0.49344427485890907,0.28271792439773147,0.3694656553922499,0.6121280572095555,0.43778009249565,0.45259716950947065,0.3410691032527027,0.39701763272343654,0.47670697487714486,0.5040713414162252,0.7400964068373912,0.187927689294115,0.3445856812343461,0.31381820200128935,0.5178116024241923,0.388384704872167,0.47727171107109895,0.562430641031356,0.5194283846521384,0.2795407167201614,0.33093227377724277,0.3461227168374389,0.4981801999099812,0.5198375261861816,0.8090826159410617,0.3071990867540677
nh0004,1.0,0.6002062643239117,0.9539223239372796,0.15132244544009266,0.5654605173864655,0.6053533027575312,0.6149683117627518,0.5781820906430376,0.577700878223208,0.5326804649399213,0.49646069945376736,0.2964061717266376,0.3469987762920382,0.5081727201620505,0.6370736615737498,0.594113413599247,0.3724405835395537,0.37985706338426994,0.15270746347810898,0.35421022382470746,0.34606902983537785,0.2799150330067486,0.3452174015123709,0.8703391474551867,0.1927427398446922,0.25082519645039153,0.15281862326731221,0.46820709182790243,0.2442409968715608,0.3241086176140242,0.4958834591846444,0.3026879270571584,0.30345157367753506,0.3593779364781057,0.3355510616545059,0.2984939803316311,0.37867088804228366,0.23352182028122911,0.2311377007518105,0.5061471043111287,0.1422439195738593,0.34932476855240896,0.5868509595275012,0.2210762962817745,0.19529674660227642,0.36807003574910624,0.21241284493764118,0.4205861634816341,0.5937431866153493,0.2787905448523227,0.17703032011007414,0.40545047885983754,0.4895506310320783,0.47466836377590127,0.5146224886201811,0.28975529755810325,0.26615440527490775,0.762735968312827,0.6291274122118861,0.28622872720511144,0.23217096273277799,0.7230466008891268,0.6355334637904367,0.3203136119639699,0.09681589073940067,0.32770154568254445,0.433242454095167,0.4153196505416794,0.2633725146730642,0.06789618121256642,0.409996106615712,0.6796648419814229,0.49650830177221644,0.6789656906867156,0.1683440636040893,0.11786902895166501,0.25804315017120366,0.5185993368243491,0.23863591002465137,0.7312017713995553,0.48718989715806427,0.3675801254455347,0.14143806977510057,0.1984758798810652,0.4456495192049039,0.2918381246251466,0.2600303585188939,0.1707179206460671,0.22220732162964996,0.2120994453090706,0.3177898928679948,0.4018859663658867,0.17325036395270393,0.3800707338294173,0.3274213586551876,0.6459617039241989,0.375446178927908,0.25500606529421066,0.12382640125726102,0.29913889691728435
nh0005,1.0,0.9428356605800214,0.9629794826048172,0.4779516358463728,0.6214648295866569,0.504307922831991,0.8052541829604463,0.7261551174768616,0.5651988725027641,0.36198687427615495,0.5745716054816595,0.5009569875121562,0.61916050595139,0.5268480398063007,0.4277204619684597,0.6392593579961552,0.2398926028450818,0.39839934888768336,0.23032873221875522,0.531151241808838,0.528514438821555,0.3553148832455383,0.7388122800160567,0.5813493402029832,0.33542453919779486,0.2580410560641864,0.24988096008879435,0.5547630506916655,0.773729814078687,0.3840690456954815,0.4169492861152475,0.5032044470044426,0.515911949050059,0.36545557183694055,0.5065515411605234,0.47260397818232325,0.607361779994649,0.5698328198115735,0.5460558698478575,0.2707365803952547,0.38168942900999914,0.725178332456831,0.4365877624115345,0.41114623328950667,0.4511422403922285,0.6153937814148631,0.3199191635181443,0.4632743887991087,0.7105629436663254,0.36791808568279893,0.4709340406700321,0.4756621599940909,0.7823501515275931,0.6713033734289726,0.7217799313622456,0.29662351827604894,0.5131610912343877,0.3790788531141608,0.2377669096336814,0.32138099254616287,0.4739596720233793,0.4698689023134038,0.4570820958151053,0.39046552931759054,0.26736717113649544,0.40096033988362917,0.5573640072638854,0.3938051611330996,0.5691395729835649,0.2556935155198827,0.24328930742127364,0.44585191580810274,0.8011266961209051,0.5955099154230292,0.326897023224777,0.31382639668673495,0.3370067141424323,0.39898241265371215,0.4493592911128895,0.5170145398291075,0.4373887818924156,0.5306398439857918,0.3300904686185217,0.3180514058591409,0.7858563753077501,0.208900787044594,0.3668632327202149,0.632287221650375,0.5472502581925223,0.24227514794408506,0.8060404556381577,0.5888393682173465,0.3997554915944479,0.21644263200936054,0.5512459278183209,0.388984836437104,0.514030424008019,0.4622293502078537,0.5575627787042353,0.31275690958508917
nh0006,0.788174097323679,1.0,0.7804115918575927,0.2772647018878175,0.37861898324107846,0.4338373361469269,0.5909443686153055,0.4189536193684643,0.6426321977517142,0.2617365556388299,0.7091395566536648,0.4693004036509168,0.45375892780664023,0.5855579894014908,0.5660240640022406,0.4247249457394542,0.43783124143833957,0.31333977761346565,0.5976366993552624,0.6234951234742246,0.5238921828568717,0.3916569639612483,0.681648105134803,0.28535252349025675,0.47773855603145426,0.24975349424086074,0.5211009271023296,0.4837049591094831,0.7923689656868118,0.4539782401336522,0.5508112737175799,0.341830499623613,0.6444914973995699,0.44144283718914057,0.618714131796373,0.49320541770695625,0.6107637976556711,0.6162151931908678,0.45375978223680047,0.33331266475335763,0.49177060125706895,0.6918805942964039,0.7419344113289378,0.5084383414553488,0.4208052136767493,0.4791471237402485,0.2861637066803131,0.57631282781976,0.7222775792941012,0.4179922786262035,0.42756946128450724,0.6117319299418017,0.3128132783933981,0.5993242956439804,0.24943879141244307,0.3254185402732811,0.2873657923580394,0.326687723178932,0.18303786296281888,0.47195514690046086,0.4545401433383548,0.36561589820789037,0.7172092563053932,0.2352982533867054,0.17457581883258116,0.2721748301604654,0.7158196083410575,0.521609714837727,0.6410276265285293,0.3014900981340124,0.1387996186771964,0.5406927299955662,0.19521677935998932,0.2862177882745716,0.2764151938426973,0.4310537258385857,0.2819349602970775,0.5468551516503841,0.3279280072125518,0.2187385972992883,0.3599442495081727,0.40363041497740143,0.27939671075832,0.5293248329817244,0.43724969944375003,0.07912136861593286,0.31738598952742403,0.4847133302395564,0.397433357343407,0.17419740334084588,0.5200101400562327,0.487935581354785,0.2867676985217249,0.3637511870260936,0.4021161354077464,0.4620762090388453,0.350837502873492,0.5922136305196454,0.5891003093391742,0.24157097854885415
nh0007,0.9814138648004462,0.9296031746031748,1.0,0.6457528957528959,0.5723954556441866,0.2789310662976142,0.36045743673027464,0.5704717630079023,0.6617537981108275,0.5845331884451689,0.66473666367435,0.5275389500644367,0.49579694030232585,0.6359411107322802,0.6208007866108756,0.729412495385094,0.47742703957181193,0.5651055225797499,0.6448042732055941,0.6106945665540149,0.7024266698470778,0.3729175948493504,0.7688418933322851,0.46833464161392135,0.46893751759919583,0.45461532549381295,0.49352752299077995,0.3965598830629783,0.3289379169613635,0.43766878821914357,0.5062891598859984,0.6431452291721307,0.5348599127064223,0.4291305340027384,0.693334679234571,0.4313758336933661,0.9074061466150246,0.6003263099368024,0.4648182333852465,0.5310792206208765,0.502805476255618,0.641509022703205,0.5033729253184783,0.6472464948391845,0.6652663034331824,0.5458157063930544,0.5350275149941259,0.38511067789221326,0.8083031260883726,0.6077518202340078,0.66729285915583,0.7202908466856736,0.28335563122505325,0.8114805566507501,0.43573658479118815,0.3191881997325856,0.6431026610728715,0.2545410356119525,0.22330044182800746,0.3090926904196965,0.2776683090611003,0.34597278615886223,0.7034083110219537,0.4576692857645805,0.11848446749436847,0.6607955062409068,0.8289564520964415,0.5713202742523604,0.7666983184411573,0.5573018556734037,0.2645323233418793,0.7345569554967144,0.8953384245424449,0.6420377399741919,0.5826640321156988,0.3199911139391608,0.4566401692793976,0.5972566491445503,0.506265409773266,0.4810304306687421,0.46486019355812735,0.4554936774003823,0.5647600572581819,0.5012981871991289,0.791109156324955,0.33437735505634736,0.3388120321636183,0.5328415336609325,0.902664055324619,0.14589825507393384,0.8230112465745927,0.385130708652784,0.5034919545270004,0.5359096279979108,0.32563352723146344,0.6581767353150576,0.5936811085931659,0.6120366021739063,0.44787568810904577,0.6754346003863114
nh0008,0.7425920200319869,1.0,0.8999959500232877,0.7203267783912947,0.7256336080636065,0.3557655922482005,0.3766055033855904,0.25400730117604176,0.2588287204120799,0.3659915929811032,0.37533591237845665,0.22946259300380306,0.4196514054554516,0.38201998149838634,0.3629869858021382,0.5215992287272553,0.21213415493266768,0.35939037867870605,0.24003194282013113,0.22885349921327625,0.32497641678395156,0.15588373183309878,0.2830128296934127,0.46056637170788983,0.48462523677288555,0.5435579874652521,0.4220581993453473,0.24093892608425602,0.23383002227484856,0.33140147260701347,0.36516824204670306,0.3692516222353719,0.26792679603062874,0.2617644027620324,0.26419880339685464,0.2510424375706991,0.21066522985139902,0.1884017366192158,0.45787954477961224,0.2730687614978451,0.20879983351153963,0.232361009182453,0.3119465716246018,0.18733919875765526,0.2932177516101297,0.5928601754490188,0.6219904540223351,0.2703999619130932,0.17699370960056032,0.28033077767202075,0.2849520297452478,0.2764186507205981,0.17617672468253653,0.3255341796754979,0.2673767143951662,0.1498645612875879,0.23297547235509353,0.33339206488584905,0.4437818554598606,0.3314519498332769,0.4105079612808684,0.22661109430079251,0.471968827529078,0.31661587304832134,0.28609709504071346,0.33174625949882236,0.23498924856673703,0.2627153417007415,0.17304845025832938,0.32809780471398514,0.3144326765365239,0.40562562472878455,0.41818606120031915,0.2788119524043691,0.45004395360103255,0.3635877495952742,0.3124735862456813,0.46025310336302405,0.2949092479803901,0.3324363734464428,0.2808189665700501,0.2863243809285901,0.44576531881422626,0.24079696093892233,0.2902552760162673,0.259404648022578,0.16720970909949676,0.24437603977115724,0.20311902514827007,0.1955377662360795,0.3691997259780709,0.4624210910067732,0.22052142182535184,0.44911873214986514,0.21340899049416226,0.33420643484112844,0.2992679384183582,0.2150988175716655,0.335162227546851,0.24473054011890302
nh0009,1.0,0.7633703288870786,0.3700575038960099,0.2520159503766063,0.19922139288182328,0.5020456926311944,0.4052634731734588,0.6855504326518987,0.6209233612179137,0.5748230738532694,0.6413760088966997,0.7781319338459234,0.4536877422709565,0.8640154286793265,0.884313581651423,0.3172695829229206,0.2819957359661451,0.3100128189627127,0.8307554463660896,0.6646244761966188,0.7016749446332502,0.6982986375213739,0.945152421019519,0.5580757848251157,0.4187232774978635,0.22026123736628805,0.3427112110270113,0.490596941146485,0.7477644616169885,0.480034327681523,0.48306542099035576,0.22233808885175987,0.36360435465875507,0.4654708418063528,0.6646525826706569,0.2508505588569713,0.5801769706060932,0.3205111191398362,0.3175779600982429,0.8171453412595506,0.5860014941460878,0.40273657908301946,0.6525965079345374,0.6609582773956018,0.9574196617918697,0.2171707075997369,0.3925727959523889,0.4386937074833443,0.5002503014227271,0.6488838894176033,0.9285596052772169,0.7299523104451797,0.23980840712911877,0.730992578478679,0.30452828910154783,0.17016419457311543,0.5931481067030621,0.3651234971316071,0.3874345315103168,0.4339390044309999,0.3916411184361157,0.41481089321267933,0.3533415676831072,0.6189921142635688,0.37400081181793643,0.5609965153500989,0.5397616607864898,0.8000585967875742,0.2799722880918506,0.3892209994731639,0.3041126214338597,0.8700639703929707,0.5356879725461197,0.308377002805667,0.8187878324499647,0.3125031405847969,0.3032947105693183,0.6421168128701151,0.7208003186037748,0.41020579144080366,0.803825203625491,0.17621866119013357,0.746790971053202,0.332598587960173,0.767949531966337,0.43690476720699867,0.3583006357214168,0.20881841161457632,0.7283948807634231,0.5559577140879337,0.9039097852651683,0.8061617925269327,0.37931061841931346,0.6680684413134008,0.3379516015871964,0.08948651857611034,0.5596805896589562,0.8602370559095612,0.4408720556763862,0.32006609776050376
nh0010,0.7200414781657178,0.42437025019212693,1.0,0.3169997253679263,0.3970890312244941,0.4236066647805953,0.46568742068810876,0.42021233398952396,0.558747976541637,0.438287076347045,0.5592925893444046,0.38137639999920575,0.21011606885385742,0.23549221617926885,0.49127102698955294,0.750843531024832,0.303686568732277,0.3060883170661889,0.3476975859569154,0.40650581053720847,0.4654018526612927,0.14614826893906607,0.4612956959524521,0.33113312703229214,0.27282594870010163,0.4027010939247094,0.2073184554568328,0.28672097592511747,0.8632946628354947,0.22594931771436255,0.20158174879381863,0.09752659680187825,0.40200218260042575,0.380084178524164,0.30781134819162215,0.16170531325638993,0.30799286241693313,0.28843472544844906,0.19340477191404987,0.5562776594317865,0.3055747225577887,0.5687548811885759,0.3442526521106356,0.25518099936043165,0.33536677667198134,0.6102159748755833,0.44649730024238443,0.3079078790445349,0.5626085991878382,0.3037187020832409,0.340220254226354,0.45880742756454584,0.33905164430163404,0.48064645473736567,0.5114277919203016,0.40403221855310467,0.22336398415202707,0.3128736874375939,0.37602760319736583,0.18511869672513342,0.18139255800268123,0.2740444586197549,0.5011269326196904,0.3270045784194965,0.13032033096382628,0.3043635576608933,0.2414179970346214,0.31856805302472546,0.30770487750406694,0.2792608447996093,0.3812027799692038,0.573170217282394,0.5593008994508724,0.5919656799413793,0.5109522560728669,0.15434335580075575,0.17772188370753056,0.5210263607803574,0.4560959786750943,0.5201142170146265,0.2516550273931184,0.6246421735912575,0.513278906587485,0.2738620017757896,0.6322478526025923,0.2109665163764667,0.2992188045050259,0.20012442899374427,0.6163288298888223,0.28939913797858247,0.44255309662723336,0.41983302065272443,0.2648227754665071,0.436695344099226,0.22409938185305986,0.42729358728993694,0.3034172218160648,0.5364039392524612,0.3174854398996907,0.5028285641135353
