,a el día siguiente,a el extremo de,a el fin de,a el lado de,a el llegar a,a el mismo tiempo,a el otro día,a el pie de,a el salir de,a el través de,a el ver a,a el ver la,a el ver le,a el ver que,a el ver se,a la cabeza de,a la casa de,a la hora de,a la luz de,a la puerta de,a la vista de,a lo largo de,a los ojos de,a los pies de,a uno de los,cada uno de los,de el lado de,de la calle de,de la casa de,de la casa y,de lo que se,de un momento a,de uno de los,dirigiendo se a el,el centro de la,el corazón de el,el día en que,el fondo de el,el fondo de la,el fondo de su,el lado de el,el lado de la,el lado de su,el lugar en que,el mismo tiempo que,el momento en que,el nombre de el,el resto de la,en el centro de,en el corazón de,en el fondo de,en el momento en,en el seno de,en la calle de,en la casa de,en la puerta de,en los brazos de,en que se hallaba,en una de las,en uno de los,la calle de el,la casa de el,la casa de la,la hora de el,la hora de la,la hora en que,la idea de que,la luz de el,la luz de la,la mano de el,la mayor parte de,la noche de el,la primera vez que,la puerta de el,la puerta de la,la verdad es que,la vida de el,la voz de el,los ojos de el,más de lo que,más de una vez,no es más que,no hay más que,para que no se,poco más o menos,por la primera vez,puerta de la calle,que a el fin,qué es lo que,rayos de el sol,se acercó a el,se dirigió a el,se dirigió a la,un cuarto de hora,un momento a otro,y a el fin,y a el ver,y dirigiendo se a,y se dirigió a,y se puso a
nh0001,0.0,0.3333333333333333,0.20833333333333331,0.0,0.0,0.6666666666666666,0.0,1.0,0.28787878787878785,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2333333333333333,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.19047619047619047,0.16666666666666666,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.4705882352941176,0.0,0.3333333333333333,0.303030303030303,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.5333333333333333,0.16666666666666666,0.2777777777777778,0.3333333333333333,0.19444444444444445,0.16666666666666666,0.0,0.0,0.0,0.39999999999999997,0.0,0.16666666666666666,0.0,0.2222222222222222,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0,0.19565217391304346,0.3333333333333333,0.0,0.2333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.18666666666666665,0.0,0.0,0.16666666666666666,0.5079365079365079,0.0,0.19999999999999998,0.5499999999999999,0.0,0.16666666666666666,0.0,0.0,0.0,0.20238095238095238
nh0002,1.0,0.0,0.0,0.0,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.1919191919191919,0.0,0.0,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.18518518518518517,0.0,0.0,0.8888888888888888,0.0,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.0,0.0,0.4666666666666666,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.857142857142857,0.23391812865497075,0.2962962962962963,0.0,0.0,0.0,0.0,0.1111111111111111,0.5333333333333333,0.15151515151515152,0.0,0.26143790849673204,0.0,0.0,0.15686274509803919,0.0,0.1111111111111111,0.404040404040404,0.0,0.1111111111111111,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.18518518518518517,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.3838383838383838,0.3333333333333333,0.26666666666666666,0.14814814814814814,0.0,0.0,0.2962962962962963,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.4444444444444444,1.0,0.0,0.0,0.0,0.13043478260869562,0.3333333333333333,0.1111111111111111,0.31111111111111106,0.2222222222222222,0.0,0.0,0.12444444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.2444444444444444,0.23391812865497075,0.2222222222222222,0.0,0.0,0.12698412698412698,0.0
nh0003,0.4,0.0,0.0,0.2,0.4,0.0,0.2,0.2,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.33333333333333337,0.6,1.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705885,0.0,0.42352941176470593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.8,0.34545454545454546,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.24,0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.24285714285714288
nh0004,1.0,0.3333333333333333,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.5757575757575757,0.0,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.75,0.3333333333333333,0.0,0.0,0.39999999999999997,0.0,0.0,0.39215686274509803,0.0,0.3529411764705882,0.0,0.0,0.0,0.0,0.4666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41666666666666663,0.0,0.0,0.0
nh0005,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.4666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.75,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.4444444444444444,0.0,1.0,0.0,0.3333333333333333,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.9333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.5079365079365079,0.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
nh0006,1.0,0.0,0.0,0.0,0.16666666666666666,0.25,0.08333333333333333,0.25,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.25,0.0,0.0,0.25,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.6666666666666666,0.16666666666666666,0.35,0.14814814814814814,0.3333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.375,0.08333333333333333,0.09523809523809523,0.08333333333333333,0.0,0.11363636363636365,0.16666666666666666,0.09803921568627451,0.0,0.08823529411764705,0.1176470588235294,0.08333333333333333,0.0,0.0,0.2333333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.5333333333333333,0.08333333333333333,0.1388888888888889,0.08333333333333333,0.09722222222222222,0.08333333333333333,0.08333333333333333,0.0,0.125,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.1111111111111111,0.16666666666666666,0.65625,0.5,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.21428571428571425,0.0,0.3333333333333333,0.08333333333333333,0.11666666666666665,0.0,0.08333333333333333,0.25,0.0,0.0,0.0,0.08333333333333333,0.12698412698412698,0.08333333333333333,0.09999999999999999,0.0,0.0,0.0,0.0,0.08333333333333333,0.2857142857142857,0.10119047619047619
nh0007,0.125,0.125,0.0,0.5,0.375,0.375,0.0,1.0,0.0,0.0,0.3333333333333333,0.375,0.0,0.0,0.20833333333333334,0.25,0.0,0.0,0.375,0.375,0.0,0.125,0.125,0.125,0.175,0.0,0.125,0.0,0.75,0.0,0.0,0.0,0.16666666666666666,0.125,0.28125,0.125,0.0,0.25,0.15,0.0,0.375,0.29411764705882354,0.0,0.5294117647058824,0.0,0.375,0.125,0.0,0.175,0.25,0.25,0.375,0.125,0.0,0.375,0.625,0.8,0.5,0.20833333333333334,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.875,0.0,0.25,0.175,0.0,0.0,0.125,0.25,0.35,0.125,0.0,0.0,0.13999999999999999,0.125,0.25,0.125,0.19047619047619047,0.25,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.1517857142857143
nh0008,0.21428571428571427,0.07142857142857142,0.08928571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.21428571428571427,0.12337662337662338,0.35714285714285715,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.09999999999999999,0.12698412698412698,0.0,0.0,1.0,0.14285714285714285,0.09183673469387754,0.07518796992481203,0.5714285714285714,0.21428571428571427,0.6428571428571428,0.07142857142857142,0.16326530612244897,0.07142857142857142,0.0857142857142857,0.19480519480519481,0.0,0.08403361344537814,0.0,0.0,0.0,0.0,0.0,0.2597402597402597,0.39999999999999997,0.07142857142857142,0.5,0.0,0.07142857142857142,0.0,0.21428571428571427,0.35714285714285715,0.0,0.0,0.23809523809523808,0.14285714285714285,0.0,0.0,0.21428571428571427,0.12337662337662338,0.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.09523809523809523,0.21428571428571427,0.0,0.07142857142857142,0.2857142857142857,0.5,0.0,0.2857142857142857,0.09999999999999999,0.2755102040816326,0.08385093167701863,0.2857142857142857,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0857142857142857,0.07857142857142856,0.07518796992481203,0.0,0.08928571428571427,0.14285714285714285,0.0,0.0
nh0009,0.9090909090909092,1.0,0.45454545454545464,0.8181818181818182,0.3636363636363637,1.0,0.18181818181818185,0.09090909090909093,0.31404958677685957,0.09090909090909093,0.3636363636363636,0.18181818181818185,0.0,0.4545454545454545,0.15151515151515155,0.3636363636363637,0.09090909090909093,0.0,0.09090909090909093,0.09090909090909093,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.0,0.4545454545454545,0.0,0.09090909090909093,0.09090909090909093,0.3506493506493506,0.861244019138756,0.12121212121212123,0.09090909090909093,0.0,0.09090909090909093,0.0,0.0,0.0,0.24793388429752072,0.7272727272727273,0.32085561497326204,0.0,0.0,0.5133689839572193,0.09090909090909093,0.09090909090909093,0.6611570247933886,0.1272727272727273,0.09090909090909093,0.18181818181818185,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454545,0.0,0.18181818181818185,0.0,0.0,0.0,0.15702479338842978,0.13636363636363638,0.0,0.12121212121212123,0.09090909090909093,0.09090909090909093,0.0,0.8181818181818182,0.0,0.4545454545454545,0.0,0.3636363636363637,0.09090909090909093,0.3636363636363637,0.1272727272727273,0.1168831168831169,0.10671936758893281,0.18181818181818185,0.09090909090909093,0.5090909090909091,0.4545454545454545,0.0,0.09090909090909093,0.10181818181818182,0.3636363636363637,0.2727272727272727,0.0,0.2770562770562771,0.0,0.0,0.1,0.861244019138756,0.0,0.22727272727272732,0.09090909090909093,0.0,0.11038961038961043
nh0010,0.16666666666666666,0.25,0.0,1.0,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.75,0.4318181818181818,0.16666666666666666,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.25,0.0,0.08333333333333333,0.2333333333333333,0.5925925925925926,0.5,0.08333333333333333,0.5833333333333334,0.25,0.10714285714285712,0.0,0.0,0.16666666666666666,0.5625,0.0,0.19047619047619047,0.4166666666666667,0.3,0.0,0.6666666666666666,0.29411764705882354,0.16666666666666666,0.2647058823529412,0.0,0.0,0.0,0.1515151515151515,0.8166666666666667,0.0,0.6666666666666666,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,0.4166666666666667,0.2777777777777778,0.16666666666666666,0.6805555555555557,0.16666666666666666,0.16666666666666666,0.0,0.125,0.39999999999999997,0.2222222222222222,0.75,0.0,0.3333333333333333,0.25,0.09375,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0.19565217391304346,0.16666666666666666,0.16666666666666666,0.11666666666666665,0.3333333333333333,0.16666666666666666,0.0,0.09333333333333332,0.25,0.0,0.3333333333333333,0.25396825396825395,0.16666666666666666,0.19999999999999998,0.09166666666666665,0.0,0.25,0.41666666666666663,0.08333333333333333,0.0,0.505952380952381
