,a el día siguiente,a el extremo de,a el fin de,a el lado de,a el llegar a,a el mismo tiempo,a el otro día,a el pie de,a el salir de,a el través de,a el ver a,a el ver la,a el ver le,a el ver que,a el ver se,a la cabeza de,a la casa de,a la hora de,a la luz de,a la puerta de,a la vista de,a lo largo de,a los ojos de,a los pies de,a uno de los,cada uno de los,de el lado de,de la calle de,de la casa de,de la casa y,de lo que se,de un momento a,de uno de los,dirigiendo se a el,el centro de la,el corazón de el,el día en que,el fondo de el,el fondo de la,el fondo de su,el lado de el,el lado de la,el lado de su,el lugar en que,el mismo tiempo que,el momento en que,el nombre de el,el resto de la,en el centro de,en el corazón de,en el fondo de,en el momento en,en el seno de,en la calle de,en la casa de,en la puerta de,en los brazos de,en que se hallaba,en una de las,en uno de los,la calle de el,la casa de el,la casa de la,la hora de el,la hora de la,la hora en que,la idea de que,la luz de el,la luz de la,la mano de el,la mayor parte de,la noche de el,la primera vez que,la puerta de el,la puerta de la,la verdad es que,la vida de el,la voz de el,los ojos de el,más de lo que,más de una vez,no es más que,no hay más que,para que no se,poco más o menos,por la primera vez,puerta de la calle,que a el fin,qué es lo que,rayos de el sol,se acercó a el,se dirigió a el,se dirigió a la,un cuarto de hora,un momento a otro,y a el fin,y a el ver,y dirigiendo se a,y se dirigió a,y se puso a
nh0001,0.0,0.16707594928969347,0.06870605242694154,0.0,0.0,0.2110966861532632,0.0,0.3457676616362796,0.06870605242694154,0.19574091271322708,0.0,0.0,0.0865792267664486,0.0,0.0,0.0,0.17787468784760083,0.0,0.0,0.10766262530350626,0.0,0.07480691979132616,0.0684071992703226,0.05905002408409174,0.06900694555263583,0.0,0.0,0.0,0.10681081825661141,0.19657524996203357,0.0,0.0,0.0,0.07245986582395178,0.0,0.0,0.06361416676599889,0.060519515883467,0.1368143985406452,0.0,0.0,0.0,0.0,0.0,0.14426909147326494,0.0,0.14234549494074986,0.07515265232251897,0.0,0.0,0.05113377121312878,0.0,0.0,0.07656335420686203,0.0,0.0,0.14046297479919498,0.0776518211572855,0.06524697090440902,0.1225460999785067,0.08936419519080675,0.061782658806758275,0.0,0.0,0.0,0.139844296165399,0.0,0.05670475443422079,0.0,0.07149102085129969,0.12153853080007908,0.0,0.0644230091246587,0.05469566724268428,0.15645553750796773,0.16297468221101188,0.0,0.0,0.0,0.06469595533268756,0.13388518080659753,0.0,0.07728600435443334,0.139844296165399,0.49133944269471874,0.07839269022297406,0.09082556675956915,0.0,0.0,0.07311779851191559,0.1560413984483874,0.0,0.0699221480826995,0.21836281401054536,0.0,0.07311779851191559,0.0,0.0,0.0,0.07278760467018179
nh0002,0.2980697188318138,0.0,0.0,0.0,0.03715242187077873,0.1749838567253582,0.11916125958634022,0.07643102323276597,0.045561871209336524,0.0,0.0,0.0809304344818657,0.057414324357107756,0.189634803316026,0.049380127235052515,0.0,0.0,0.35210245612692315,0.0,0.17848903025513876,0.04783544922903594,0.1488228383688828,0.0,0.0,0.1372842182642708,0.0,0.09697497094459143,0.0496076127896276,0.035415371523100994,0.0,0.2976456767377656,0.1107950844914161,0.08802561403173079,0.0,0.0,0.0,0.0,0.04013303473177966,0.18145475647928158,0.04698809290715026,0.0,0.08262514712563705,0.0,0.0,0.04783544922903594,0.0,0.04719764037248452,0.09967376512570447,0.0,0.04097067789649472,0.13563581176127612,0.0,0.04616460898041415,0.0507723782768223,0.07831710590820135,0.08366606766386495,0.0,0.05149418646196797,0.043268008860021544,0.040632734869786975,0.0,0.04097067789649472,0.04915439834321261,0.09653704011434358,0.0884040198348049,0.09273663070692961,0.04420200991740245,0.0,0.0,0.094817401658013,0.040298654133662376,0.0,0.08544321034240138,0.03627099591072869,0.1383363240573412,0.4863391285839659,0.0,0.0,0.0,0.0429026072741888,0.13317733625946748,0.05248518801755822,0.10250319592805236,0.09273663070692961,0.0,0.0,0.06023025088822873,0.0,0.0,0.0,0.0,0.0,0.0,0.09653704011434358,0.11248979713518746,0.09697497094459143,0.0,0.0,0.051985487879550894,0.0
nh0003,0.12796232135700417,0.0,0.0,0.061285683096794524,0.143546924146692,0.0,0.11510173112374089,0.07382720790456201,0.0,0.0,0.17680971408595214,0.0,0.0,0.0,0.09539573763479539,0.30564969610611514,0.37979235821358326,0.08502679976239458,0.0,0.0,0.0,0.0,0.08763652156709974,0.0,0.0,0.0,0.0,0.0,0.1368354307381506,0.0,0.0,0.0,0.08502679976239458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07981031336467008,0.0,0.22896909397555906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2269471092684391,0.0,0.0,0.19895962916661386,0.0,0.0,0.0,0.07914981710616818,0.3798386395907669,0.09324826267610814,0.0853923142186222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10439350247359727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08957732378799285,0.0,0.5021447128890938,0.0,0.0,0.0,0.0936712742895215,0.0,0.0,0.08957732378799285,0.09324826267610814,0.0,0.0,0.0,0.0,0.0,0.09324826267610814
nh0004,0.3623211603134084,0.2020168489134733,0.16614935029946692,0.0,0.0,0.0,0.0,0.0,0.16614935029946692,0.0,0.16687698921303779,0.1475635081671108,0.0,0.0,0.0,0.19231937680857306,0.0,0.0,0.0,0.1301783075423651,0.1744403511034637,0.1809028561850451,0.0,0.0,0.0,0.0,0.17681811556558522,0.0,0.0,0.0,0.0,0.0,0.16050041616910896,0.0,0.1683473392408205,0.181738928603791,0.0,0.0,0.16542664456899317,0.0,0.0,0.1506535415352882,0.0,0.21610618637674858,0.0,0.0,0.0,0.0,0.15579182229659583,0.1494067590541889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18778257779505658,0.15778437913171137,0.14817439056634196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18343100678111718,0.0,0.1322685448451745,0.0,0.19705787633058386,0.0,0.0,0.0,0.0,0.0,0.0,0.37379587262375014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1800732902323759,0.0,0.0,0.0
nh0005,0.271891071720959,0.0,0.0,0.08681216929916981,0.10166827921062614,0.0,0.0,0.10457744366450678,0.0,0.1184036944070239,0.250453842681739,0.11073380408628451,0.0,0.12973477340618517,0.13512961767744736,0.0,0.21519282699481257,0.0,0.22423401275520374,0.19537539304576143,0.0,0.0,0.12413856161246462,0.0,0.1252269213408695,0.0,0.0,0.0,0.0969148092924371,0.0,0.0,0.0,0.0,0.13149293662019468,0.12633029340037874,0.0,0.11544064432897387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11690845075938304,0.0,0.0,0.0,0.0,0.0,0.10715809346342753,0.22895371820686822,0.0,0.0,0.0,0.0,0.0,0.33635101913280563,0.0,0.0,0.12095960531412708,0.0,0.12095960531412708,0.0,0.3434305773103023,0.0,0.1102780011091579,0.13764929704197237,0.11690845075938304,0.09925624101506655,0.0946399676725747,0.0,0.0,0.2378167701566679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1422592345398564,0.0,0.0,0.0,0.13268688723347585,0.14158418238140016,0.0,0.12688773960090724,0.0,0.0,0.0,0.0,0.13893953801422268,0.0,0.0
nh0006,0.39132120618159705,0.0,0.0,0.0,0.0731634058435372,0.10337749961652558,0.058665378708457804,0.11288538586929679,0.0,0.08520668997779032,0.13517531927954307,0.07968721721137191,0.16959705327348198,0.0,0.0,0.15578440914075725,0.15485892215626296,0.043336701887364014,0.04034130459989919,0.07029886452407678,0.0,0.04884556274797296,0.35733465873931797,0.07711403342671129,0.13517531927954307,0.04862157172511572,0.19097056930936646,0.0,0.03487133636747189,0.0,0.0,0.0,0.0,0.04731304179729005,0.0909108976580279,0.04907131058110794,0.04153719713492203,0.03951652893621204,0.0,0.04626628276262638,0.07903305787242408,0.040677948217351614,0.0,0.05835081053719285,0.047100622374292044,0.03903277467207352,0.0,0.0,0.08413066982010986,0.16136521839959675,0.03338805871567216,0.05070315571624905,0.0,0.0,0.0,0.04119041340773763,0.1834320426094206,0.05070315571624905,0.04260334498889516,0.040008552903374406,0.05835081053719285,0.04034130459989919,0.04839931037992352,0.0,0.043522998338239784,0.0,0.13056899501471936,0.03702566084195709,0.04119041340773763,0.04668042949301731,0.07935920833329187,0.3466973191258061,0.2523920094603296,0.0,0.13621126309225706,0.10641515635819512,0.17866732936965898,0.0,0.08972394009397025,0.0,0.17484203382133215,0.051678933947549945,0.05046429375471097,0.0,0.05347043572449856,0.1535607299411627,0.0,0.0,0.0,0.047742642327341614,0.0509440165458859,0.04795987129186246,0.04565602595553692,0.0,0.0,0.0,0.0,0.049992435626793244,0.1535607299411627,0.04752704056135
nh0007,0.034206986381406186,0.05721764299071252,0.0,0.13106348836660753,0.11511922323632971,0.10843979827309286,0.0,0.31576873799566973,0.0,0.0,0.09452981811676764,0.12538413762278605,0.0,0.0,0.05100252423545189,0.10894201648638176,0.0,0.0,0.12695034071574177,0.11061200042702164,0.0,0.051237483887443126,0.046854124995060566,0.04044511745706971,0.04726490905838382,0.0,0.050080554494023946,0.0,0.2194737169246061,0.0,0.0,0.0,0.0454588593061278,0.04962991683119003,0.04768135928723126,0.05147428637905448,0.0,0.08290323217704637,0.046854124995060566,0.0,0.12435484826556953,0.0853398179529539,0.0,0.24483277878441367,0.0,0.12283251850295616,0.0487483311959762,0.0,0.044125234687019385,0.08463356047716117,0.07004608092260131,0.15955812429420566,0.04768135928723126,0.0,0.12133535237120913,0.2160373455195438,0.19241453673355416,0.21274416572560756,0.044689590612000556,0.08393546801061812,0.0,0.08463356047716117,0.10153875792361924,0.0,0.0,0.0,0.0,0.07767754506586938,0.17282987641563502,0.04896632609902024,0.0,0.0,0.0,0.0,0.25004245031383104,0.0,0.09370824999012113,0.044880078076091075,0.0,0.0,0.04585097082917761,0.10841920520478446,0.10587096524977603,0.04789175848646737,0.0,0.0,0.06220913154014004,0.04507177499249841,0.0974966623919524,0.050080554494023946,0.05343869698870011,0.10061684191211928,0.28735055091880424,0.0,0.0,0.0,0.0,0.0,0.37585439279924443,0.04985439491289479
nh0008,0.09002794364866047,0.05019624433287365,0.041284048475344885,0.0287450449778089,0.03366416577674243,0.03171091016109165,0.0,0.10388232477319068,0.041284048475344885,0.19602778900383902,0.0,0.0,0.052023669946468114,0.04295747850621101,0.0,0.04778665977689787,0.0,0.0,0.22274354508952054,0.2587689954528627,0.0,0.26969960233768214,0.20552236891659617,0.035481940391644276,0.041464848942673,0.04474380688018921,0.0,0.0,0.44926290915931816,0.07874533962021422,0.044949933722947026,0.05019624433287365,0.23928255931770975,0.13061891234577697,0.16732077980170498,0.045157677263335194,0.07644887900607565,0.036364927676411356,0.04110447378331924,0.08515272326854238,0.0,0.03743371912387898,0.0,0.0,0.0,0.0,0.0,0.09031535452667039,0.15484182471162183,0.037123924181586755,0.21507659230084844,0.0,0.041830194950426246,0.0,0.10644582117493283,0.18952656582664007,0.0,0.0,0.0784111156015356,0.07363542152791884,0.0,0.0,0.1336178152991504,0.04373656895516376,0.0,0.0,0.0,0.06814543255368075,0.11371593949598403,0.04295747850621101,0.10954499101461522,0.0,0.03871045617790546,0.13146198904321646,0.21935877246080854,0.0,0.16441789513327695,0.03937266981010711,0.12385214542603468,0.0388744639193691,0.16089768220717832,0.0,0.0,0.08402955049748913,0.04920595457881282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042014775248744564,0.04373656895516376,0.050964042022917815,0.0,0.04474380688018921,0.09201067780373998,0.0,0.0
nh0009,0.21925552162135453,0.4034208808105223,0.12065261361643076,0.18901660810041082,0.09838350976180141,0.2548565829677593,0.07888787833615007,0.025299670726982974,0.06032630680821538,0.028644556382216368,0.09088575217735233,0.053578069678520336,0.0,0.15692901518734556,0.0326909390104247,0.1396564923017455,0.026030028441138643,0.0,0.027123663046767357,0.023632883626750277,0.09500496500377342,0.0,0.0,0.07777196645922917,0.0,0.0,0.1604999337890008,0.0,0.023445904563635638,0.028766652575771136,0.09852462123714222,0.3300716297540637,0.02913763229050371,0.031811142851104576,0.0,0.032993323013866226,0.0,0.0,0.0,0.0622146991291439,0.21255297046517943,0.08205002082783806,0.0,0.0,0.1266732866716979,0.02624386688744724,0.031246075481101563,0.1319732920554649,0.028282822813137303,0.027123663046767357,0.04489723192501011,0.0,0.0,0.0,0.0,0.0,0.0,0.17045250825363145,0.0,0.05379987180397755,0.0,0.0,0.0,0.03195502591156468,0.02926288957235115,0.0,0.02926288957235115,0.02489437460492148,0.02769456528759151,0.0,0.24010889125363336,0.0,0.14141411406568652,0.0,0.09158227379930077,0.03577436169647275,0.12012780665751055,0.028766652575771136,0.03016315340410769,0.028402650951314775,0.05877792573660552,0.03474657066526783,0.1357196068170078,0.1534852028651972,0.0,0.03441575607142648,0.03987400536651472,0.11555809595378123,0.09373822644330469,0.0,0.06850489109085496,0.0,0.0,0.03195502591156468,0.33512037868423633,0.0,0.0653818780208494,0.03361264570585395,0.0,0.03195502591156468
nh0010,0.04454377174937036,0.11176180215048019,0.0,0.2560030593773004,0.12492195664916407,0.047069503765172556,0.08013398295314182,0.231293714948905,0.0919188221946442,0.05819404555543678,0.0,0.10884876644764188,0.03861018677773388,0.03188156987640388,0.09962196491915758,0.1418624915442214,0.026441196028669837,0.11839154904447077,0.11020842228534912,0.04801237233456602,0.0,0.10008090577667338,0.0,0.026333481416583766,0.06154758263054125,0.13282928655887677,0.1956422086053408,0.03336030192555779,0.16671377521807254,0.08766314276965873,0.03336030192555779,0.0,0.0,0.06462725662586956,0.09313481584326166,0.0,0.05673774073244424,0.13494402174911807,0.09151899962886988,0.0,0.2159104347985889,0.08334607431456222,0.032459784135062814,0.11955644776776912,0.0,0.0,0.0,0.03351448206902919,0.20110702712298315,0.0,0.18242569548601179,0.0,0.031044938614420554,0.0,0.0,0.0562640514476495,0.0,0.17314495812036013,0.05819404555543678,0.05464968891228961,0.2789650447914613,0.05510421114267456,0.06611104536123036,0.0,0.029725123093795932,0.12472771117053183,0.059450246187591864,0.22758843171666085,0.0,0.09564470962921164,0.08130054200312367,0.033826518263855805,0.14364787651641653,0.17074152830085523,0.16280057106238882,0.14535779898296508,0.0,0.14610523794943123,0.0,0.05770259246822002,0.05970637566050237,0.07059084767132792,0.034465854857759055,0.12472771117053183,0.07303794979552893,0.0,0.040503850955382566,0.08803757959935918,0.0,0.13042813907022718,0.06958698713495294,0.06551079347217961,0.062363855585265915,0.032459784135062814,0.0,0.0978211043026704,0.13282928655887677,0.034143587517026716,0.0,0.16229892067531407
