,mente,había,ament,aquel,mient,ombre,señor,usted,cuand,quell,estab,staba,sobre,porqu,orque,entre,hombr,contr,cione,parec,mento,antes,quier,esper,entra,todos,conte,algun,despu,tenía,conoc,hacer,"ente,",mismo,spera,inter,prend,nuest,acion,noche,tiene,resen,mujer,prese,empre,compa,prime,estro,ciend,joven,tiemp,rimer,tante,quien,padre,llega,donde,estra,mucho,enton,momen,tanto,tonce,puest,coraz,pensa,ancia,labra,siemp,iempr,desde,esent,habla,alabr,"ción,",preci,palab,lleva,traba,compr,decir,otros,senta,conve,graci,pregu,uerta,cabal,parte,tambi,amigo,cuent,rente,encon,taban,lante,puert,neces,hubie,aball
nh0001,0.4254618815035039,1.0,0.2516882331338705,0.3329049425352431,0.1787903893951947,0.9372937293729373,0.19307400379506637,0.5529411764705883,0.4358058957664806,0.2654557032427596,0.5250100936466102,0.5832584578363476,0.26565826330532205,0.7686963638600042,0.7599819438476301,0.31628951168354824,0.8563977311939268,0.7667360193768853,0.24695835993176843,0.4040280282485097,0.13788040332653,0.5337562033163394,0.502570317910681,0.32093393754015953,0.23231817669475274,0.4618825182919268,0.368479205616155,0.18150894521854224,0.1059888383435727,0.48939341818598786,0.2674501762034827,0.33229965319357396,0.4019437521507451,0.6075999392004865,0.27025857753750665,0.3721873939698925,0.13812839384708528,0.3693328943767654,0.09938263156351124,0.32087912087912085,0.21262561150062695,0.21305595408895261,0.2621947024423805,0.2183823529411765,0.17684158760731927,0.3745949716634952,0.5007672634271101,0.32714431744261685,0.14455616173788163,0.061901859189271574,0.4536895727642447,0.5108918406072106,0.5154162316465567,0.5530769230769229,0.27970762269404803,0.31417733043346313,0.38653491877407464,0.08798672351223445,0.5629231578779518,0.19733163817437432,0.17654888910639138,0.37335416291133416,0.1905997391098923,0.6521933751119069,0.11866481126747444,0.13735206486546317,0.26630821820253525,0.2105644721869183,0.1994373241638012,0.19943732416380122,0.5271677254351953,0.24144409937888195,0.6528207617992476,0.19978840989294733,0.42163768733299783,0.386400318697611,0.19978840989294727,0.2903405638690361,0.13073392396659458,0.09900051408734103,0.5892409280911128,0.39801338803714104,0.3511318630925085,0.17728475758087156,0.3330985443080432,0.27450980392156865,0.3431705345803026,0.8617132451904047,0.35322856078622383,0.49790623251008137,0.48772967760431596,0.19208874616844257,0.2722817037958143,0.3013798111837327,0.4623136712371935,0.47654475951389275,0.3872359115705583,0.2475506502160335,0.35448085274378205,0.844485799821992
nh0002,1.0,0.4840165025286133,0.7749222311032382,0.34667525335446975,0.25360397680198843,0.2914191419141915,0.06605787476280839,0.2897058823529412,0.31383849803734853,0.3151223994647795,0.2640113132955756,0.3097458148986765,0.1210644257703081,0.3859979515370568,0.38324584338221734,0.18291682915775165,0.28175816295721184,0.27633662627852695,0.5204207959647121,0.24489785382910467,0.2391110975721205,0.2775829508307786,0.3635743169276825,0.2164517609195624,0.16086861812135028,0.302724153610847,0.13355863161934944,0.3623934330567455,0.24269568072034894,0.3467033597064557,0.07105006936127314,0.49322844672619665,0.557605034568339,0.45028119775041797,0.2508205689277899,0.3999485609314692,0.3490601290371408,0.3453242555223711,0.3803940306386806,0.12032967032967029,0.15085874997792414,0.19734576757532277,0.17715858273133817,0.19959558823529416,0.3483351433313527,0.10518972868777013,0.2207161125319694,0.16671777715825664,0.20257962677143257,0.046426394391953674,0.39277546014842146,0.23662239089184067,0.2073559147316532,0.31733727810650875,0.17055342847198052,0.29970158312680184,0.15026796181544125,0.14797767136148524,0.5000940793774814,0.2906756167023608,0.271067828129588,0.5132748502874083,0.2830503600078062,0.24283795881826317,0.018472080705983274,0.1892610392126115,0.421334211650762,0.15519005396573143,0.34085651766176933,0.3408565176617694,0.2845144790033826,0.19780279503105586,0.42565409976665647,0.155505411823892,0.5667655771986215,0.2380149574316915,0.15550541182389194,0.1842815712164964,0.05956144782701667,0.41370196797255127,0.4397346580238687,0.33661640860187736,0.23503877100095888,0.2346528255133836,0.20310927752062785,0.227843137254902,0.12952459300311747,0.1327982740875624,0.3610562018280278,0.34785860611626934,0.22691560895514604,0.27616406364034446,0.16022680569899048,0.15452271443556845,0.2517692683290017,0.1077537513550522,0.10809619216153077,0.37586981929335606,0.4301622382025616,0.12667286997329877
nh0003,0.7299406078956561,1.0,0.45395259024083967,0.58047440156478,0.11267605633802816,0.18330139465559467,0.3034599375650364,0.49193548387096775,0.39152885297025264,0.5235356059233088,0.4278233494264891,0.45895812010660897,0.11797235023041469,0.33323172155432285,0.33224572611491165,0.2161524411742607,0.17104468599033815,0.5196213506645038,0.20235751875168573,0.389791866407978,0.209836120345467,0.10779469269851294,0.2495191306371978,0.32603062908262764,0.10089196357693855,0.16840840568539886,0.26144716562217796,0.45819056687714144,0.4344846470493017,0.43614412375023576,0.3271639647131645,0.2911157253863006,0.29507465503142316,0.18212886554972077,0.24016101581923568,0.055570787261157106,0.34268789535756405,0.19068796870750898,0.1395977526041806,0.18931323345584802,0.14369659428261516,0.13788355625491736,0.33031503489907565,0.14133064516129035,0.24083395190538925,0.1881927923563938,0.5109196553796836,0.08625082810987107,0.08221959201039211,0.18858989358738645,0.21812418090267402,0.5436004162330906,0.17864778483994176,0.16192021378125582,0.28994082840236685,0.2859262752059468,0.1659121236514119,0.07389455710265032,0.21229636495597187,0.42291970136493984,0.3019698352208685,0.09077729084978098,0.388258503861167,0.34556848701880033,0.23046103627262848,0.1859120731256987,0.1521030227290479,0.15322515525465705,0.24809769181901606,0.2480976918190161,0.30737908881147363,0.1256035864556201,0.08429344364778973,0.06247540378365879,0.29106054492556654,0.10490120784751797,0.062475403783658845,0.11988142387529585,0.12155037865826195,0.3303439726908259,0.33141756087837615,0.29523338511155534,0.11042271553005195,0.19722992815239007,0.20803173222365762,0.24086021505376345,0.18500946027986045,0.37221595102678773,0.2582868500856339,0.46343423651716786,0.07429573942001227,0.18090130473064917,0.16559996994949205,0.48342847028629576,0.19943280384897685,0.4078095178498795,0.1153738074709133,0.19760275859668863,0.11190980567331962,0.3473288370235612
nh0004,1.0,0.36447125858890556,0.7700575345819561,0.22160909706626725,0.2550860719874804,0.36829238479403503,0.0741935483870968,0.0,0.3133665401688555,0.19678076525675692,0.4035303463616142,0.3937660385461964,0.11619047619047618,0.09145354136507422,0.09118294055227244,0.5343785462581379,0.33706794916034044,0.31055942992944546,0.47642372847852293,0.23051720102972142,0.31126838905192095,0.31269795565793257,0.20752556582408457,0.11102575253184155,0.19280039615045108,0.1842586085734364,0.2335788956710867,0.24324542301798524,0.40137497155740376,0.29623853873366546,0.12230305594887404,0.44038022564017487,0.26357816777955057,0.47941429801894914,0.13251268936494648,0.21407441012288753,0.18723419463207175,0.34591706142001044,0.22427658670803097,0.14918064391748598,0.11345239239911019,0.21499548328816614,0.12492960797054367,0.23388888888888892,0.2510009630555499,0.16485392837929505,0.1775477340694733,0.2455912468550699,0.15651590976412078,0.05196699289963541,0.3384968717826879,0.19732377538829157,0.26078201319720085,0.2349375410913871,0.31786105632259476,0.8020636285468616,0.3017919946407636,0.2064873612391496,0.1906026926899791,0.09006548467074219,0.2476982806433722,0.5862974312412516,0.09168137930142471,0.11615106601677774,0.04517797549438318,0.060449880647465676,0.37046004842615016,0.19292669453128097,0.23679992590277055,0.23679992590277057,0.2774193548387098,0.19018288474810208,0.3772760143337898,0.16534607806145982,0.3582985882525054,0.39006415477825096,0.1653460780614598,0.311598575468238,0.09010067652286084,0.24806098363756052,0.11393370713659073,0.2515223493845821,0.25742709399690267,0.320350803536025,0.04548944194748181,0.3041975308641976,0.057772817269411136,0.208105278899357,0.36830401760747594,0.5683893090455666,0.07894944124452322,0.14888337468982632,0.3602206828828111,0.15944385171637113,0.4702645128865951,0.0,0.08586131852012169,0.3273936887530342,0.1773303504847129,0.2126853125477609
nh0005,0.7098866926403832,1.0,0.47195689087821757,0.5055413144779348,0.29716915353507184,0.2717380648955986,0.5271478760779303,0.0,0.23783191960913075,0.4411741796454172,0.2906870286647349,0.30018800559392383,0.1468175388967468,0.4179254583010174,0.40584937179297964,0.16555196999721478,0.18811486156379612,0.3724743290839477,0.19428028908565997,0.5492303735405134,0.1328865667509268,0.3627474178457292,0.0,0.23595543697069055,0.11321985859748163,0.35350639772339854,0.24135492058993308,0.48293019478574994,0.37230285894977905,0.2877270183158667,0.36221931846033584,0.2925720170343654,0.36332649396831196,0.15240361245426873,0.3347953321955099,0.02793670751126437,0.22179831363644567,0.3164821943243529,0.15624254381562475,0.32731676869248516,0.12502476427816916,0.46244868389277943,0.17891262810491576,0.455940594059406,0.40390878421489673,0.3829781616853707,0.16930078100977808,0.26473026449564385,0.19111480953062338,0.25468971767643084,0.4782396985243784,0.17010539763653787,0.47135920062462333,0.4899115355322513,0.12631085593766478,0.42052390965665776,0.22303178232745396,0.10346039779881451,0.3306082573559605,0.3664848152125131,0.10653860727170891,0.10988514581795261,0.3384800502051253,0.23933449746048907,0.1973748933836272,0.19183079041791584,0.5657229161172777,0.31001912035843615,0.40806563932417006,0.4080656393241701,0.3481177009706582,0.4373670130988254,0.5139342134773417,0.17983913848560057,0.5112697905735275,0.22479249949710467,0.1798391384856005,0.38596043610324193,0.3358811529455856,0.2863029551948682,0.4272924717806487,0.41541826391665293,0.3121302916967813,0.2140154677422819,0.2644946523229501,0.27722772277227725,0.2591319228909382,0.1589488693149262,0.5472920575057992,0.5576209121278071,0.12842553639502183,0.19801980198019806,0.09620828618153829,0.34236962790929293,0.2005535554880069,0.3006981590496586,0.24700350675690874,0.45794326802994056,0.3052055269242836,0.16244705625995884
nh0006,0.3298526195929246,0.3597285067873303,0.20729626953194413,0.21129187494178636,0.06285021959715281,0.10401954173912026,0.2552029136316337,1.0,0.07540407792202886,0.19694889226507517,0.23873863484937008,0.2579900491309008,0.021949138078170283,0.14432202026700974,0.1419330006707228,0.03635028986596234,0.10506108139713213,0.18621267065573485,0.12237710735280327,0.21914043921698884,0.06266554555089665,0.1560703305685333,0.0430801775643303,0.10398659432026067,0.05735639025264319,0.021376918368734843,0.051168401445762374,0.18055696479164546,0.23645525882244378,0.2264562241925004,0.14284416766024427,0.18652162301862224,0.1411713650506818,0.07860298407935323,0.1690973284288736,0.10631700643823286,0.11215944152579732,0.122419676624524,0.09601305858014,0.15586940884054634,0.09080314704240466,0.10757059183495055,0.1748726655348048,0.10698924731182799,0.07985627536117892,0.08601546920306671,0.16476324049956598,0.06900066248789682,0.05916211408682112,0.20744888294612512,0.1635416427164525,0.18404439819632332,0.15332223679749793,0.1484539034166825,0.09768615723950712,0.22197875350178903,0.12196584567344312,0.05514910882699066,0.08874684108815217,0.060141398687150516,0.11985400676292204,0.0985278665597622,0.06122041540010753,0.08345767432607179,0.20343919989697515,0.11316508757109299,0.07961024759821916,0.151538121007775,0.10448202339216667,0.10448202339216664,0.17703479165724118,0.10660967519312536,0.17080404522830153,0.15185484209060068,0.08552245039535067,0.16302450603923757,0.15185484209060063,0.11417932749612703,0.003085132946437169,0.16019643515179804,0.13691313319232656,0.15937476055474675,0.11042271553005195,0.10595735491846511,0.14948895818350955,0.16391875746714457,0.11661057126268251,0.32006975498921847,0.1008923474171027,0.2181426364153858,0.16786485057241268,0.10405827263267432,0.15452799513027668,0.22563273038957804,0.09126781788658439,0.16883076249178686,0.14333300752955797,0.10117174623153222,0.14142283340778275,0.32711393116504706
nh0007,0.6394555919364919,1.0,0.5410328895113974,0.6316847097562006,0.11649743421770928,0.4298104229027555,0.33833458364591146,0.8940568475452197,0.22785592782288583,0.5710705850774793,0.4425296147678483,0.4128483159604525,0.052245601082810345,0.31597906714896506,0.3122152090998076,0.1891029781276174,0.36775799780834323,0.22227464504018485,0.27192187657303935,0.3102988478221825,0.16106447637284776,0.1580163252733713,0.26145984527528254,0.2823729224591602,0.06446607561206297,0.3153671411528216,0.13494996565390555,0.41409753599783916,0.24032958793873152,0.33294548458427153,0.19978433405285062,0.22673258243177766,0.3058953298272568,0.2280511988462232,0.3586923083527724,0.1905880749769082,0.11310831353169054,0.12327019521359775,0.1533537191566187,0.18404837376685598,0.23410748665832373,0.14445074683304968,0.19922329510252812,0.14334625322997416,0.23308390464622286,0.3461527791603363,0.04601409151459715,0.09396214245767866,0.40770538502452197,0.32932571081745676,0.3137324780232834,0.06069850796032347,0.2138125334898467,0.38552359983486983,0.029968044279314432,0.16321062208802412,0.18088980459819357,0.04900234555520462,0.24713951597142975,0.16424175515125403,0.14924737840034058,0.20186887602617945,0.1446265908482825,0.22424637791796498,0.12002295392768866,0.12125625886634743,0.2640351371135763,0.11152009933754992,0.2412174993315902,0.24121749933159026,0.24263674614305758,0.13540974529346617,0.33403412603990296,0.09726239885968227,0.1933493577476002,0.25804433374628655,0.09726239885968221,0.2673844906759647,0.06610588865941372,0.09437339368228859,0.21569973681199217,0.304895053389778,0.18802432713068415,0.13106747402685814,0.10408026751214983,0.23634797588285963,0.31652210285377413,0.5081640531263368,0.22434554084210284,0.32746075333178254,0.10064983015802685,0.1627329909400427,0.0714452693550792,0.2114621400358472,0.38563569747704346,0.09600072180993842,0.09034057020910347,0.2853058854932199,0.29825369008975544,0.4981499845387757
nh0008,0.8783906865829827,0.9706297480177674,0.6888129323095479,0.9999999999999999,0.40845070422535207,0.3740878675023467,0.34744007102693103,0.009174311926605505,0.3934521615968135,0.9550937283072274,0.42689280310649724,0.4846581094918445,0.6351245085190038,0.1325693238279768,0.13719903237489176,0.48900101754149483,0.26805757371423505,0.4159974481275911,0.5831816794491169,0.4337712584029869,0.3109811430118919,0.5308487229135903,0.43745579222082454,0.4810355140668655,0.2797472822431724,0.2952349023577273,0.21124244244089604,0.4433303662399527,0.3997062223803647,0.3836400379133359,0.14567092615263466,0.4946064302793812,0.4856888215213322,0.30370054287272125,0.5266976269023929,0.3844124950171923,0.45807377811090033,0.03688299611163595,0.3935657075594684,0.3923835700755063,0.21323822604585585,0.34325352427836203,0.13815118836847473,0.3350917431192661,0.23943482193059654,0.5534586660263339,0.21477007236879606,0.05887212487499455,0.2564833563538579,0.17163410498962145,0.5604618543488069,0.2359869783959752,0.23682957545876715,0.4135796102274577,0.12236034960099887,0.4958545993831202,0.22909966981081342,0.037521508384283225,0.32910885573525056,0.1530783064249297,0.42984933367934186,0.21215557284003844,0.15582473491893384,0.3001897283845162,0.3100391048651489,0.47214113794844714,0.1820312326454451,0.5344794176715859,0.18430071323894223,0.18430071323894226,0.24842698508691802,0.3922153683970596,0.3785882240703016,0.5260200378695659,0.3198718374594586,0.11218883850764186,0.5260200378695659,0.3064812200633244,0.16137519586020566,0.29711725828281127,0.5153960260395507,0.2306910548972917,0.5966131119188031,0.3526053158496494,0.10993388365665291,0.4452599388379206,0.6104023731819006,0.2577450701964514,0.18346210736581509,0.20419027017106428,0.5205578566986296,0.16345300157078793,0.26372407706290535,0.40197916797758226,0.6457777992615291,0.2458288470265797,0.657500131543808,0.48660886979372436,0.3001568931263976,0.26341758893530026
nh0009,0.38693253025570035,1.0,0.41961757357684204,0.6118627416756846,0.12095161643435742,0.13835735905196747,0.01967240514791896,0.12953367875647667,0.12997719698298538,0.5668013057090042,0.27383963014368484,0.28448695150028747,0.07726622255119664,0.3823249972288918,0.3800592442418385,0.1381713307455997,0.15655321742348663,0.13952763278531155,0.11021013906953286,0.031833818566756655,0.32688853529675355,0.06484188163613008,0.1714195474340229,0.2178381666500265,0.07818128211429579,0.3047192860445895,0.0,0.20153472179563198,0.03045192631761323,0.39116443959640035,0.07487490617488773,0.4759404139840048,0.20861880036336486,0.390646798141677,0.2993316612266511,0.025052940080746433,0.14319394748434955,0.03408273006281409,0.12606746343047032,0.10951192249256059,0.04949397611088116,0.11912043472766334,0.07989576705148019,0.12020725388601036,0.16118358476008926,0.07222981897825187,0.1338332314227787,0.024382617521629874,0.13702709756592274,0.14297654523163933,0.16324751919462,0.14410830686946352,0.03094140805524287,0.21542263236962308,0.04807309071956345,0.20212154558293494,0.305816281283544,0.012302647415982942,0.1291864765294384,0.17019508875215056,0.27576664109041066,0.0607789485940502,0.16781973580286458,0.14077771232158676,0.00578310072915636,0.04859578748432877,0.061649249143760465,0.09046223660459271,0.14311389407635483,0.14311389407635483,0.1376784948658882,0.08206127506195082,0.05341857195418531,0.09470233157363467,0.09736088986823213,0.12331193822465336,0.09080175661418419,0.26486830351847185,0.015030305483145795,0.037176365079168605,0.09547872766177701,0.09288697592144848,0.08712741854342093,0.1731233433266997,0.029780493984986667,0.11606217616580314,0.050779355732594456,0.4450156556182401,0.1796414951959599,0.1298884980160711,0.14733643862158258,0.08737576980933162,0.05259698549928246,0.13078933215823127,0.26458203855576257,0.04178447405054703,0.07308732821123254,0.32538431546638874,0.264949381614515,0.45055911510858015
nh0010,1.0,0.84744433735727,0.813734718688641,0.9060989635271348,0.1735394315350587,0.49778389391285705,0.6735181087690696,0.5595667870036101,0.3181167875961429,0.7091687631131268,0.3523513024265847,0.4012264716467827,0.34791129448169156,0.15357143479303567,0.1511408812422902,0.2563199535298011,0.48356584383478707,0.34691015854770735,0.31721747418300505,0.3075465034838009,0.17924720548452291,0.43383824261632536,0.18029529397085858,0.12427892235640639,0.25105039951207153,0.4603255947291912,0.4833689582356592,0.4408293378731194,0.22644655328029215,0.5376739079950176,0.1334687762912073,0.2704069427085845,0.2834456599023268,0.2379406524314593,0.15101072207139882,0.41067218860254756,0.34805690091148755,0.38857447497487196,0.2321506033746743,0.1935761369544383,0.08956196506745388,0.22761292594875404,0.07393332911098444,0.23000902527075812,0.19752321848593235,0.30667301325614743,0.17335246765477508,0.21042711060162766,0.18415528683062682,0.15407181559142802,0.28842333730453823,0.1895656224525446,0.25962607680746713,0.1953186080789523,0.06280306752397838,0.45522441339620234,0.211455851295703,0.1821241434826593,0.5384678618157406,0.13853285532954254,0.16496573100188017,0.6621654012235283,0.13156187771018152,0.22112155755003893,0.02355376207493623,0.2323623536524819,0.1957128871251126,0.33306787827335627,0.16335926276600427,0.16335926276600427,0.3276692269912559,0.25310278718299434,0.5969858752527292,0.32312535216831256,0.18312327842514675,0.13029080741863014,0.3231253521683125,0.2301150921440645,0.2698075869488533,0.2765531317875644,0.3815746913190094,0.6923175866297366,0.4802173228910545,0.32626224325880293,0.11617092156690373,0.41107099879663056,0.23325588752768234,0.19922404536200694,0.38566947023023446,0.5166142926468814,0.10638622880440951,0.15031666830898227,0.20073450376209243,0.21463389672151983,0.5432705054268515,0.29991561240532655,0.3791188968327852,0.13908929719568294,0.276362362742431,0.1962046688085649
