,enclitics_abs,enclitics_rel
nh0001,130.0,0.003565453498258413
nh0002,370.0,0.003741039200024266
nh0003,67.0,0.0037187101071210526
nh0004,83.0,0.0037732418057007775
nh0005,43.0,0.002470696391634107
nh0006,105.0,0.002066685037200331
nh0007,197.0,0.00386539782203473
nh0008,131.0,0.0031482060032203022
nh0009,343.0,0.0038660955816050497
nh0010,627.0,0.006700650828764708
nh0011,136.0,0.004054376341521584
nh0012,125.0,0.0030544423809989248
nh0013,278.0,0.005509860271529085
nh0014,158.0,0.003924978263569743
nh0015,340.0,0.0037676469936393253
nh0016,55.0,0.0017857142857142857
nh0017,772.0,0.003336560403844824
nh0018,267.0,0.005977165883143049
nh0019,247.0,0.014617114451414368
nh0020,38.0,0.0014296463506395787
nh0021,308.0,0.007735972271060431
nh0022,412.0,0.0066579402401383304
nh0023,153.0,0.003955430314624751
nh0024,176.0,0.004284323271665044
nh0025,388.0,0.005389338000388921
nh0026,134.0,0.0013043266656932887
nh0027,145.0,0.002871457710359031
nh0028,344.0,0.008473949993841606
nh0029,231.0,0.00231539487004721
nh0030,84.0,0.0017360393502252717
nh0031,47.0,0.0008147698708503077
nh0032,129.0,0.0017886607229517062
nh0033,83.0,0.0012452739602712597
nh0034,180.0,0.00441674436865093
nh0035,623.0,0.00443988340851916
nh0036,760.0,0.008370044052863436
nh0037,421.0,0.004209074003719181
nh0038,234.0,0.0030560670767543
nh0039,186.0,0.00514366306241531
nh0040,84.0,0.005168276625853689
nh0041,132.0,0.006719951127628162
nh0042,266.0,0.004254570464323987
nh0043,154.0,0.007781314739022788
nh0044,98.0,0.004262537514679658
nh0045,244.0,0.0061544670332442115
nh0046,155.0,0.0023836619198474456
nh0047,181.0,0.0021745921137996493
nh0048,208.0,0.0032052269855456592
nh0049,376.0,0.002757002493034169
nh0050,95.0,0.0019488378772026997
nh0051,315.0,0.0031359821597459355
nh0052,479.0,0.004543816046595458
nh0053,331.0,0.004038900345319878
nh0054,462.0,0.00320488363220145
nh0055,264.0,0.0032072698115728987
nh0056,357.0,0.00341813237842651
nh0057,218.0,0.004321110009910803
nh0058,166.0,0.004483214951251789
nh0059,99.0,0.0021527823080435774
nh0060,286.0,0.004803735492214925
nh0061,92.0,0.0034353995519044063
nh0062,95.0,0.005535485374664958
nh0063,364.0,0.0038069738741188528
nh0064,244.0,0.0029911124731841865
nh0065,92.0,0.00301135805701941
nh0066,526.0,0.002657975188862781
nh0067,377.0,0.007272797422690356
nh0068,284.0,0.003174745126095511
nh0069,578.0,0.0027029049213445314
nh0070,335.0,0.007992556186477071
nh0071,97.0,0.002684600907782575
nh0072,630.0,0.007646095030038231
nh0073,29.0,0.0016418501953235577
nh0074,244.0,0.013423557242669307
nh0075,38.0,0.0016399102364923184
nh0076,250.0,0.002965774956996263
nh0077,395.0,0.0032705444007451873
nh0078,106.0,0.004064105513380875
nh0079,59.0,0.002698252995518156
nh0080,373.0,0.003805928268965869
nh0081,369.0,0.004612557656970712
nh0082,198.0,0.005656173227446723
nh0083,70.0,0.002025638799664323
nh0084,709.0,0.008016462580419027
nh0085,794.0,0.005927938958653746
nh0086,1033.0,0.016606382123623503
nh0087,42.0,0.002369668246445498
nh0088,298.0,0.0052593494643582
nh0089,244.0,0.0027344756867008105
nh0090,601.0,0.0027664872976344464
nh0091,70.0,0.002682403433476395
nh0092,350.0,0.00301737143842407
nh0093,27.0,0.0011911064055055585
nh0094,119.0,0.002772664787157203
nh0095,91.0,0.0025293937793590348
nh0096,74.0,0.0035251524390243903
nh0097,378.0,0.004152112304751862
nh0098,195.0,0.0019389479964204038
nh0099,90.0,0.002712313905129287
nh0100,156.0,0.004152249134948097
nh0101,1158.0,0.011376139578748822
nh0102,233.0,0.004377230884839376
nh0103,986.0,0.00297996832650298
nh0104,66.0,0.00222431922351038
nh0105,121.0,0.00239442751414889
nh0106,1039.0,0.005307709204967485
nh0107,723.0,0.002383039875541375
nh0108,1922.0,0.0060823169766897256
nh0109,492.0,0.00838160136286201
nh0110,392.0,0.009155669741912882
nh0111,692.0,0.004655418314900029
nh0112,129.0,0.0025139828113733362
nh0113,335.0,0.0063054075928400686
nh0114,331.0,0.005187518610810726
nh0115,848.0,0.006500375611326598
nh0116,73.0,0.0037309618726362056
nh0117,245.0,0.004199448072539038
nh0118,434.0,0.0023761682370912196
nh0119,80.0,0.0022164962735156403
nh0120,831.0,0.003471859554716256
nh0121,226.0,0.006164420926299711
nh0122,457.0,0.004199788632081974
nh0123,290.0,0.0050153920653038635
nh0124,377.0,0.005552119230655945
nh0125,352.0,0.0025823301127568575
nh0126,43.0,0.0017909204498125781
nh0127,292.0,0.004022481816178091
nh0128,474.0,0.005242492949178786
nh0129,63.0,0.0025167785234899327
nh0130,154.0,0.0022492259157562656
nh0131,98.0,0.002806012884753042
nh0132,151.0,0.0024802483533450503
nh0133,271.0,0.00808810362323166
nh0134,263.0,0.008883934603431969
nh0135,132.0,0.0036061632608458093
nh0136,110.0,0.004709307303707509
nh0137,419.0,0.004333436756644948
nh0138,153.0,0.0026897315542429197
nh0139,209.0,0.00399724591668898
nh0140,429.0,0.005198865702028648
nh0141,357.0,0.002770857102940834
nh0142,763.0,0.00485165261404245
nh0143,789.0,0.005197594218746912
nh0144,180.0,0.0026009305551541774
nh0145,313.0,0.007303187269587941
nh0146,63.0,0.003085966201322557
nh0147,562.0,0.007667539838463217
nh0148,275.0,0.003654727888896272
nh0149,785.0,0.004154736134560524
nh0150,307.0,0.008360338770730644
nh0151,189.0,0.0051141898473860805
nh0152,590.0,0.0031661023134011987
nh0153,627.0,0.00646485059699338
nh0154,124.0,0.004333845938766951
nh0155,189.0,0.0031975908098871536
nh0156,380.0,0.003430345923304687
nh0157,40.0,0.0019525529629991214
nh0158,440.0,0.004263648520320161
nh0159,588.0,0.0032968326857411986
nh0160,747.0,0.006213866821944017
nh0161,55.0,0.0026480500722195475
nh0162,41.0,0.0021216041397153947
nh0163,669.0,0.010000448450603166
nh0164,247.0,0.0036078408460167685
nh0165,147.0,0.0024957131457869985
nh0166,1017.0,0.010249846302698018
nh0167,850.0,0.009960042652417947
nh0168,114.0,0.004264870931537598
nh0169,107.0,0.0029375428963623884
nh0170,101.0,0.002324724945909865
nh0171,605.0,0.009756018899263058
nh0172,384.0,0.009714632665452338
nh0173,332.0,0.005240974316068638
nh0174,192.0,0.004897209610773861
nh0175,284.0,0.005927781256522647
nh0176,129.0,0.0026264353774737357
nh0177,127.0,0.0039480228798806265
nh0178,135.0,0.008527033855482567
nh0179,257.0,0.005496150556030795
nh0180,272.0,0.0026871894172157953
nh0181,315.0,0.002485599305610353
nh0182,290.0,0.0023335532774353446
nh0183,557.0,0.0031802584174074897
nh0184,249.0,0.003390984611194335
nh0185,83.0,0.0024758382054647417
nh0186,31.0,0.0015995046695216964
nh0187,54.0,0.0027090754025987057
nh0188,393.0,0.005750742621343596
nh0189,69.0,0.0017446711674125768
nh0190,683.0,0.0062351652364433085
nh0191,1559.0,0.013831589967439425
nh0192,1168.0,0.010227581194560468
nh0193,1258.0,0.012745177500405252
nh0194,1250.0,0.010335874580363492
nh0195,392.0,0.005660649819494584
nh0196,388.0,0.00506137570278767
nh0197,137.0,0.0021470661985957874
nh0198,186.0,0.004683958700579199
nh0199,77.0,0.002989942919271541
nh0200,115.0,0.0025373990556462646
nh0201,345.0,0.002975651408906254
nh0202,566.0,0.0038698473256346616
nh0203,449.0,0.003104087163320613
nh0204,121.0,0.0027995650262603827
nh0205,136.0,0.003091119849080619
nh0206,141.0,0.0028312115979277942
nh0207,588.0,0.00431078723185877
nh0208,391.0,0.007029592607241739
nh0209,211.0,0.005426396461269417
nh0210,240.0,0.0038677238445175015
nh0211,170.0,0.004844547034852241
nh0212,218.0,0.006746301912483753
nh0213,85.0,0.0040646518745218055
nh0214,59.0,0.002611428318505732
nh0215,157.0,0.0024136393684566545
nh0216,314.0,0.0039546101434490746
nh0217,927.0,0.005140176551479395
nh0218,206.0,0.007464038552121454
nh0219,62.0,0.0026947148817802503
nh0220,173.0,0.0037570308597737094
nh0221,247.0,0.004957052259773621
nh0222,142.0,0.004228455720326365
nh0223,416.0,0.00814329059410786
nh0224,427.0,0.0037494950914104073
nh0225,276.0,0.002697788985983227
nh0226,275.0,0.0025152055608908402
nh0227,809.0,0.00425080260827987
nh0228,223.0,0.005536108835431096
nh0229,89.0,0.0030242278025077304
nh0230,332.0,0.006055852470678365
nh0231,450.0,0.00586548488008342
nh0232,899.0,0.006468835897362096
nh0233,208.0,0.007691454350478867
nh0234,301.0,0.004002766031011463
nh0235,422.0,0.005797818261753634
nh0236,216.0,0.003857418387027645
nh0237,196.0,0.003833215989986701
nh0238,221.0,0.005049581867202851
nh0239,78.0,0.0028747281907640144
nh0240,111.0,0.006363219445081403
nh0241,122.0,0.00496742671009772
nh0242,140.0,0.0033255736614566014
nh0243,168.0,0.00603448275862069
nh0244,161.0,0.005095581719204963
nh0245,239.0,0.005772528560732314
nh0246,722.0,0.0034896085065248914
nh0247,545.0,0.0031514184274132927
nh0248,103.0,0.002938072282283139
nh0249,98.0,0.0021689573512161655
nh0250,218.0,0.009278964842087341
nh0251,60.0,0.00340657468915006
nh0252,71.0,0.003450957519198989
nh0253,319.0,0.0026641500609664434
nh0254,41.0,0.0025869140008833364
nh0255,256.0,0.005326674989596338
nh0256,178.0,0.005552263015065972
