,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.024090290069580078,0.023882627487182617,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,0
1,1,0.024300575256347656,0.023404359817504883,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,0
2,2,0.024056434631347656,0.02312469482421875,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,0
3,3,0.02402496337890625,0.02327871322631836,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,0
4,4,0.023709535598754883,0.023758649826049805,0.8823529411764706,0.8750000000000001,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,0
5,5,0.02410745620727539,0.023726940155029297,0.8823529411764706,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,0
6,6,0.024328231811523438,0.025079727172851562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,0
7,7,0.026302814483642578,0.0245516300201416,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,0
8,8,0.025749683380126953,0.025632381439208984,0.8823529411764706,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,0
9,9,0.024311542510986328,0.02444148063659668,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,0
10,0,0.023994922637939453,0.023928165435791016,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,1
11,1,0.0254671573638916,0.024056434631347656,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,1
12,2,0.030622482299804688,0.025990724563598633,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,1
13,3,0.02572154998779297,0.024230003356933594,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,1
14,4,0.026349782943725586,0.024904251098632812,0.8823529411764706,0.8750000000000001,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,1
15,5,0.026952266693115234,0.02432394027709961,0.8823529411764706,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,1
16,6,0.025838136672973633,0.026325702667236328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,1
17,7,0.02519392967224121,0.02415776252746582,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,1
18,8,0.026091814041137695,0.024866342544555664,0.8823529411764706,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,1
19,9,0.027212858200073242,0.025477170944213867,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,1
20,0,0.02399444580078125,0.02376246452331543,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,2
21,1,0.02411508560180664,0.02385115623474121,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,2
22,2,0.02385234832763672,0.023551225662231445,0.8235294117647058,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,2
23,3,0.024146556854248047,0.023700475692749023,0.8823529411764706,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,4gram_chars_affix-punct,tf,2
