,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition
0,0,0.11058807373046875,0.012575387954711914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,0
1,1,0.10967445373535156,0.012611627578735352,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,0
2,2,0.114593505859375,0.01317143440246582,0.8823529411764706,0.8750000000000001,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,0
3,3,0.1166236400604248,0.013940572738647461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,0
4,4,0.11581897735595703,0.012625932693481445,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,0
5,5,0.11131739616394043,0.01336359977722168,0.8235294117647058,0.8421052631578948,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,0
6,6,0.12172174453735352,0.016504764556884766,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,0
7,7,0.12405753135681152,0.014645814895629883,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,0
8,8,0.11233878135681152,0.012075185775756836,0.8235294117647058,0.8421052631578948,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,0
9,9,0.11783719062805176,0.01300954818725586,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,0
10,0,0.11027073860168457,0.013262748718261719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,1
11,1,0.10892415046691895,0.012139558792114258,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,1
12,2,0.1146388053894043,0.013282060623168945,0.8823529411764706,0.8750000000000001,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,1
13,3,0.11770129203796387,0.012843608856201172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,1
14,4,0.11770248413085938,0.012922048568725586,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,1
15,5,0.11338019371032715,0.013288259506225586,0.8235294117647058,0.8421052631578948,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,1
16,6,0.11689472198486328,0.014742374420166016,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,1
17,7,0.11358404159545898,0.013073205947875977,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,1
18,8,0.11126160621643066,0.012403249740600586,0.8235294117647058,0.8421052631578948,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,1
19,9,0.11776399612426758,0.012777090072631836,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,1
20,0,0.11376571655273438,0.012185335159301758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,2
21,1,0.10962176322937012,0.012484312057495117,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,2
22,2,0.11107206344604492,0.012733221054077148,0.8823529411764706,0.8750000000000001,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,2
23,3,0.11582803726196289,0.013162612915039062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,2
24,4,0.11958932876586914,0.013738632202148438,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,2
25,5,0.11380553245544434,0.01243281364440918,0.8235294117647058,0.8421052631578948,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,2
26,6,0.11754345893859863,0.01659250259399414,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,2
27,7,0.12169432640075684,0.014573097229003906,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,2
28,8,0.11836791038513184,0.013244867324829102,0.8235294117647058,0.8421052631578948,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,2
29,9,0.11276698112487793,0.013027667999267578,0.8823529411764706,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,2
30,0,0.10836482048034668,0.012094497680664062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,3
31,1,0.11396622657775879,0.011937141418457031,0.9411764705882353,0.9473684210526316,0.9,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,3
32,2,0.11190080642700195,0.012961626052856445,0.8823529411764706,0.8750000000000001,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,3
33,3,0.12067508697509766,0.013037681579589844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,3
34,4,0.11537766456604004,0.012635946273803711,0.9411764705882353,0.9411764705882353,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,3
35,5,0.11571288108825684,0.013662338256835938,0.8235294117647058,0.8421052631578948,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,3
36,6,0.11446499824523926,0.012280464172363281,0.8823529411764706,0.875,0.875,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,5000,3gram_chars_affix-punct,zscore,3
